age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income 
39.5, 103556.5, 13, 2819, 0, 40, *, United-States, *, White, *, *, *, <=50K
39.5, 103556.5, 13, 2819, 0, 40, *, United-States, *, White, *, *, *, <=50K
39.5, 103556.5, 13, 2819, 0, 40, *, United-States, *, White, *, *, *, <=50K
39.5, 103556.5, 13, 2819, 0, 40, *, United-States, *, White, *, *, *, <=50K
39.5, 103556.5, 13, 2819, 0, 40, *, United-States, *, White, *, *, *, <=50K
39.5, 103556.5, 13, 2819, 0, 40, *, United-States, *, White, *, *, *, >50K
39.5, 103556.5, 13, 2819, 0, 40, *, United-States, *, White, *, *, *, <=50K
39.5, 103556.5, 13, 2819, 0, 40, *, United-States, *, White, *, *, *, <=50K
39.5, 103556.5, 13, 2819, 0, 40, *, United-States, *, White, *, *, *, <=50K
39.5, 103556.5, 13, 2819, 0, 40, *, United-States, *, White, *, *, *, <=50K
39.5, 103556.5, 13, 2819, 0, 40, *, United-States, *, White, *, *, *, <=50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, >50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, >50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, >50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, <=50K
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, <=50K
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, >50K
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, <=50K
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, <=50K
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, >50K
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, >50K
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, <=50K
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, <=50K
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, <=50K
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, <=50K
56, 268784, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, <=50K
56, 268784, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, <=50K
56, 268784, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, <=50K
56, 268784, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, <=50K
56, 268784, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, <=50K
56, 268784, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, <=50K
56, 268784, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, >50K
56, 268784, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, <=50K
56, 268784, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, <=50K
56, 268784, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, <=50K
56, 268784, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, <=50K
28.5, 357752, 13, 0, 0, 40, Private, America, *, *, *, *, *, <=50K
28.5, 357752, 13, 0, 0, 40, Private, America, *, *, *, *, *, <=50K
28.5, 357752, 13, 0, 0, 40, Private, America, *, *, *, *, *, >50K
28.5, 357752, 13, 0, 0, 40, Private, America, *, *, *, *, *, >50K
28.5, 357752, 13, 0, 0, 40, Private, America, *, *, *, *, *, <=50K
28.5, 357752, 13, 0, 0, 40, Private, America, *, *, *, *, *, <=50K
28.5, 357752, 13, 0, 0, 40, Private, America, *, *, *, *, *, >50K
28.5, 357752, 13, 0, 0, 40, Private, America, *, *, *, *, *, <=50K
28.5, 357752, 13, 0, 0, 40, Private, America, *, *, *, *, *, <=50K
