age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income 
40, 107854, 13, 2819, 0, 40, *, United-States, Male, White, *, *, *, <=50K
40, 107854, 13, 2819, 0, 40, *, United-States, Male, White, *, *, *, <=50K
40, 107854, 13, 2819, 0, 40, *, United-States, Male, White, *, *, *, >50K
40, 107854, 13, 2819, 0, 40, *, United-States, Male, White, *, *, *, <=50K
40, 107854, 13, 2819, 0, 40, *, United-States, Male, White, *, *, *, <=50K
54, 138220.5, 14, 0, 0, 15.5, Self, United-States, *, White, *, *, *, <=50K
54, 138220.5, 14, 0, 0, 15.5, Self, United-States, *, White, *, *, *, <=50K
54, 138220.5, 14, 0, 0, 15.5, Self, United-States, *, White, *, *, *, <=50K
54, 138220.5, 14, 0, 0, 15.5, Self, United-States, *, White, *, *, *, >50K
54, 138220.5, 14, 0, 0, 15.5, Self, United-States, *, White, *, *, *, <=50K
38, 215646, 9, 0, 0, 40, Self, United-States, Male, White, *, *, *, <=50K
38, 215646, 9, 0, 0, 40, Self, United-States, Male, White, *, *, *, <=50K
38, 215646, 9, 0, 0, 40, Self, United-States, Male, White, *, *, *, >50K
38, 215646, 9, 0, 0, 40, Self, United-States, Male, White, *, *, *, >50K
38, 215646, 9, 0, 0, 40, Self, United-States, Male, White, *, *, *, >50K
53, 296388.5, 7, 0, 0, 40, *, America, *, *, *, *, *, <=50K
53, 296388.5, 7, 0, 0, 40, *, America, *, *, *, *, *, <=50K
53, 296388.5, 7, 0, 0, 40, *, America, *, *, *, *, *, <=50K
53, 296388.5, 7, 0, 0, 40, *, America, *, *, *, *, *, <=50K
53, 296388.5, 7, 0, 0, 40, *, America, *, *, *, *, *, <=50K
28.5, 350917, 13, 0, 0, 40, Private, America, *, *, *, *, *, <=50K
28.5, 350917, 13, 0, 0, 40, Private, America, *, *, *, *, *, <=50K
28.5, 350917, 13, 0, 0, 40, Private, America, *, *, *, *, *, >50K
28.5, 350917, 13, 0, 0, 40, Private, America, *, *, *, *, *, >50K
28.5, 350917, 13, 0, 0, 40, Private, America, *, *, *, *, *, <=50K
40, 288378.5, 14, 0, 0, 42.5, *, America, *, White, *, *, *, <=50K
40, 288378.5, 14, 0, 0, 42.5, *, America, *, White, *, *, *, >50K
40, 288378.5, 14, 0, 0, 42.5, *, America, *, White, *, *, *, >50K
40, 288378.5, 14, 0, 0, 42.5, *, America, *, White, *, *, *, <=50K
40, 288378.5, 14, 0, 0, 42.5, *, America, *, White, *, *, *, >50K
52, 173706.5, 5.5, 0, 0, 20.5, Self, America, *, *, *, *, *, <=50K
52, 173706.5, 5.5, 0, 0, 20.5, Self, America, *, *, *, *, *, <=50K
52, 173706.5, 5.5, 0, 0, 20.5, Self, America, *, *, *, *, *, <=50K
52, 173706.5, 5.5, 0, 0, 20.5, Self, America, *, *, *, *, *, <=50K
52, 173706.5, 5.5, 0, 0, 20.5, Self, America, *, *, *, *, *, <=50K
53, 221849.5, 9, 0, 0, 45, *, United-States, *, *, *, *, *, >50K
53, 221849.5, 9, 0, 0, 45, *, United-States, *, *, *, *, *, <=50K
53, 221849.5, 9, 0, 0, 45, *, United-States, *, *, *, *, *, >50K
53, 221849.5, 9, 0, 0, 45, *, United-States, *, *, *, *, *, <=50K
53, 221849.5, 9, 0, 0, 45, *, United-States, *, *, *, *, *, >50K
36.5, 132923.5, 14, 14214, 0, 50, Self, United-States, *, White, *, *, *, >50K
36.5, 132923.5, 14, 14214, 0, 50, Self, United-States, *, White, *, *, *, <=50K
36.5, 132923.5, 14, 14214, 0, 50, Self, United-States, *, White, *, *, *, >50K
36.5, 132923.5, 14, 14214, 0, 50, Self, United-States, *, White, *, *, *, >50K
36.5, 132923.5, 14, 14214, 0, 50, Self, United-States, *, White, *, *, *, >50K
42.5, 171913.5, 13, 5178, 0, 40, *, United-States, *, White, *, *, *, >50K
42.5, 171913.5, 13, 5178, 0, 40, *, United-States, *, White, *, *, *, <=50K
42.5, 171913.5, 13, 5178, 0, 40, *, United-States, *, White, *, *, *, <=50K
42.5, 171913.5, 13, 5178, 0, 40, *, United-States, *, White, *, *, *, <=50K
42.5, 171913.5, 13, 5178, 0, 40, *, United-States, *, White, *, *, *, <=50K
38, 323862, 10, 0, 0, 82, Self, *, Male, *, *, *, *, >50K
38, 323862, 10, 0, 0, 82, Self, *, Male, *, *, *, *, <=50K
38, 323862, 10, 0, 0, 82, Self, *, Male, *, *, *, *, >50K
38, 323862, 10, 0, 0, 82, Self, *, Male, *, *, *, *, <=50K
38, 323862, 10, 0, 0, 82, Self, *, Male, *, *, *, *, <=50K
30, 165841, 13, 0, 0, 40, *, *, *, *, Married-civ-spouse, *, *, >50K
30, 165841, 13, 0, 0, 40, *, *, *, *, Married-civ-spouse, *, *, >50K
30, 165841, 13, 0, 0, 40, *, *, *, *, Married-civ-spouse, *, *, >50K
30, 165841, 13, 0, 0, 40, *, *, *, *, Married-civ-spouse, *, *, >50K
30, 165841, 13, 0, 0, 40, *, *, *, *, Married-civ-spouse, *, *, <=50K
24.5, 166275, 13, 0, 0, 30, Self, United-States, *, White, Never-married, Own-child, *, <=50K
24.5, 166275, 13, 0, 0, 30, Self, United-States, *, White, Never-married, Own-child, *, <=50K
24.5, 166275, 13, 0, 0, 30, Self, United-States, *, White, Never-married, Own-child, *, <=50K
24.5, 166275, 13, 0, 0, 30, Self, United-States, *, White, Never-married, Own-child, *, <=50K
24.5, 166275, 13, 0, 0, 30, Self, United-States, *, White, Never-married, Own-child, *, <=50K
32, 224643.5, 12.5, 0, 0, 50, *, United-States, *, *, *, *, *, <=50K
32, 224643.5, 12.5, 0, 0, 50, *, United-States, *, *, *, *, *, <=50K
32, 224643.5, 12.5, 0, 0, 50, *, United-States, *, *, *, *, *, <=50K
32, 224643.5, 12.5, 0, 0, 50, *, United-States, *, *, *, *, *, >50K
32, 224643.5, 12.5, 0, 0, 50, *, United-States, *, *, *, *, *, >50K
34, 253403, 4, 0, 0, 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
34, 253403, 4, 0, 0, 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
34, 253403, 4, 0, 0, 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
34, 253403, 4, 0, 0, 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
34, 253403, 4, 0, 0, 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
26, 198063.5, 9, 0, 0, 35, Self, *, *, White, Never-married, *, *, <=50K
26, 198063.5, 9, 0, 0, 35, Self, *, *, White, Never-married, *, *, <=50K
26, 198063.5, 9, 0, 0, 35, Self, *, *, White, Never-married, *, *, <=50K
26, 198063.5, 9, 0, 0, 35, Self, *, *, White, Never-married, *, *, <=50K
26, 198063.5, 9, 0, 0, 35, Self, *, *, White, Never-married, *, *, <=50K
32, 196594.5, 9, 0, 0, 40, Private, United-States, *, *, *, *, *, <=50K
32, 196594.5, 9, 0, 0, 40, Private, United-States, *, *, *, *, *, <=50K
32, 196594.5, 9, 0, 0, 40, Private, United-States, *, *, *, *, *, <=50K
32, 196594.5, 9, 0, 0, 40, Private, United-States, *, *, *, *, *, <=50K
