age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income 
39, 77516, 13, 2174, 0, 40, State-gov, United-States, Male, White, Never-married, Not-in-family, Adm-clerical, <=50K
38, 215646, 9, 0, 0, 40, Private, United-States, Male, White, Divorced, Not-in-family, Handlers-cleaners, <=50K
49, 160187, 5, 0, 0, 16, Private, Jamaica, Female, Black, Married-spouse-absent, Not-in-family, Other-service, <=50K
52, 209642, 9, 0, 0, 45, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K
31, 45781, 14, 14084, 0, 50, Private, United-States, Female, White, Never-married, Not-in-family, Prof-specialty, >50K
23, 122272, 13, 0, 0, 30, Private, United-States, Female, White, Never-married, Own-child, Adm-clerical, <=50K
32, 205019, 12, 0, 0, 50, Private, United-States, Male, Black, Never-married, Not-in-family, Sales, <=50K
34, 245487, 4, 0, 0, 45, Private, Mexico, Male, Amer-Indian-Eskimo, Married-civ-spouse, Husband, Transport-moving, <=50K
25, 176756, 9, 0, 0, 35, Self-emp-not-inc, United-States, Male, White, Never-married, Own-child, Farming-fishing, <=50K
32, 186824, 9, 0, 0, 40, Private, United-States, Male, White, Never-married, Unmarried, Machine-op-inspct, <=50K
43, 292175, 14, 0, 0, 45, Self-emp-not-inc, United-States, Female, White, Divorced, Unmarried, Exec-managerial, >50K
54, 302146, 9, 0, 0, 20, Private, United-States, Female, Black, Separated, Unmarried, Other-service, <=50K
35, 76845, 5, 0, 0, 40, Federal-gov, United-States, Male, Black, Married-civ-spouse, Husband, Farming-fishing, <=50K
43, 117037, 7, 0, 2042, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Transport-moving, <=50K
59, 109015, 9, 0, 0, 40, Private, United-States, Female, White, Divorced, Unmarried, Tech-support, <=50K
19, 168294, 9, 0, 0, 40, Private, United-States, Male, White, Never-married, Own-child, Craft-repair, <=50K
39, 367260, 9, 0, 0, 80, Private, United-States, Male, White, Divorced, Not-in-family, Exec-managerial, <=50K
23, 190709, 12, 0, 0, 52, Local-gov, United-States, Male, White, Never-married, Not-in-family, Protective-serv, <=50K
20, 266015, 10, 0, 0, 44, Private, United-States, Male, Black, Never-married, Own-child, Sales, <=50K
45, 386940, 13, 0, 1408, 40, Private, United-States, Male, White, Divorced, Own-child, Exec-managerial, <=50K
