nodeID, age, workclass, native-country, sex, race, marital-status, income 
0,39,State-gov,United-States,Male,White,Never-married,<=50K
1,50,Self-emp-not-inc,United-States,Male,White,Married-civ-spouse,<=50K
2,38,Private,United-States,Male,White,Divorced,<=50K
4,28,Private,Cuba,Female,Black,Married-civ-spouse,<=50K
6,49,Private,Jamaica,Female,Black,Married-spouse-absent,<=50K
10,37,Private,United-States,Male,Black,Married-civ-spouse,>50K
11,30,State-gov,India,Male,Asian-Pac-Islander,Married-civ-spouse,>50K
12,23,Private,United-States,Female,White,Never-married,<=50K
15,34,Private,Mexico,Male,Amer-Indian-Eskimo,Married-civ-spouse,<=50K
16,25,Self-emp-not-inc,United-States,Male,White,Never-married,<=50K
17,32,Private,United-States,Male,White,Never-married,<=50K
19,43,Self-emp-not-inc,United-States,Female,White,Divorced,>50K
20,40,Private,United-States,Male,White,Married-civ-spouse,>50K
21,54,Private,United-States,Female,Black,Separated,<=50K
22,35,Federal-gov,United-States,Male,Black,Married-civ-spouse,<=50K
23,43,Private,United-States,Male,White,Married-civ-spouse,<=50K
25,56,Local-gov,United-States,Male,White,Married-civ-spouse,>50K
29,49,Private,United-States,Male,White,Married-civ-spouse,<=50K
31,20,Private,United-States,Male,Black,Never-married,<=50K
34,22,State-gov,United-States,Male,Black,Married-civ-spouse,<=50K
35,48,Private,Puerto-Rico,Male,White,Never-married,<=50K
36,21,Private,United-States,Male,White,Never-married,<=50K
40,31,Private,United-States,Male,White,Married-civ-spouse,<=50K
42,24,Private,United-States,Male,White,Married-civ-spouse,<=50K
44,25,Private,United-States,Male,White,Never-married,<=50K
47,44,Private,United-States,Female,White,Divorced,<=50K
48,41,State-gov,United-States,Male,White,Married-civ-spouse,<=50K
52,47,Private,Honduras,Female,White,Married-civ-spouse,>50K
54,47,Self-emp-inc,United-States,Male,White,Divorced,<=50K
55,43,Private,United-States,Male,White,Married-civ-spouse,>50K
56,46,Private,Mexico,Male,White,Married-civ-spouse,<=50K
57,35,Private,Puerto-Rico,Male,White,Married-civ-spouse,<=50K
58,41,Private,United-States,Male,White,Married-civ-spouse,<=50K
59,30,Private,United-States,Male,White,Married-civ-spouse,<=50K
60,30,Private,United-States,Male,White,Married-civ-spouse,<=50K
62,48,Private,United-States,Male,White,Married-civ-spouse,<=50K
63,42,Private,United-States,Male,White,Married-civ-spouse,>50K
65,36,Private,United-States,Male,White,Married-civ-spouse,<=50K
66,28,Private,United-States,Female,White,Divorced,<=50K
67,53,Private,United-States,Female,White,Married-civ-spouse,>50K
70,19,Private,United-States,Male,White,Never-married,<=50K
71,31,Private,United-States,Female,Black,Separated,<=50K
73,23,Private,United-States,Male,White,Never-married,<=50K
75,27,Private,Mexico,Male,White,Never-married,<=50K
79,31,Local-gov,United-States,Male,White,Married-civ-spouse,<=50K
81,52,Private,Cuba,Male,White,Married-civ-spouse,<=50K
82,46,Private,United-States,Female,White,Married-civ-spouse,<=50K
83,59,Private,United-States,Male,White,Married-civ-spouse,<=50K
84,44,Private,United-States,Female,White,Divorced,>50K
89,43,Federal-gov,United-States,Female,White,Never-married,>50K
90,57,Private,United-States,Male,White,Married-civ-spouse,<=50K
95,29,Local-gov,United-States,Male,White,Never-married,<=50K
96,48,Self-emp-not-inc,United-States,Male,White,Married-civ-spouse,>50K
98,48,Private,England,Female,White,Divorced,<=50K
103,20,Private,United-States,Female,White,Never-married,<=50K
104,29,Private,United-States,Male,White,Never-married,<=50K
107,30,Private,United-States,Male,White,Never-married,<=50K
108,31,Local-gov,United-States,Female,White,Never-married,<=50K
109,42,Private,United-States,Male,White,Married-civ-spouse,<=50K
111,38,Private,United-States,Male,White,Married-civ-spouse,>50K
112,56,Self-emp-not-inc,Canada,Male,White,Married-civ-spouse,>50K
113,28,Private,United-States,Female,White,Married-civ-spouse,<=50K
114,36,Private,United-States,Female,White,Never-married,<=50K
115,53,Private,United-States,Male,White,Married-civ-spouse,<=50K
116,56,Self-emp-inc,United-States,Male,White,Married-civ-spouse,<=50K
117,49,Local-gov,United-States,Male,Black,Married-civ-spouse,>50K
118,55,Private,United-States,Male,White,Married-civ-spouse,<=50K
119,22,Private,United-States,Male,White,Never-married,<=50K
120,21,Private,United-States,Female,White,Never-married,<=50K
122,30,Private,Germany,Male,Black,Never-married,<=50K
123,29,State-gov,United-States,Male,White,Married-civ-spouse,>50K
125,47,Private,United-States,Female,White,Married-civ-spouse,>50K
129,39,Private,United-States,Male,White,Divorced,<=50K
130,28,Private,United-States,Female,White,Never-married,<=50K
134,46,Private,United-States,Female,Black,Divorced,<=50K
135,38,Federal-gov,Iran,Male,White,Married-civ-spouse,>50K
138,20,Private,United-States,Male,White,Never-married,<=50K
142,19,Private,Mexico,Male,White,Never-married,<=50K
144,70,Private,United-States,Male,White,Never-married,<=50K
146,22,Private,United-States,Male,White,Married-civ-spouse,<=50K
147,36,Private,United-States,Female,White,Widowed,<=50K
150,47,Local-gov,Mexico,Female,White,Divorced,<=50K
152,33,Private,Philippines,Female,Asian-Pac-Islander,Never-married,<=50K
155,48,Private,United-States,Male,White,Married-civ-spouse,<=50K
158,29,Private,United-States,Male,White,Divorced,<=50K
163,28,Private,England,Female,Asian-Pac-Islander,Never-married,<=50K
165,36,Private,Mexico,Female,White,Divorced,<=50K
166,39,Federal-gov,United-States,Male,White,Never-married,<=50K
169,66,Local-gov,United-States,Female,White,Widowed,<=50K
171,28,State-gov,United-States,Male,White,Married-civ-spouse,<=50K
173,27,Private,United-States,Male,White,Never-married,<=50K
176,21,Private,United-States,Male,Black,Never-married,<=50K
177,34,Private,United-States,Male,Black,Never-married,<=50K
183,40,Private,Mexico,Male,White,Married-civ-spouse,>50K
184,37,Federal-gov,United-States,Male,White,Married-civ-spouse,>50K
185,34,Private,United-States,Male,Black,Married-civ-spouse,<=50K
186,41,Self-emp-not-inc,United-States,Female,White,Divorced,<=50K
191,24,Private,United-States,Male,White,Married-civ-spouse,<=50K
195,23,Private,Mexico,Male,White,Married-civ-spouse,<=50K
197,40,Federal-gov,United-States,Female,White,Never-married,>50K
202,51,Private,United-States,Male,White,Married-civ-spouse,>50K
206,36,Private,United-States,Male,Black,Married-civ-spouse,>50K
210,44,Local-gov,United-States,Male,Black,Married-civ-spouse,<=50K
214,54,Self-emp-inc,United-States,Male,White,Married-civ-spouse,>50K
217,38,Private,Poland,Male,White,Married-civ-spouse,<=50K
219,25,Private,United-States,Male,White,Never-married,<=50K
222,90,Private,United-States,Male,Black,Never-married,<=50K
223,54,Private,United-States,Male,Black,Married-civ-spouse,<=50K
224,53,Local-gov,United-States,Female,White,Never-married,<=50K
228,75,Private,Columbia,Female,White,Widowed,<=50K
230,35,Private,United-States,Male,Black,Separated,<=50K
231,41,Private,United-States,Female,Black,Divorced,<=50K
233,33,Private,United-States,Female,Other,Divorced,<=50K
234,28,Private,United-States,Male,White,Never-married,>50K
237,41,Private,Iran,Male,White,Married-civ-spouse,>50K
238,38,Local-gov,United-States,Male,White,Married-civ-spouse,>50K
239,23,Private,United-States,Male,White,Never-married,<=50K
240,40,Private,United-States,Male,White,Married-civ-spouse,>50K
244,38,Private,United-States,Male,White,Divorced,<=50K
247,32,Private,United-States,Female,White,Never-married,<=50K
248,40,Private,United-States,Male,White,Married-civ-spouse,>50K
250,41,Private,United-States,Female,White,Married-civ-spouse,>50K
251,42,Private,United-States,Female,Black,Married-civ-spouse,<=50K
252,59,Local-gov,United-States,Female,Black,Widowed,<=50K
254,58,Private,United-States,Male,White,Never-married,<=50K
255,42,Self-emp-not-inc,Cambodia,Male,Asian-Pac-Islander,Married-civ-spouse,>50K
257,32,Private,United-States,Female,White,Separated,<=50K
258,45,Private,United-States,Female,White,Widowed,<=50K
259,50,Private,United-States,Male,White,Divorced,<=50K
264,26,Private,United-States,Male,White,Married-civ-spouse,<=50K
265,37,Self-emp-inc,Thailand,Male,Asian-Pac-Islander,Married-civ-spouse,>50K
268,33,Private,United-States,Female,White,Never-married,<=50K
271,17,Private,United-States,Male,White,Never-married,<=50K
272,50,Self-emp-not-inc,United-States,Male,White,Married-civ-spouse,<=50K
274,30,Private,United-States,Female,White,Divorced,<=50K
275,43,Private,United-States,Male,Black,Married-civ-spouse,<=50K
279,24,Private,United-States,Female,White,Married-civ-spouse,>50K
280,22,Private,Germany,Female,White,Never-married,<=50K
281,42,Local-gov,United-States,Male,White,Married-civ-spouse,>50K
282,34,Private,United-States,Female,Black,Divorced,<=50K
283,60,Private,United-States,Female,White,Divorced,<=50K
285,57,Federal-gov,United-States,Male,White,Married-civ-spouse,>50K
286,41,Private,United-States,Male,White,Married-civ-spouse,>50K
287,50,Private,United-States,Male,White,Divorced,<=50K
288,25,Private,United-States,Female,White,Never-married,<=50K
289,50,Private,Ecuador,Male,White,Married-civ-spouse,<=50K
292,29,Local-gov,United-States,Male,White,Never-married,<=50K
296,37,Self-emp-inc,United-States,Female,White,Divorced,<=50K
298,24,Private,United-States,Male,White,Never-married,<=50K
300,48,Private,United-States,Male,White,Married-civ-spouse,>50K
302,31,Private,United-States,Male,White,Married-civ-spouse,>50K
303,55,Private,United-States,Male,White,Married-civ-spouse,>50K
304,24,Private,Laos,Female,Asian-Pac-Islander,Married-civ-spouse,<=50K
310,26,Private,United-States,Male,White,Never-married,<=50K
311,34,Private,Taiwan,Male,Asian-Pac-Islander,Married-civ-spouse,>50K
