age, fnlwgt, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
40, 103556.5, 3676, 0, 40, *, United-States, *, *, *, *, *, *, 13
40, 103556.5, 3676, 0, 40, *, United-States, *, *, *, *, *, *, 10
40, 103556.5, 3676, 0, 40, *, United-States, *, *, *, *, *, *, 13
40, 103556.5, 3676, 0, 40, *, United-States, *, *, *, *, *, *, 9
40, 103556.5, 3676, 0, 40, *, United-States, *, *, *, *, *, *, 13
40, 103556.5, 3676, 0, 40, *, United-States, *, *, *, *, *, *, 10
40, 103556.5, 3676, 0, 40, *, United-States, *, *, *, *, *, *, 10
40, 103556.5, 3676, 0, 40, *, United-States, *, *, *, *, *, *, 9
40, 103556.5, 3676, 0, 40, *, United-States, *, *, *, *, *, *, 14
40, 103556.5, 3676, 0, 40, *, United-States, *, *, *, *, *, *, 10
40, 103556.5, 3676, 0, 40, *, United-States, *, *, *, *, *, *, 10
40, 103556.5, 3676, 0, 40, *, United-States, *, *, *, *, *, *, 6
40, 103556.5, 3676, 0, 40, *, United-States, *, *, *, *, *, *, 12
40, 103556.5, 3676, 0, 40, *, United-States, *, *, *, *, *, *, 10
40, 103556.5, 3676, 0, 40, *, United-States, *, *, *, *, *, *, 10
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 13
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 5
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 5
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 9
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 10
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 10
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 14
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 9
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 10
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 9
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 9
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 4
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 3
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 4
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 10
38, 221630.5, 0, 0, 40, *, America, *, White, *, *, *, *, 9
38, 221630.5, 0, 0, 40, *, America, *, White, *, *, *, *, 10
38, 221630.5, 0, 0, 40, *, America, *, White, *, *, *, *, 9
38, 221630.5, 0, 0, 40, *, America, *, White, *, *, *, *, 13
38, 221630.5, 0, 0, 40, *, America, *, White, *, *, *, *, 9
38, 221630.5, 0, 0, 40, *, America, *, White, *, *, *, *, 2
38, 221630.5, 0, 0, 40, *, America, *, White, *, *, *, *, 10
38, 221630.5, 0, 0, 40, *, America, *, White, *, *, *, *, 10
38, 221630.5, 0, 0, 40, *, America, *, White, *, *, *, *, 11
38, 221630.5, 0, 0, 40, *, America, *, White, *, *, *, *, 9
38, 221630.5, 0, 0, 40, *, America, *, White, *, *, *, *, 3
38, 221630.5, 0, 0, 40, *, America, *, White, *, *, *, *, 14
38, 221630.5, 0, 0, 40, *, America, *, White, *, *, *, *, 13
38, 221630.5, 0, 0, 40, *, America, *, White, *, *, *, *, 3
38, 221630.5, 0, 0, 40, *, America, *, White, *, *, *, *, 9
53, 243198, 0, 0, 40, *, America, *, *, *, *, *, *, 7
53, 243198, 0, 0, 40, *, America, *, *, *, *, *, *, 9
53, 243198, 0, 0, 40, *, America, *, *, *, *, *, *, 3
53, 243198, 0, 0, 40, *, America, *, *, *, *, *, *, 14
53, 243198, 0, 0, 40, *, America, *, *, *, *, *, *, 9
53, 243198, 0, 0, 40, *, America, *, *, *, *, *, *, 10
53, 243198, 0, 0, 40, *, America, *, *, *, *, *, *, 12
53, 243198, 0, 0, 40, *, America, *, *, *, *, *, *, 9
53, 243198, 0, 0, 40, *, America, *, *, *, *, *, *, 16
53, 243198, 0, 0, 40, *, America, *, *, *, *, *, *, 9
53, 243198, 0, 0, 40, *, America, *, *, *, *, *, *, 14
53, 243198, 0, 0, 40, *, America, *, *, *, *, *, *, 10
53, 243198, 0, 0, 40, *, America, *, *, *, *, *, *, 10
53, 243198, 0, 0, 40, *, America, *, *, *, *, *, *, 9
53, 243198, 0, 0, 40, *, America, *, *, *, *, *, *, 10
28, 346834, 0, 0, 40, *, *, *, *, *, *, *, *, 13
28, 346834, 0, 0, 40, *, *, *, *, *, *, *, *, 14
28, 346834, 0, 0, 40, *, *, *, *, *, *, *, *, 9
28, 346834, 0, 0, 40, *, *, *, *, *, *, *, *, 10
28, 346834, 0, 0, 40, *, *, *, *, *, *, *, *, 13
28, 346834, 0, 0, 40, *, *, *, *, *, *, *, *, 12
28, 346834, 0, 0, 40, *, *, *, *, *, *, *, *, 9
28, 346834, 0, 0, 40, *, *, *, *, *, *, *, *, 13
28, 346834, 0, 0, 40, *, *, *, *, *, *, *, *, 10
28, 346834, 0, 0, 40, *, *, *, *, *, *, *, *, 9
28, 346834, 0, 0, 40, *, *, *, *, *, *, *, *, 9
28, 346834, 0, 0, 40, *, *, *, *, *, *, *, *, 10
28, 346834, 0, 0, 40, *, *, *, *, *, *, *, *, 9
28, 346834, 0, 0, 40, *, *, *, *, *, *, *, *, 2
28, 346834, 0, 0, 40, *, *, *, *, *, *, *, *, 13
37, 291513, 0, 0, 40, *, United-States, *, *, *, *, *, *, 14
37, 291513, 0, 0, 40, *, United-States, *, *, *, *, *, *, 10
37, 291513, 0, 0, 40, *, United-States, *, *, *, *, *, *, 9
37, 291513, 0, 0, 40, *, United-States, *, *, *, *, *, *, 9
37, 291513, 0, 0, 40, *, United-States, *, *, *, *, *, *, 9
37, 291513, 0, 0, 40, *, United-States, *, *, *, *, *, *, 10
37, 291513, 0, 0, 40, *, United-States, *, *, *, *, *, *, 15
37, 291513, 0, 0, 40, *, United-States, *, *, *, *, *, *, 9
37, 291513, 0, 0, 40, *, United-States, *, *, *, *, *, *, 9
37, 291513, 0, 0, 40, *, United-States, *, *, *, *, *, *, 9
37, 291513, 0, 0, 40, *, United-States, *, *, *, *, *, *, 14
37, 291513, 0, 0, 40, *, United-States, *, *, *, *, *, *, 9
37, 291513, 0, 0, 40, *, United-States, *, *, *, *, *, *, 9
37, 291513, 0, 0, 40, *, United-States, *, *, *, *, *, *, 10
37, 291513, 0, 0, 40, *, United-States, *, *, *, *, *, *, 9
52.5, 220887, 0, 0, 45, *, *, *, *, *, *, *, *, 9
52.5, 220887, 0, 0, 45, *, *, *, *, *, *, *, *, 9
52.5, 220887, 0, 0, 45, *, *, *, *, *, *, *, *, 13
52.5, 220887, 0, 0, 45, *, *, *, *, *, *, *, *, 3
52.5, 220887, 0, 0, 45, *, *, *, *, *, *, *, *, 13
52.5, 220887, 0, 0, 45, *, *, *, *, *, *, *, *, 6
52.5, 220887, 0, 0, 45, *, *, *, *, *, *, *, *, 9
52.5, 220887, 0, 0, 45, *, *, *, *, *, *, *, *, 9
52.5, 220887, 0, 0, 45, *, *, *, *, *, *, *, *, 9
52.5, 220887, 0, 0, 45, *, *, *, *, *, *, *, *, 9
52.5, 220887, 0, 0, 45, *, *, *, *, *, *, *, *, 8
52.5, 220887, 0, 0, 45, *, *, *, *, *, *, *, *, 11
52.5, 220887, 0, 0, 45, *, *, *, *, *, *, *, *, 6
52.5, 220887, 0, 0, 45, *, *, *, *, *, *, *, *, 9
52.5, 220887, 0, 0, 45, *, *, *, *, *, *, *, *, 9
33, 132923.5, 14554, 0, 50, *, *, *, *, *, *, *, >50K, 14
33, 132923.5, 14554, 0, 50, *, *, *, *, *, *, *, >50K, 13
33, 132923.5, 14554, 0, 50, *, *, *, *, *, *, *, >50K, 14
33, 132923.5, 14554, 0, 50, *, *, *, *, *, *, *, >50K, 15
33, 132923.5, 14554, 0, 50, *, *, *, *, *, *, *, >50K, 10
33, 132923.5, 14554, 0, 50, *, *, *, *, *, *, *, >50K, 13
33, 132923.5, 14554, 0, 50, *, *, *, *, *, *, *, >50K, 13
33, 132923.5, 14554, 0, 50, *, *, *, *, *, *, *, >50K, 13
33, 132923.5, 14554, 0, 50, *, *, *, *, *, *, *, >50K, 15
33, 132923.5, 14554, 0, 50, *, *, *, *, *, *, *, >50K, 14
33, 132923.5, 14554, 0, 50, *, *, *, *, *, *, *, >50K, 13
33, 132923.5, 14554, 0, 50, *, *, *, *, *, *, *, >50K, 13
33, 132923.5, 14554, 0, 50, *, *, *, *, *, *, *, >50K, 13
33, 132923.5, 14554, 0, 50, *, *, *, *, *, *, *, >50K, 15
33, 132923.5, 14554, 0, 50, *, *, *, *, *, *, *, >50K, 13
42.5, 195066.5, 6896, 0, 40, *, United-States, *, White, *, *, *, *, 13
42.5, 195066.5, 6896, 0, 40, *, United-States, *, White, *, *, *, *, 10
42.5, 195066.5, 6896, 0, 40, *, United-States, *, White, *, *, *, *, 9
42.5, 195066.5, 6896, 0, 40, *, United-States, *, White, *, *, *, *, 13
42.5, 195066.5, 6896, 0, 40, *, United-States, *, White, *, *, *, *, 13
42.5, 195066.5, 6896, 0, 40, *, United-States, *, White, *, *, *, *, 9
42.5, 195066.5, 6896, 0, 40, *, United-States, *, White, *, *, *, *, 13
42.5, 195066.5, 6896, 0, 40, *, United-States, *, White, *, *, *, *, 9
