age, fnlwgt, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
40, 97341, 2501.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 13
40, 97341, 2501.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 10
40, 97341, 2501.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 9
40, 97341, 2501.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 9
40, 97341, 2501.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 9
40, 97341, 2501.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 13
40, 97341, 2501.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 13
40, 97341, 2501.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 10
40, 97341, 2501.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 9
40, 97341, 2501.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 14
40, 97341, 2501.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 9
40, 97341, 2501.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 6
40, 97341, 2501.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 12
40, 97341, 2501.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 10
40, 97341, 2501.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 10
52.5, 141512, 0, 0, 14, *, United-States, *, White, *, *, *, *, 13
52.5, 141512, 0, 0, 14, *, United-States, *, White, *, *, *, *, 9
52.5, 141512, 0, 0, 14, *, United-States, *, White, *, *, *, *, 10
52.5, 141512, 0, 0, 14, *, United-States, *, White, *, *, *, *, 10
52.5, 141512, 0, 0, 14, *, United-States, *, White, *, *, *, *, 9
52.5, 141512, 0, 0, 14, *, United-States, *, White, *, *, *, *, 10
52.5, 141512, 0, 0, 14, *, United-States, *, White, *, *, *, *, 9
52.5, 141512, 0, 0, 14, *, United-States, *, White, *, *, *, *, 9
52.5, 141512, 0, 0, 14, *, United-States, *, White, *, *, *, *, 9
52.5, 141512, 0, 0, 14, *, United-States, *, White, *, *, *, *, 11
52.5, 141512, 0, 0, 14, *, United-States, *, White, *, *, *, *, 13
