age, fnlwgt, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
39.5, 79990.5, 2377, 0, 40, *, United-States, Male, White, *, *, *, <=50K, 13
39.5, 79990.5, 2377, 0, 40, *, United-States, Male, White, *, *, *, <=50K, 10
39.5, 79990.5, 2377, 0, 40, *, United-States, Male, White, *, *, *, <=50K, 13
39.5, 79990.5, 2377, 0, 40, *, United-States, Male, White, *, *, *, <=50K, 13
39.5, 79990.5, 2377, 0, 40, *, United-States, Male, White, *, *, *, <=50K, 10
39.5, 79990.5, 2377, 0, 40, *, United-States, Male, White, *, *, *, <=50K, 12
39.5, 79990.5, 2377, 0, 40, *, United-States, Male, White, *, *, *, <=50K, 10
50.5, 127902, 0, 0, 14, Self, United-States, *, *, *, *, *, <=50K, 13
50.5, 127902, 0, 0, 14, Self, United-States, *, *, *, *, *, <=50K, 9
50.5, 127902, 0, 0, 14, Self, United-States, *, *, *, *, *, <=50K, 10
50.5, 127902, 0, 0, 14, Self, United-States, *, *, *, *, *, <=50K, 9
50.5, 127902, 0, 0, 14, Self, United-States, *, *, *, *, *, <=50K, 9
50.5, 127902, 0, 0, 14, Self, United-States, *, *, *, *, *, <=50K, 3
50.5, 127902, 0, 0, 14, Self, United-States, *, *, *, *, *, <=50K, 10
38, 221001.5, 0, 0, 40, Self, United-States, Male, White, *, *, manual-labor, <=50K, 9
38, 221001.5, 0, 0, 40, Self, United-States, Male, White, *, *, manual-labor, <=50K, 9
38, 221001.5, 0, 0, 40, Self, United-States, Male, White, *, *, manual-labor, <=50K, 3
38, 221001.5, 0, 0, 40, Self, United-States, Male, White, *, *, manual-labor, <=50K, 10
38, 221001.5, 0, 0, 40, Self, United-States, Male, White, *, *, manual-labor, <=50K, 10
38, 221001.5, 0, 0, 40, Self, United-States, Male, White, *, *, manual-labor, <=50K, 9
38, 221001.5, 0, 0, 40, Self, United-States, Male, White, *, *, manual-labor, <=50K, 9
53, 251633, 0, 0, 40, Private, America, Male, *, Married-civ-spouse, Husband, manual-labor, *, 7
53, 251633, 0, 0, 40, Private, America, Male, *, Married-civ-spouse, Husband, manual-labor, *, 9
53, 251633, 0, 0, 40, Private, America, Male, *, Married-civ-spouse, Husband, manual-labor, *, 9
53, 251633, 0, 0, 40, Private, America, Male, *, Married-civ-spouse, Husband, manual-labor, *, 9
