age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income 
39, 88290.5, 13, 2174, 0, 40, *, *, *, White, *, *, *, <=50K
39, 88290.5, 13, 2174, 0, 40, *, *, *, White, *, *, *, <=50K
39, 88290.5, 13, 2174, 0, 40, *, *, *, White, *, *, *, >50K
39, 88290.5, 13, 2174, 0, 40, *, *, *, White, *, *, *, <=50K
39, 88290.5, 13, 2174, 0, 40, *, *, *, White, *, *, *, >50K
39, 88290.5, 13, 2174, 0, 40, *, *, *, White, *, *, *, <=50K
39, 88290.5, 13, 2174, 0, 40, *, *, *, White, *, *, *, <=50K
53.5, 141512, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
53.5, 141512, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, >50K
53.5, 141512, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
53.5, 141512, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
53.5, 141512, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
53.5, 141512, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
53.5, 141512, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
38, 224608.5, 9, 0, 0, 40, Self, America, *, White, *, *, *, <=50K
38, 224608.5, 9, 0, 0, 40, Self, America, *, White, *, *, *, <=50K
38, 224608.5, 9, 0, 0, 40, Self, America, *, White, *, *, *, >50K
38, 224608.5, 9, 0, 0, 40, Self, America, *, White, *, *, *, <=50K
38, 224608.5, 9, 0, 0, 40, Self, America, *, White, *, *, *, <=50K
38, 224608.5, 9, 0, 0, 40, Self, America, *, White, *, *, *, >50K
38, 224608.5, 9, 0, 0, 40, Self, America, *, White, *, *, *, <=50K
54.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, <=50K
54.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, <=50K
54.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, <=50K
54.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, <=50K
54.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, <=50K
54.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, <=50K
54.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, >50K
29.5, 351359.5, 13, 0, 0, 40, *, *, *, Black, *, *, *, <=50K
29.5, 351359.5, 13, 0, 0, 40, *, *, *, Black, *, *, *, <=50K
29.5, 351359.5, 13, 0, 0, 40, *, *, *, Black, *, *, *, <=50K
29.5, 351359.5, 13, 0, 0, 40, *, *, *, Black, *, *, *, <=50K
29.5, 351359.5, 13, 0, 0, 40, *, *, *, Black, *, *, *, <=50K
29.5, 351359.5, 13, 0, 0, 40, *, *, *, Black, *, *, *, <=50K
29.5, 351359.5, 13, 0, 0, 40, *, *, *, Black, *, *, *, <=50K
38, 311307.5, 14, 0, 0, 40, Self, United-States, *, White, *, *, *, <=50K
38, 311307.5, 14, 0, 0, 40, Self, United-States, *, White, *, *, *, <=50K
38, 311307.5, 14, 0, 0, 40, Self, United-States, *, White, *, *, *, <=50K
38, 311307.5, 14, 0, 0, 40, Self, United-States, *, White, *, *, *, <=50K
38, 311307.5, 14, 0, 0, 40, Self, United-States, *, White, *, *, *, <=50K
38, 311307.5, 14, 0, 0, 40, Self, United-States, *, White, *, *, *, <=50K
38, 311307.5, 14, 0, 0, 40, Self, United-States, *, White, *, *, *, <=50K
52, 227853.5, 5, 0, 0, 28, Private, America, *, Black, *, *, *, <=50K
52, 227853.5, 5, 0, 0, 28, Private, America, *, Black, *, *, *, <=50K
52, 227853.5, 5, 0, 0, 28, Private, America, *, Black, *, *, *, <=50K
52, 227853.5, 5, 0, 0, 28, Private, America, *, Black, *, *, *, <=50K
52, 227853.5, 5, 0, 0, 28, Private, America, *, Black, *, *, *, <=50K
52, 227853.5, 5, 0, 0, 28, Private, America, *, Black, *, *, *, <=50K
52, 227853.5, 5, 0, 0, 28, Private, America, *, Black, *, *, *, <=50K
52.5, 220780.5, 9, 0, 0, 45, Self, America, *, White, *, *, *, >50K
52.5, 220780.5, 9, 0, 0, 45, Self, America, *, White, *, *, *, <=50K
52.5, 220780.5, 9, 0, 0, 45, Self, America, *, White, *, *, *, >50K
52.5, 220780.5, 9, 0, 0, 45, Self, America, *, White, *, *, *, <=50K
52.5, 220780.5, 9, 0, 0, 45, Self, America, *, White, *, *, *, <=50K
52.5, 220780.5, 9, 0, 0, 45, Self, America, *, White, *, *, *, <=50K
52.5, 220780.5, 9, 0, 0, 45, Self, America, *, White, *, *, *, <=50K
35.5, 141862, 14, 14554, 0, 50, Private, United-States, *, White, *, *, *, >50K
35.5, 141862, 14, 14554, 0, 50, Private, United-States, *, White, *, *, *, >50K
35.5, 141862, 14, 14554, 0, 50, Private, United-States, *, White, *, *, *, >50K
35.5, 141862, 14, 14554, 0, 50, Private, United-States, *, White, *, *, *, >50K
35.5, 141862, 14, 14554, 0, 50, Private, United-States, *, White, *, *, *, >50K
35.5, 141862, 14, 14554, 0, 50, Private, United-States, *, White, *, *, *, >50K
35.5, 141862, 14, 14554, 0, 50, Private, United-States, *, White, *, *, *, >50K
43, 177997, 13, 6433, 0, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
43, 177997, 13, 6433, 0, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
43, 177997, 13, 6433, 0, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
43, 177997, 13, 6433, 0, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
43, 177997, 13, 6433, 0, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
43, 177997, 13, 6433, 0, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
43, 177997, 13, 6433, 0, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
40.5, 320872, 10, 0, 0, 80, Self, *, *, *, *, *, *, >50K
40.5, 320872, 10, 0, 0, 80, Self, *, *, *, *, *, *, <=50K
40.5, 320872, 10, 0, 0, 80, Self, *, *, *, *, *, *, <=50K
40.5, 320872, 10, 0, 0, 80, Self, *, *, *, *, *, *, <=50K
