age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income 
39, 103556.5, 13, 3119, 0, 40, *, *, *, *, *, *, *, <=50K
39, 103556.5, 13, 3119, 0, 40, *, *, *, *, *, *, *, <=50K
39, 103556.5, 13, 3119, 0, 40, *, *, *, *, *, *, *, <=50K
39, 103556.5, 13, 3119, 0, 40, *, *, *, *, *, *, *, >50K
39, 103556.5, 13, 3119, 0, 40, *, *, *, *, *, *, *, <=50K
39, 103556.5, 13, 3119, 0, 40, *, *, *, *, *, *, *, <=50K
39, 103556.5, 13, 3119, 0, 40, *, *, *, *, *, *, *, <=50K
39, 103556.5, 13, 3119, 0, 40, *, *, *, *, *, *, *, <=50K
39, 103556.5, 13, 3119, 0, 40, *, *, *, *, *, *, *, <=50K
39, 103556.5, 13, 3119, 0, 40, *, *, *, *, *, *, *, >50K
39, 103556.5, 13, 3119, 0, 40, *, *, *, *, *, *, *, <=50K
39, 103556.5, 13, 3119, 0, 40, *, *, *, *, *, *, *, <=50K
39, 103556.5, 13, 3119, 0, 40, *, *, *, *, *, *, *, <=50K
39, 103556.5, 13, 3119, 0, 40, *, *, *, *, *, *, *, <=50K
39, 103556.5, 13, 3119, 0, 40, *, *, *, *, *, *, *, <=50K
54.5, 141512, 13, 0, 0, 19, *, *, *, *, *, *, *, <=50K
54.5, 141512, 13, 0, 0, 19, *, *, *, *, *, *, *, >50K
54.5, 141512, 13, 0, 0, 19, *, *, *, *, *, *, *, <=50K
54.5, 141512, 13, 0, 0, 19, *, *, *, *, *, *, *, <=50K
54.5, 141512, 13, 0, 0, 19, *, *, *, *, *, *, *, <=50K
54.5, 141512, 13, 0, 0, 19, *, *, *, *, *, *, *, <=50K
54.5, 141512, 13, 0, 0, 19, *, *, *, *, *, *, *, <=50K
54.5, 141512, 13, 0, 0, 19, *, *, *, *, *, *, *, <=50K
54.5, 141512, 13, 0, 0, 19, *, *, *, *, *, *, *, >50K
54.5, 141512, 13, 0, 0, 19, *, *, *, *, *, *, *, <=50K
54.5, 141512, 13, 0, 0, 19, *, *, *, *, *, *, *, <=50K
54.5, 141512, 13, 0, 0, 19, *, *, *, *, *, *, *, >50K
54.5, 141512, 13, 0, 0, 19, *, *, *, *, *, *, *, <=50K
54.5, 141512, 13, 0, 0, 19, *, *, *, *, *, *, *, <=50K
54.5, 141512, 13, 0, 0, 19, *, *, *, *, *, *, *, <=50K
38, 235633.5, 9, 0, 0, 40, Self, America, *, *, *, *, *, <=50K
38, 235633.5, 9, 0, 0, 40, Self, America, *, *, *, *, *, <=50K
38, 235633.5, 9, 0, 0, 40, Self, America, *, *, *, *, *, >50K
38, 235633.5, 9, 0, 0, 40, Self, America, *, *, *, *, *, <=50K
38, 235633.5, 9, 0, 0, 40, Self, America, *, *, *, *, *, <=50K
38, 235633.5, 9, 0, 0, 40, Self, America, *, *, *, *, *, >50K
38, 235633.5, 9, 0, 0, 40, Self, America, *, *, *, *, *, <=50K
38, 235633.5, 9, 0, 0, 40, Self, America, *, *, *, *, *, >50K
38, 235633.5, 9, 0, 0, 40, Self, America, *, *, *, *, *, >50K
38, 235633.5, 9, 0, 0, 40, Self, America, *, *, *, *, *, <=50K
38, 235633.5, 9, 0, 0, 40, Self, America, *, *, *, *, *, <=50K
38, 235633.5, 9, 0, 0, 40, Self, America, *, *, *, *, *, <=50K
38, 235633.5, 9, 0, 0, 40, Self, America, *, *, *, *, *, <=50K
38, 235633.5, 9, 0, 0, 40, Self, America, *, *, *, *, *, <=50K
38, 235633.5, 9, 0, 0, 40, Self, America, *, *, *, *, *, <=50K
56, 268784, 7, 0, 0, 40, *, *, *, *, *, *, *, <=50K
56, 268784, 7, 0, 0, 40, *, *, *, *, *, *, *, <=50K
56, 268784, 7, 0, 0, 40, *, *, *, *, *, *, *, <=50K
56, 268784, 7, 0, 0, 40, *, *, *, *, *, *, *, <=50K
56, 268784, 7, 0, 0, 40, *, *, *, *, *, *, *, <=50K
56, 268784, 7, 0, 0, 40, *, *, *, *, *, *, *, <=50K
56, 268784, 7, 0, 0, 40, *, *, *, *, *, *, *, <=50K
56, 268784, 7, 0, 0, 40, *, *, *, *, *, *, *, <=50K
