age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
41.5, 79838.5, 13, 2749.5, 0, 40, *, United-States, Male, White, Not-in-family, bureaucracy, <=50K, Never-married
41.5, 79838.5, 13, 2749.5, 0, 40, *, United-States, Male, White, Not-in-family, bureaucracy, <=50K, Never-married
41.5, 79838.5, 13, 2749.5, 0, 40, *, United-States, Male, White, Not-in-family, bureaucracy, <=50K, Divorced
41.5, 79838.5, 13, 2749.5, 0, 40, *, United-States, Male, White, Not-in-family, bureaucracy, <=50K, Never-married
41.5, 79838.5, 13, 2749.5, 0, 40, *, United-States, Male, White, Not-in-family, bureaucracy, <=50K, Never-married
41.5, 79838.5, 13, 2749.5, 0, 40, *, United-States, Male, White, Not-in-family, bureaucracy, <=50K, Never-married
41.5, 79838.5, 13, 2749.5, 0, 40, *, United-States, Male, White, Not-in-family, bureaucracy, <=50K, Divorced
51.5, 143204.5, 13, 0, 0, 24, Self, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
51.5, 143204.5, 13, 0, 0, 24, Self, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
51.5, 143204.5, 13, 0, 0, 24, Self, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
51.5, 143204.5, 13, 0, 0, 24, Self, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
51.5, 143204.5, 13, 0, 0, 24, Self, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
51.5, 143204.5, 13, 0, 0, 24, Self, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
51.5, 143204.5, 13, 0, 0, 24, Self, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
39, 228804, 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, manual-labor, <=50K, Divorced
39, 228804, 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, manual-labor, <=50K, Divorced
39, 228804, 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, manual-labor, <=50K, Never-married
39, 228804, 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, manual-labor, <=50K, Never-married
39, 228804, 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, manual-labor, <=50K, Never-married
