age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
39.5, 79838.5, 13, 2174, 0, 40, *, United-States, Male, White, Not-in-family, bureaucracy, <=50K, Never-married
39.5, 79838.5, 13, 2174, 0, 40, *, United-States, Male, White, Not-in-family, bureaucracy, <=50K, Never-married
39.5, 79838.5, 13, 2174, 0, 40, *, United-States, Male, White, Not-in-family, bureaucracy, <=50K, Never-married
52.5, 91431, 13, 0, 0, 14, Self, United-States, *, White, *, *, <=50K, Married-civ-spouse
52.5, 91431, 13, 0, 0, 14, Self, United-States, *, White, *, *, <=50K, Divorced
52.5, 91431, 13, 0, 0, 14, Self, United-States, *, White, *, *, <=50K, Widowed
38, 219539.5, 9, 0, 0, 40, Private, United-States, Male, White, *, manual-labor, <=50K, Divorced
38, 219539.5, 9, 0, 0, 40, Private, United-States, Male, White, *, manual-labor, <=50K, Married-civ-spouse
38, 219539.5, 9, 0, 0, 40, Private, United-States, Male, White, *, manual-labor, <=50K, Never-married
54, 249589, 7, 0, 0, 40, *, United-States, *, Black, *, *, <=50K, Married-civ-spouse
54, 249589, 7, 0, 0, 40, *, United-States, *, Black, *, *, <=50K, Separated
54, 249589, 7, 0, 0, 40, *, United-States, *, Black, *, *, <=50K, Married-civ-spouse
28, 338409, 13, 0, 0, 40, *, America, Female, Black, *, services, <=50K, Married-civ-spouse
28, 338409, 13, 0, 0, 40, *, America, Female, Black, *, services, <=50K, Never-married
28, 338409, 13, 0, 0, 40, *, America, Female, Black, *, services, <=50K, Never-married
37, 291513, 14, 0, 0, 40, Self, United-States, *, White, *, *, <=50K, Married-civ-spouse
37, 291513, 14, 0, 0, 40, Self, United-States, *, White, *, *, <=50K, Married-civ-spouse
37, 291513, 14, 0, 0, 40, Self, United-States, *, White, *, *, <=50K, Married-civ-spouse
50.5, 160187, 5, 0, 0, 23, Private, America, Female, Black, *, services, <=50K, Married-spouse-absent
50.5, 160187, 5, 0, 0, 23, Private, America, Female, Black, *, services, <=50K, Separated
50.5, 160187, 5, 0, 0, 23, Private, America, Female, Black, *, services, <=50K, Divorced
52, 213652.5, 9, 0, 0, 45, Self, United-States, Male, White, *, *, *, Married-civ-spouse
52, 213652.5, 9, 0, 0, 45, Self, United-States, Male, White, *, *, *, Married-civ-spouse
52, 213652.5, 9, 0, 0, 45, Self, United-States, Male, White, *, *, *, Divorced
33, 72569, 14, 14554, 0, 50, Private, United-States, *, White, *, *, >50K, Never-married
33, 72569, 14, 14554, 0, 50, Private, United-States, *, White, *, *, >50K, Married-civ-spouse
33, 72569, 14, 14554, 0, 50, Private, United-States, *, White, *, *, >50K, Never-married
42, 167012, 13, 6238, 0, 40, *, United-States, Male, White, Husband, *, >50K, Married-civ-spouse
42, 167012, 13, 6238, 0, 40, *, United-States, Male, White, Husband, *, >50K, Married-civ-spouse
42, 167012, 13, 6238, 0, 40, *, United-States, Male, White, Husband, *, >50K, Married-civ-spouse
37, 281158, 10, 0, 0, 80, Private, United-States, Male, Black, *, *, *, Married-civ-spouse
37, 281158, 10, 0, 0, 80, Private, United-States, Male, Black, *, *, *, Never-married
37, 281158, 10, 0, 0, 80, Private, United-States, Male, Black, *, *, *, Never-married
30.5, 157288, 13, 0, 0, 40, *, *, *, Asian-Pac-Islander, *, *, >50K, Married-civ-spouse
30.5, 157288, 13, 0, 0, 40, *, *, *, Asian-Pac-Islander, *, *, >50K, Married-civ-spouse
30.5, 157288, 13, 0, 0, 40, *, *, *, Asian-Pac-Islander, *, *, >50K, Married-civ-spouse
23.5, 132249.5, 13, 0, 0, 30, Private, United-States, Female, White, *, bureaucracy, <=50K, Never-married
23.5, 132249.5, 13, 0, 0, 30, Private, United-States, Female, White, *, bureaucracy, <=50K, Never-married
23.5, 132249.5, 13, 0, 0, 30, Private, United-States, Female, White, *, bureaucracy, <=50K, Never-married
34, 211472.5, 12, 0, 0, 50, Private, America, *, Black, *, *, <=50K, Never-married
34, 211472.5, 12, 0, 0, 50, Private, America, *, Black, *, *, <=50K, Married-civ-spouse
34, 211472.5, 12, 0, 0, 50, Private, America, *, Black, *, *, <=50K, Never-married
34, 245487, 4.5, 0, 0, 45, Private, America, Male, Amer-Indian-Eskimo, Husband, manual-labor, <=50K, Married-civ-spouse
34, 245487, 4.5, 0, 0, 45, Private, America, Male, Amer-Indian-Eskimo, Husband, manual-labor, <=50K, Married-civ-spouse
