age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
39.5, 84776, 13, 2174, 0, 40, *, United-States, Male, White, *, *, <=50K, Never-married
39.5, 84776, 13, 2174, 0, 40, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
39.5, 84776, 13, 2174, 0, 40, *, United-States, Male, White, *, *, <=50K, Never-married
39.5, 84776, 13, 2174, 0, 40, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
39.5, 84776, 13, 2174, 0, 40, *, United-States, Male, White, *, *, <=50K, Never-married
39.5, 84776, 13, 2174, 0, 40, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
39.5, 84776, 13, 2174, 0, 40, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
53.5, 141512, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, Married-civ-spouse
53.5, 141512, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, Married-civ-spouse
53.5, 141512, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, Married-civ-spouse
53.5, 141512, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, Never-married
53.5, 141512, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, Divorced
53.5, 141512, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, Married-civ-spouse
53.5, 141512, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, Widowed
38, 230368, 9, 0, 0, 40, Private, America, Male, White, *, manual-labor, <=50K, Divorced
38, 230368, 9, 0, 0, 40, Private, America, Male, White, *, manual-labor, <=50K, Married-civ-spouse
38, 230368, 9, 0, 0, 40, Private, America, Male, White, *, manual-labor, <=50K, Married-civ-spouse
38, 230368, 9, 0, 0, 40, Private, America, Male, White, *, manual-labor, <=50K, Never-married
38, 230368, 9, 0, 0, 40, Private, America, Male, White, *, manual-labor, <=50K, Married-civ-spouse
38, 230368, 9, 0, 0, 40, Private, America, Male, White, *, manual-labor, <=50K, Divorced
38, 230368, 9, 0, 0, 40, Private, America, Male, White, *, manual-labor, <=50K, Married-civ-spouse
54.5, 257030.5, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, Married-civ-spouse
54.5, 257030.5, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, Divorced
54.5, 257030.5, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, Married-civ-spouse
54.5, 257030.5, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, Separated
54.5, 257030.5, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, Divorced
54.5, 257030.5, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, Separated
54.5, 257030.5, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, Married-civ-spouse
28, 338409, 13, 0, 0, 40, *, *, *, *, *, *, <=50K, Married-civ-spouse
28, 338409, 13, 0, 0, 40, *, *, *, *, *, *, <=50K, Never-married
28, 338409, 13, 0, 0, 40, *, *, *, *, *, *, <=50K, Never-married
28, 338409, 13, 0, 0, 40, *, *, *, *, *, *, <=50K, Never-married
28, 338409, 13, 0, 0, 40, *, *, *, *, *, *, <=50K, Never-married
28, 338409, 13, 0, 0, 40, *, *, *, *, *, *, <=50K, Never-married
28, 338409, 13, 0, 0, 40, *, *, *, *, *, *, <=50K, Never-married
38, 311307.5, 14, 0, 0, 40, Self, United-States, *, White, *, *, <=50K, Married-civ-spouse
38, 311307.5, 14, 0, 0, 40, Self, United-States, *, White, *, *, <=50K, Never-married
38, 311307.5, 14, 0, 0, 40, Self, United-States, *, White, *, *, <=50K, Married-civ-spouse
38, 311307.5, 14, 0, 0, 40, Self, United-States, *, White, *, *, <=50K, Never-married
38, 311307.5, 14, 0, 0, 40, Self, United-States, *, White, *, *, <=50K, Married-civ-spouse
38, 311307.5, 14, 0, 0, 40, Self, United-States, *, White, *, *, <=50K, Never-married
38, 311307.5, 14, 0, 0, 40, Self, United-States, *, White, *, *, <=50K, Never-married
52, 187641.5, 5, 0, 0, 20.5, Self, America, *, *, *, *, <=50K, Married-spouse-absent
52, 187641.5, 5, 0, 0, 20.5, Self, America, *, *, *, *, <=50K, Married-civ-spouse
52, 187641.5, 5, 0, 0, 20.5, Self, America, *, *, *, *, <=50K, Divorced
52, 187641.5, 5, 0, 0, 20.5, Self, America, *, *, *, *, <=50K, Married-civ-spouse
52, 187641.5, 5, 0, 0, 20.5, Self, America, *, *, *, *, <=50K, Widowed
52, 187641.5, 5, 0, 0, 20.5, Self, America, *, *, *, *, <=50K, Never-married
52, 187641.5, 5, 0, 0, 20.5, Self, America, *, *, *, *, <=50K, Divorced
52.5, 220780.5, 9, 0, 0, 45, Self, United-States, *, White, *, *, *, Married-civ-spouse
52.5, 220780.5, 9, 0, 0, 45, Self, United-States, *, White, *, *, *, Married-civ-spouse
52.5, 220780.5, 9, 0, 0, 45, Self, United-States, *, White, *, *, *, Divorced
52.5, 220780.5, 9, 0, 0, 45, Self, United-States, *, White, *, *, *, Married-civ-spouse
52.5, 220780.5, 9, 0, 0, 45, Self, United-States, *, White, *, *, *, Married-civ-spouse
52.5, 220780.5, 9, 0, 0, 45, Self, United-States, *, White, *, *, *, Never-married
