age, fnlwgt, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
40, 77516, 2174, 0, 40, State-gov, United-States, Male, White, Never-married, Not-in-family, Adm-clerical, <=50K, 13
40, 77516, 2174, 0, 40, State-gov, United-States, Male, White, Never-married, Not-in-family, Adm-clerical, <=50K, 13
40, 77516, 2174, 0, 40, State-gov, United-States, Male, White, Never-married, Not-in-family, Adm-clerical, <=50K, 13
51, 126618, 0, 0, 14, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 13
51, 126618, 0, 0, 14, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 9
51, 126618, 0, 0, 14, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 9
38.5, 224250, 0, 0, 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K, 9
38.5, 224250, 0, 0, 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K, 10
38.5, 224250, 0, 0, 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K, 9
54.5, 234721, 0, 0, 40, Private, United-States, Male, Black, Married-civ-spouse, Husband, manual-labor, <=50K, 7
54.5, 234721, 0, 0, 40, Private, United-States, Male, Black, Married-civ-spouse, Husband, manual-labor, <=50K, 5
54.5, 234721, 0, 0, 40, Private, United-States, Male, Black, Married-civ-spouse, Husband, manual-labor, <=50K, 9
29.5, 338409, 0, 0, 40, Private, America, Female, *, Married-civ-spouse, Wife, services, <=50K, 13
29.5, 338409, 0, 0, 40, Private, America, Female, *, Married-civ-spouse, Wife, services, <=50K, 10
29.5, 338409, 0, 0, 40, Private, America, Female, *, Married-civ-spouse, Wife, services, <=50K, 13
37.5, 284582, 0, 0, 40, Private, United-States, Female, White, Married-civ-spouse, Wife, *, <=50K, 14
37.5, 284582, 0, 0, 40, Private, United-States, Female, White, Married-civ-spouse, Wife, *, <=50K, 9
37.5, 284582, 0, 0, 40, Private, United-States, Female, White, Married-civ-spouse, Wife, *, <=50K, 9
49.5, 163472.5, 0, 0, 16, Private, America, Female, *, *, Not-in-family, *, <=50K, 5
49.5, 163472.5, 0, 0, 16, Private, America, Female, *, *, Not-in-family, *, <=50K, 10
49.5, 163472.5, 0, 0, 16, Private, America, Female, *, *, Not-in-family, *, <=50K, 9
52, 209642, 0, 0, 45, Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 9
52, 209642, 0, 0, 45, Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 10
52, 209642, 0, 0, 45, Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 10
