age, fnlwgt, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
40, 103556.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 13
40, 103556.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 10
40, 103556.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 13
40, 103556.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 9
40, 103556.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 9
40, 103556.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 13
40, 103556.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 9
40, 103556.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 10
40, 103556.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 13
40, 103556.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 13
40, 103556.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 10
40, 103556.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 9
40, 103556.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 14
40, 103556.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 10
40, 103556.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 9
40, 103556.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 6
40, 103556.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 12
40, 103556.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 10
40, 103556.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 10
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 13
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 5
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 5
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 9
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 9
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 12
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 9
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 10
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 10
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 14
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 9
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 10
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 9
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 9
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 9
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 4
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 3
51, 136536.5, 0, 0, 16.5, *, America, *, *, *, *, *, *, 4
