age, fnlwgt, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
39.5, 79990.5, 2377, 0, 40, *, United-States, Male, White, *, *, *, <=50K, 13
39.5, 79990.5, 2377, 0, 40, *, United-States, Male, White, *, *, *, <=50K, 10
39.5, 79990.5, 2377, 0, 40, *, United-States, Male, White, *, *, *, <=50K, 13
39.5, 79990.5, 2377, 0, 40, *, United-States, Male, White, *, *, *, <=50K, 13
39.5, 79990.5, 2377, 0, 40, *, United-States, Male, White, *, *, *, <=50K, 10
39.5, 79990.5, 2377, 0, 40, *, United-States, Male, White, *, *, *, <=50K, 9
39.5, 79990.5, 2377, 0, 40, *, United-States, Male, White, *, *, *, <=50K, 12
50.5, 127902, 0, 0, 14, Self, United-States, *, White, *, *, *, <=50K, 13
50.5, 127902, 0, 0, 14, Self, United-States, *, White, *, *, *, <=50K, 9
50.5, 127902, 0, 0, 14, Self, United-States, *, White, *, *, *, <=50K, 10
50.5, 127902, 0, 0, 14, Self, United-States, *, White, *, *, *, <=50K, 9
50.5, 127902, 0, 0, 14, Self, United-States, *, White, *, *, *, <=50K, 9
50.5, 127902, 0, 0, 14, Self, United-States, *, White, *, *, *, <=50K, 11
50.5, 127902, 0, 0, 14, Self, United-States, *, White, *, *, *, <=50K, 10
38, 221001.5, 0, 0, 40, Self, United-States, Male, White, *, *, *, <=50K, 9
38, 221001.5, 0, 0, 40, Self, United-States, Male, White, *, *, *, <=50K, 10
38, 221001.5, 0, 0, 40, Self, United-States, Male, White, *, *, *, <=50K, 9
38, 221001.5, 0, 0, 40, Self, United-States, Male, White, *, *, *, <=50K, 10
38, 221001.5, 0, 0, 40, Self, United-States, Male, White, *, *, *, <=50K, 10
38, 221001.5, 0, 0, 40, Self, United-States, Male, White, *, *, *, <=50K, 9
38, 221001.5, 0, 0, 40, Self, United-States, Male, White, *, *, *, <=50K, 9
53, 235797, 0, 0, 40, *, United-States, *, Black, *, *, *, *, 7
53, 235797, 0, 0, 40, *, United-States, *, Black, *, *, *, *, 10
53, 235797, 0, 0, 40, *, United-States, *, Black, *, *, *, *, 11
53, 235797, 0, 0, 40, *, United-States, *, Black, *, *, *, *, 14
53, 235797, 0, 0, 40, *, United-States, *, Black, *, *, *, *, 12
53, 235797, 0, 0, 40, *, United-States, *, Black, *, *, *, *, 9
53, 235797, 0, 0, 40, *, United-States, *, Black, *, *, *, *, 14
