age, fnlwgt, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
41, 97715.5, 2318.5, 0, 40, *, United-States, Male, White, Never-married, Not-in-family, *, <=50K, 13
41, 97715.5, 2318.5, 0, 40, *, United-States, Male, White, Never-married, Not-in-family, *, <=50K, 13
41, 97715.5, 2318.5, 0, 40, *, United-States, Male, White, Never-married, Not-in-family, *, <=50K, 9
41, 97715.5, 2318.5, 0, 40, *, United-States, Male, White, Never-married, Not-in-family, *, <=50K, 12
41, 97715.5, 2318.5, 0, 40, *, United-States, Male, White, Never-married, Not-in-family, *, <=50K, 13
41, 97715.5, 2318.5, 0, 40, *, United-States, Male, White, Never-married, Not-in-family, *, <=50K, 13
41, 97715.5, 2318.5, 0, 40, *, United-States, Male, White, Never-married, Not-in-family, *, <=50K, 10
41, 97715.5, 2318.5, 0, 40, *, United-States, Male, White, Never-married, Not-in-family, *, <=50K, 13
41, 97715.5, 2318.5, 0, 40, *, United-States, Male, White, Never-married, Not-in-family, *, <=50K, 10
41, 97715.5, 2318.5, 0, 40, *, United-States, Male, White, Never-married, Not-in-family, *, <=50K, 14
41, 97715.5, 2318.5, 0, 40, *, United-States, Male, White, Never-married, Not-in-family, *, <=50K, 10
53.5, 146999.5, 0, 0, 16.5, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 13
53.5, 146999.5, 0, 0, 16.5, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 5
53.5, 146999.5, 0, 0, 16.5, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 6
53.5, 146999.5, 0, 0, 16.5, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 15
53.5, 146999.5, 0, 0, 16.5, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 7
53.5, 146999.5, 0, 0, 16.5, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 9
53.5, 146999.5, 0, 0, 16.5, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 10
53.5, 146999.5, 0, 0, 16.5, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 9
53.5, 146999.5, 0, 0, 16.5, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 9
53.5, 146999.5, 0, 0, 16.5, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 9
53.5, 146999.5, 0, 0, 16.5, Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K, 9
39.5, 228804, 0, 0, 40, Self, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K, 9
39.5, 228804, 0, 0, 40, Self, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K, 9
39.5, 228804, 0, 0, 40, Self, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K, 9
39.5, 228804, 0, 0, 40, Self, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K, 10
39.5, 228804, 0, 0, 40, Self, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K, 9
39.5, 228804, 0, 0, 40, Self, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K, 8
39.5, 228804, 0, 0, 40, Self, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K, 10
39.5, 228804, 0, 0, 40, Self, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K, 9
39.5, 228804, 0, 0, 40, Self, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K, 9
39.5, 228804, 0, 0, 40, Self, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K, 9
39.5, 228804, 0, 0, 40, Self, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K, 7
54.5, 239663, 0, 0, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K, 7
54.5, 239663, 0, 0, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K, 9
54.5, 239663, 0, 0, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K, 5
54.5, 239663, 0, 0, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K, 10
54.5, 239663, 0, 0, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K, 9
54.5, 239663, 0, 0, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K, 4
54.5, 239663, 0, 0, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K, 10
54.5, 239663, 0, 0, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K, 9
54.5, 239663, 0, 0, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K, 9
54.5, 239663, 0, 0, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K, 10
54.5, 239663, 0, 0, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K, 9
30.5, 375422, 0, 0, 41, Private, America, Female, *, Married-civ-spouse, Wife, *, <=50K, 13
30.5, 375422, 0, 0, 41, Private, America, Female, *, Married-civ-spouse, Wife, *, <=50K, 10
