age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income 
39, 95785.5, 13, 2174, 0, 40, *, *, *, White, *, *, *, <=50K
39, 95785.5, 13, 2174, 0, 40, *, *, *, White, *, *, *, <=50K
39, 95785.5, 13, 2174, 0, 40, *, *, *, White, *, *, *, >50K
39, 95785.5, 13, 2174, 0, 40, *, *, *, White, *, *, *, <=50K
39, 95785.5, 13, 2174, 0, 40, *, *, *, White, *, *, *, <=50K
39, 95785.5, 13, 2174, 0, 40, *, *, *, White, *, *, *, <=50K
39, 95785.5, 13, 2174, 0, 40, *, *, *, White, *, *, *, >50K
39, 95785.5, 13, 2174, 0, 40, *, *, *, White, *, *, *, <=50K
39, 95785.5, 13, 2174, 0, 40, *, *, *, White, *, *, *, <=50K
39, 95785.5, 13, 2174, 0, 40, *, *, *, White, *, *, *, <=50K
39, 95785.5, 13, 2174, 0, 40, *, *, *, White, *, *, *, <=50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, >50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, >50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, >50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, <=50K
38, 231378.5, 9, 0, 0, 40, Self, America, *, White, *, *, *, <=50K
38, 231378.5, 9, 0, 0, 40, Self, America, *, White, *, *, *, <=50K
38, 231378.5, 9, 0, 0, 40, Self, America, *, White, *, *, *, >50K
38, 231378.5, 9, 0, 0, 40, Self, America, *, White, *, *, *, <=50K
38, 231378.5, 9, 0, 0, 40, Self, America, *, White, *, *, *, <=50K
38, 231378.5, 9, 0, 0, 40, Self, America, *, White, *, *, *, <=50K
38, 231378.5, 9, 0, 0, 40, Self, America, *, White, *, *, *, >50K
38, 231378.5, 9, 0, 0, 40, Self, America, *, White, *, *, *, >50K
38, 231378.5, 9, 0, 0, 40, Self, America, *, White, *, *, *, <=50K
38, 231378.5, 9, 0, 0, 40, Self, America, *, White, *, *, *, <=50K
38, 231378.5, 9, 0, 0, 40, Self, America, *, White, *, *, *, <=50K
54.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, <=50K
54.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, <=50K
54.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, <=50K
54.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, <=50K
54.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, <=50K
54.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, <=50K
54.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, <=50K
54.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, <=50K
54.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, <=50K
54.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, <=50K
54.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, >50K
30, 408362, 13, 0, 0, 40, *, *, *, Black, *, *, *, <=50K
30, 408362, 13, 0, 0, 40, *, *, *, Black, *, *, *, <=50K
30, 408362, 13, 0, 0, 40, *, *, *, Black, *, *, *, <=50K
30, 408362, 13, 0, 0, 40, *, *, *, Black, *, *, *, <=50K
30, 408362, 13, 0, 0, 40, *, *, *, Black, *, *, *, <=50K
30, 408362, 13, 0, 0, 40, *, *, *, Black, *, *, *, <=50K
30, 408362, 13, 0, 0, 40, *, *, *, Black, *, *, *, <=50K
30, 408362, 13, 0, 0, 40, *, *, *, Black, *, *, *, <=50K
30, 408362, 13, 0, 0, 40, *, *, *, Black, *, *, *, <=50K
30, 408362, 13, 0, 0, 40, *, *, *, Black, *, *, *, <=50K
30, 408362, 13, 0, 0, 40, *, *, *, Black, *, *, *, <=50K
39.5, 311307.5, 14, 0, 0, 40, *, United-States, *, White, *, *, *, <=50K
39.5, 311307.5, 14, 0, 0, 40, *, United-States, *, White, *, *, *, <=50K
39.5, 311307.5, 14, 0, 0, 40, *, United-States, *, White, *, *, *, <=50K
39.5, 311307.5, 14, 0, 0, 40, *, United-States, *, White, *, *, *, >50K
39.5, 311307.5, 14, 0, 0, 40, *, United-States, *, White, *, *, *, <=50K
39.5, 311307.5, 14, 0, 0, 40, *, United-States, *, White, *, *, *, <=50K
39.5, 311307.5, 14, 0, 0, 40, *, United-States, *, White, *, *, *, <=50K
39.5, 311307.5, 14, 0, 0, 40, *, United-States, *, White, *, *, *, >50K
39.5, 311307.5, 14, 0, 0, 40, *, United-States, *, White, *, *, *, <=50K
39.5, 311307.5, 14, 0, 0, 40, *, United-States, *, White, *, *, *, >50K
39.5, 311307.5, 14, 0, 0, 40, *, United-States, *, White, *, *, *, <=50K
53.5, 227853.5, 5, 0, 0, 28, *, America, *, Black, *, *, *, <=50K
53.5, 227853.5, 5, 0, 0, 28, *, America, *, Black, *, *, *, <=50K
53.5, 227853.5, 5, 0, 0, 28, *, America, *, Black, *, *, *, <=50K
53.5, 227853.5, 5, 0, 0, 28, *, America, *, Black, *, *, *, <=50K
53.5, 227853.5, 5, 0, 0, 28, *, America, *, Black, *, *, *, <=50K
53.5, 227853.5, 5, 0, 0, 28, *, America, *, Black, *, *, *, >50K
53.5, 227853.5, 5, 0, 0, 28, *, America, *, Black, *, *, *, <=50K
53.5, 227853.5, 5, 0, 0, 28, *, America, *, Black, *, *, *, <=50K
53.5, 227853.5, 5, 0, 0, 28, *, America, *, Black, *, *, *, <=50K
53.5, 227853.5, 5, 0, 0, 28, *, America, *, Black, *, *, *, <=50K
53.5, 227853.5, 5, 0, 0, 28, *, America, *, Black, *, *, *, <=50K
53, 220780.5, 9, 0, 0, 45, Self, America, *, White, *, *, *, >50K
53, 220780.5, 9, 0, 0, 45, Self, America, *, White, *, *, *, <=50K
53, 220780.5, 9, 0, 0, 45, Self, America, *, White, *, *, *, <=50K
53, 220780.5, 9, 0, 0, 45, Self, America, *, White, *, *, *, <=50K
53, 220780.5, 9, 0, 0, 45, Self, America, *, White, *, *, *, >50K
53, 220780.5, 9, 0, 0, 45, Self, America, *, White, *, *, *, <=50K
53, 220780.5, 9, 0, 0, 45, Self, America, *, White, *, *, *, <=50K
