age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income 
39, 78963, 13, 2174, 0, 40, *, United-States, *, White, *, *, *, <=50K
39, 78963, 13, 2174, 0, 40, *, United-States, *, White, *, *, *, <=50K
39, 78963, 13, 2174, 0, 40, *, United-States, *, White, *, *, *, <=50K
52.5, 91431, 13, 0, 0, 14, Self, United-States, *, White, *, *, *, <=50K
52.5, 91431, 13, 0, 0, 14, Self, United-States, *, White, *, *, *, <=50K
52.5, 91431, 13, 0, 0, 14, Self, United-States, *, White, *, *, *, <=50K
38, 218115.5, 9, 0, 0, 40, Private, United-States, Male, *, *, *, *, <=50K
38, 218115.5, 9, 0, 0, 40, Private, United-States, Male, *, *, *, *, <=50K
38, 218115.5, 9, 0, 0, 40, Private, United-States, Male, *, *, *, *, <=50K
53.5, 240828.5, 7, 0, 0, 40, Private, United-States, Male, *, *, *, *, <=50K
53.5, 240828.5, 7, 0, 0, 40, Private, United-States, Male, *, *, *, *, <=50K
53.5, 240828.5, 7, 0, 0, 40, Private, United-States, Male, *, *, *, *, >50K
28, 338409, 13, 0, 0, 40, Private, *, *, *, *, *, Prof-specialty, <=50K
28, 338409, 13, 0, 0, 40, Private, *, *, *, *, *, Prof-specialty, <=50K
28, 338409, 13, 0, 0, 40, Private, *, *, *, *, *, Prof-specialty, <=50K
37.5, 291513, 14, 0, 0, 40, *, America, *, *, *, *, *, <=50K
37.5, 291513, 14, 0, 0, 40, *, America, *, *, *, *, *, <=50K
37.5, 291513, 14, 0, 0, 40, *, America, *, *, *, *, *, <=50K
49, 187641.5, 5, 0, 0, 18, Self, America, Female, *, *, Not-in-family, Other-service, <=50K
49, 187641.5, 5, 0, 0, 18, Self, America, Female, *, *, Not-in-family, Other-service, <=50K
49, 187641.5, 5, 0, 0, 18, Self, America, Female, *, *, Not-in-family, Other-service, <=50K
52, 213652.5, 9, 0, 0, 45, Self, United-States, Male, White, *, *, *, >50K
52, 213652.5, 9, 0, 0, 45, Self, United-States, Male, White, *, *, *, >50K
52, 213652.5, 9, 0, 0, 45, Self, United-States, Male, White, *, *, *, <=50K
33, 72569, 14, 14554, 0, 50, Private, United-States, *, White, *, *, *, >50K
33, 72569, 14, 14554, 0, 50, Private, United-States, *, White, *, *, *, >50K
33, 72569, 14, 14554, 0, 50, Private, United-States, *, White, *, *, *, >50K
42, 167012, 13, 6238, 0, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
42, 167012, 13, 6238, 0, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
42, 167012, 13, 6238, 0, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
39, 308553.5, 10, 0, 0, 80, Private, United-States, *, *, *, *, *, >50K
39, 308553.5, 10, 0, 0, 80, Private, United-States, *, *, *, *, *, <=50K
39, 308553.5, 10, 0, 0, 80, Private, United-States, *, *, *, *, *, >50K
30, 142411.5, 13, 0, 0, 40, *, *, *, *, *, *, *, >50K
30, 142411.5, 13, 0, 0, 40, *, *, *, *, *, *, *, <=50K
30, 142411.5, 13, 0, 0, 40, *, *, *, *, *, *, *, <=50K
23, 133218.5, 13, 0, 0, 30, *, United-States, *, *, Never-married, Own-child, *, <=50K
23, 133218.5, 13, 0, 0, 30, *, United-States, *, *, Never-married, Own-child, *, <=50K
23, 133218.5, 13, 0, 0, 30, *, United-States, *, *, Never-married, Own-child, *, <=50K
33, 206902, 12, 0, 0, 50, Private, United-States, Male, *, *, Not-in-family, *, <=50K
33, 206902, 12, 0, 0, 50, Private, United-States, Male, *, *, Not-in-family, *, >50K
33, 206902, 12, 0, 0, 50, Private, United-States, Male, *, *, Not-in-family, *, >50K
34, 245487, 4, 0, 0, 45, Private, Mexico, Male, *, *, *, *, <=50K
34, 245487, 4, 0, 0, 45, Private, Mexico, Male, *, *, *, *, <=50K
34, 245487, 4, 0, 0, 45, Private, Mexico, Male, *, *, *, *, <=50K
25, 185937, 9, 0, 0, 35, Self, United-States, *, *, Never-married, *, *, <=50K
25, 185937, 9, 0, 0, 35, Self, United-States, *, *, Never-married, *, *, <=50K
25, 185937, 9, 0, 0, 35, Self, United-States, *, *, Never-married, *, *, <=50K
32, 187690.5, 9, 0, 0, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
32, 187690.5, 9, 0, 0, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
32, 187690.5, 9, 0, 0, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
