age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income 
39.5, 79838.5, 13, 2174, 0, 40, *, United-States, Male, White, Never-married, Not-in-family, bureaucracy, <=50K
39.5, 79838.5, 13, 2174, 0, 40, *, United-States, Male, White, Never-married, Not-in-family, bureaucracy, <=50K
39.5, 79838.5, 13, 2174, 0, 40, *, United-States, Male, White, Never-married, Not-in-family, bureaucracy, <=50K
52.5, 91431, 13, 0, 0, 14, Self, United-States, *, White, *, *, *, <=50K
52.5, 91431, 13, 0, 0, 14, Self, United-States, *, White, *, *, *, <=50K
52.5, 91431, 13, 0, 0, 14, Self, United-States, *, White, *, *, *, <=50K
38, 219539.5, 9, 0, 0, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
38, 219539.5, 9, 0, 0, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
38, 219539.5, 9, 0, 0, 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
53.5, 240828.5, 7, 0, 0, 40, Private, United-States, Male, *, *, *, *, <=50K
53.5, 240828.5, 7, 0, 0, 40, Private, United-States, Male, *, *, *, *, <=50K
53.5, 240828.5, 7, 0, 0, 40, Private, United-States, Male, *, *, *, *, >50K
28, 348782, 13, 0, 0, 40, Private, America, Female, *, Married-civ-spouse, Wife, services, <=50K
28, 348782, 13, 0, 0, 40, Private, America, Female, *, Married-civ-spouse, Wife, services, >50K
28, 348782, 13, 0, 0, 40, Private, America, Female, *, Married-civ-spouse, Wife, services, >50K
37, 291513, 14, 0, 0, 40, Self, United-States, *, White, Married-civ-spouse, *, *, <=50K
37, 291513, 14, 0, 0, 40, Self, United-States, *, White, Married-civ-spouse, *, *, <=50K
37, 291513, 14, 0, 0, 40, Self, United-States, *, White, Married-civ-spouse, *, *, <=50K
49, 187641.5, 5, 0, 0, 18, Self, America, Female, *, *, Not-in-family, Other-service, <=50K
49, 187641.5, 5, 0, 0, 18, Self, America, Female, *, *, Not-in-family, Other-service, <=50K
49, 187641.5, 5, 0, 0, 18, Self, America, Female, *, *, Not-in-family, Other-service, <=50K
