age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income
[50 - 60], [83311 - 172281], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 172281], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 172281], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, >50K
[50 - 60], [83311 - 172281], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 172281], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 172281], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 172281], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 172281], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 172281], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 172281], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 172281], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 172281], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 172281], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 172281], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, >50K
[50 - 60], [83311 - 172281], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 172281], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 172281], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 172281], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, >50K
[50 - 60], [83311 - 172281], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
38, [215646 - 289148], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 289148], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 289148], 9, 0, 0, 40, Private, America, *, *, *, *, >50K
38, [215646 - 289148], 9, 0, 0, 40, Private, America, *, *, *, *, >50K
38, [215646 - 289148], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 289148], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 289148], 9, 0, 0, 40, Private, America, *, *, *, *, >50K
38, [215646 - 289148], 9, 0, 0, 40, Private, America, *, *, *, *, >50K
38, [215646 - 289148], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 289148], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 289148], 9, 0, 0, 40, Private, America, *, *, *, *, >50K
38, [215646 - 289148], 9, 0, 0, 40, Private, America, *, *, *, *, >50K
38, [215646 - 289148], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 289148], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 289148], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 289148], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 289148], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 289148], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 289148], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 50], Self, United-States, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 50], Self, United-States, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 50], Self, United-States, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 50], Self, United-States, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 50], Self, United-States, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 50], Self, United-States, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 50], Self, United-States, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 50], Self, United-States, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 50], Self, United-States, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 50], Self, United-States, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 50], Self, United-States, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 50], Self, United-States, *, *, *, *, >50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 50], Self, United-States, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 50], Self, United-States, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 50], Self, United-States, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 50], Self, United-States, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 50], Self, United-States, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 50], Self, United-States, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 50], Self, United-States, *, *, *, *, <=50K
[37 - 44], [284582 - 356934], 14, 0, 0, [40 - 42], *, America, *, White, *, *, <=50K
[37 - 44], [284582 - 356934], 14, 0, 0, [40 - 42], *, America, *, White, *, *, >50K
[37 - 44], [284582 - 356934], 14, 0, 0, [40 - 42], *, America, *, White, *, *, <=50K
[37 - 44], [284582 - 356934], 14, 0, 0, [40 - 42], *, America, *, White, *, *, >50K
[37 - 44], [284582 - 356934], 14, 0, 0, [40 - 42], *, America, *, White, *, *, >50K
[37 - 44], [284582 - 356934], 14, 0, 0, [40 - 42], *, America, *, White, *, *, <=50K
[37 - 44], [284582 - 356934], 14, 0, 0, [40 - 42], *, America, *, White, *, *, <=50K
[37 - 44], [284582 - 356934], 14, 0, 0, [40 - 42], *, America, *, White, *, *, >50K
[37 - 44], [284582 - 356934], 14, 0, 0, [40 - 42], *, America, *, White, *, *, >50K
[37 - 44], [284582 - 356934], 14, 0, 0, [40 - 42], *, America, *, White, *, *, <=50K
