age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, >50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, >50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, >50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, >50K
[50 - 60], [83311 - 203098], 13, 0, 0, [13 - 35], *, United-States, *, White, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, <=50K
