age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
39.5, 92411, 13, 2174, 0, 40, *, United-States, Male, White, *, *, *, Never-married
39.5, 92411, 13, 2174, 0, 40, *, United-States, Male, White, *, *, *, Married-civ-spouse
39.5, 92411, 13, 2174, 0, 40, *, United-States, Male, White, *, *, *, Never-married
39.5, 92411, 13, 2174, 0, 40, *, United-States, Male, White, *, *, *, Married-civ-spouse
39.5, 92411, 13, 2174, 0, 40, *, United-States, Male, White, *, *, *, Never-married
39.5, 92411, 13, 2174, 0, 40, *, United-States, Male, White, *, *, *, Never-married
39.5, 92411, 13, 2174, 0, 40, *, United-States, Male, White, *, *, *, Married-civ-spouse
39.5, 92411, 13, 2174, 0, 40, *, United-States, Male, White, *, *, *, Married-civ-spouse
39.5, 92411, 13, 2174, 0, 40, *, United-States, Male, White, *, *, *, Married-civ-spouse
39.5, 92411, 13, 2174, 0, 40, *, United-States, Male, White, *, *, *, Married-civ-spouse
39.5, 92411, 13, 2174, 0, 40, *, United-States, Male, White, *, *, *, Married-civ-spouse
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, Married-civ-spouse
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, Married-civ-spouse
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, Married-civ-spouse
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, Married-civ-spouse
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, Divorced
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, Never-married
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, Divorced
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, Divorced
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, Married-civ-spouse
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, Married-civ-spouse
54, 168761, 13, 0, 0, 16.5, *, United-States, *, White, *, *, *, Widowed
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, Divorced
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, Married-civ-spouse
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, Married-civ-spouse
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, Married-civ-spouse
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, Never-married
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, Married-civ-spouse
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, Married-civ-spouse
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, Married-civ-spouse
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, Married-civ-spouse
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, Divorced
38, 235633.5, 9, 0, 0, 40, Private, America, Male, White, *, *, *, Married-civ-spouse
56, 268784, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, Married-civ-spouse
56, 268784, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, Divorced
56, 268784, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, Divorced
56, 268784, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, Never-married
56, 268784, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, Married-civ-spouse
56, 268784, 7, 0, 0, 40, Self, United-States, *, *, *, *, *, Separated
