age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
43, 93291.5, 13, 2749.5, 0, 40, *, United-States, Male, White, Not-in-family, *, <=50K, Never-married
43, 93291.5, 13, 2749.5, 0, 40, *, United-States, Male, White, Not-in-family, *, <=50K, Never-married
43, 93291.5, 13, 2749.5, 0, 40, *, United-States, Male, White, Not-in-family, *, <=50K, Divorced
43, 93291.5, 13, 2749.5, 0, 40, *, United-States, Male, White, Not-in-family, *, <=50K, Divorced
43, 93291.5, 13, 2749.5, 0, 40, *, United-States, Male, White, Not-in-family, *, <=50K, Never-married
43, 93291.5, 13, 2749.5, 0, 40, *, United-States, Male, White, Not-in-family, *, <=50K, Never-married
43, 93291.5, 13, 2749.5, 0, 40, *, United-States, Male, White, Not-in-family, *, <=50K, Never-married
43, 93291.5, 13, 2749.5, 0, 40, *, United-States, Male, White, Not-in-family, *, <=50K, Divorced
43, 93291.5, 13, 2749.5, 0, 40, *, United-States, Male, White, Not-in-family, *, <=50K, Separated
43, 93291.5, 13, 2749.5, 0, 40, *, United-States, Male, White, Not-in-family, *, <=50K, Divorced
43, 93291.5, 13, 2749.5, 0, 40, *, United-States, Male, White, Not-in-family, *, <=50K, Never-married
51.5, 157270.5, 13, 0, 0, 26.5, Self, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
51.5, 157270.5, 13, 0, 0, 26.5, Self, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
51.5, 157270.5, 13, 0, 0, 26.5, Self, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
51.5, 157270.5, 13, 0, 0, 26.5, Self, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
51.5, 157270.5, 13, 0, 0, 26.5, Self, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
51.5, 157270.5, 13, 0, 0, 26.5, Self, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
51.5, 157270.5, 13, 0, 0, 26.5, Self, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
51.5, 157270.5, 13, 0, 0, 26.5, Self, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
51.5, 157270.5, 13, 0, 0, 26.5, Self, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
51.5, 157270.5, 13, 0, 0, 26.5, Self, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
51.5, 157270.5, 13, 0, 0, 26.5, Self, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
39.5, 228804, 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, manual-labor, <=50K, Divorced
39.5, 228804, 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, manual-labor, <=50K, Divorced
39.5, 228804, 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, manual-labor, <=50K, Never-married
39.5, 228804, 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, manual-labor, <=50K, Never-married
39.5, 228804, 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, manual-labor, <=50K, Divorced
39.5, 228804, 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, manual-labor, <=50K, Never-married
39.5, 228804, 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, manual-labor, <=50K, Divorced
39.5, 228804, 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, manual-labor, <=50K, Never-married
39.5, 228804, 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, manual-labor, <=50K, Divorced
39.5, 228804, 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, manual-labor, <=50K, Divorced
39.5, 228804, 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, manual-labor, <=50K, Separated
54.5, 268784, 7, 0, 0, 40, *, United-States, Male, *, Husband, *, <=50K, Married-civ-spouse
54.5, 268784, 7, 0, 0, 40, *, United-States, Male, *, Husband, *, <=50K, Married-civ-spouse
54.5, 268784, 7, 0, 0, 40, *, United-States, Male, *, Husband, *, <=50K, Married-civ-spouse
54.5, 268784, 7, 0, 0, 40, *, United-States, Male, *, Husband, *, <=50K, Married-civ-spouse
54.5, 268784, 7, 0, 0, 40, *, United-States, Male, *, Husband, *, <=50K, Married-civ-spouse
54.5, 268784, 7, 0, 0, 40, *, United-States, Male, *, Husband, *, <=50K, Married-civ-spouse
54.5, 268784, 7, 0, 0, 40, *, United-States, Male, *, Husband, *, <=50K, Married-civ-spouse
54.5, 268784, 7, 0, 0, 40, *, United-States, Male, *, Husband, *, <=50K, Married-civ-spouse
54.5, 268784, 7, 0, 0, 40, *, United-States, Male, *, Husband, *, <=50K, Married-civ-spouse
54.5, 268784, 7, 0, 0, 40, *, United-States, Male, *, Husband, *, <=50K, Married-civ-spouse
54.5, 268784, 7, 0, 0, 40, *, United-States, Male, *, Husband, *, <=50K, Married-civ-spouse
30, 357752, 13, 0, 0, 40, Private, *, Female, *, *, *, <=50K, Married-civ-spouse
