age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
50, 83311, 13, 0, 0, 13, Self-emp-not-inc, United-States, Male, White, Husband, Exec-managerial, <=50K, Married-civ-spouse
38, 215646, 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, Handlers-cleaners, <=50K, Divorced
53, 234721, 7, 0, 0, 40, Private, United-States, Male, Black, Husband, Handlers-cleaners, <=50K, Married-civ-spouse
37, 284582, 14, 0, 0, 40, Private, United-States, Female, White, Wife, Exec-managerial, <=50K, Married-civ-spouse
52, 209642, 9, 0, 0, 45, Self-emp-not-inc, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
42, 159449, 13, 5178, 0, 40, Private, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
37, 280464, 10, 0, 0, 80, Private, United-States, Male, Black, Husband, Exec-managerial, >50K, Married-civ-spouse
32, 205019, 12, 0, 0, 50, Private, United-States, Male, Black, Not-in-family, Sales, <=50K, Never-married
32, 186824, 9, 0, 0, 40, Private, United-States, Male, White, Unmarried, Machine-op-inspct, <=50K, Never-married
38, 28887, 7, 0, 0, 50, Private, United-States, Male, White, Husband, Sales, <=50K, Married-civ-spouse
40, 193524, 16, 0, 0, 60, Private, United-States, Male, White, Husband, Prof-specialty, >50K, Married-civ-spouse
43, 117037, 7, 0, 2042, 40, Private, United-States, Male, White, Husband, Transport-moving, <=50K, Married-civ-spouse
59, 109015, 9, 0, 0, 40, Private, United-States, Female, White, Unmarried, Tech-support, <=50K, Divorced
19, 168294, 9, 0, 0, 40, Private, United-States, Male, White, Own-child, Craft-repair, <=50K, Never-married
39, 367260, 9, 0, 0, 80, Private, United-States, Male, White, Not-in-family, Exec-managerial, <=50K, Divorced
49, 193366, 9, 0, 0, 40, Private, United-States, Male, White, Husband, Craft-repair, <=50K, Married-civ-spouse
45, 386940, 13, 0, 1408, 40, Private, United-States, Male, White, Own-child, Exec-managerial, <=50K, Divorced
48, 265477, 12, 0, 0, 40, Self-emp-not-inc, United-States, Male, White, Husband, Prof-specialty, <=50K, Married-civ-spouse
53, 88506, 13, 0, 0, 40, Self-emp-not-inc, United-States, Male, White, Husband, Prof-specialty, <=50K, Married-civ-spouse
24, 172987, 13, 0, 0, 50, Private, United-States, Male, White, Husband, Tech-support, <=50K, Married-civ-spouse
49, 94638, 9, 0, 0, 40, Private, United-States, Female, White, Unmarried, Adm-clerical, <=50K, Separated
25, 289980, 9, 0, 0, 35, Private, United-States, Male, White, Not-in-family, Handlers-cleaners, <=50K, Never-married
53, 144361, 9, 0, 0, 38, Private, United-States, Male, White, Husband, Machine-op-inspct, <=50K, Married-civ-spouse
41, 101603, 11, 0, 0, 40, State-gov, United-States, Male, White, Husband, Craft-repair, <=50K, Married-civ-spouse
29, 271466, 11, 0, 0, 43, Private, United-States, Male, White, Not-in-family, Prof-specialty, <=50K, Never-married
43, 237993, 10, 0, 0, 40, Private, United-States, Male, White, Husband, Tech-support, >50K, Married-civ-spouse
35, 56352, 11, 0, 0, 40, Private, Puerto-Rico, Male, White, Husband, Other-service, <=50K, Married-civ-spouse
41, 147372, 9, 0, 0, 48, Private, United-States, Male, White, Husband, Adm-clerical, <=50K, Married-civ-spouse
30, 188146, 9, 5013, 0, 40, Private, United-States, Male, White, Husband, Machine-op-inspct, <=50K, Married-civ-spouse
42, 116632, 16, 0, 0, 45, Private, United-States, Male, White, Husband, Prof-specialty, >50K, Married-civ-spouse
28, 183175, 10, 0, 0, 40, Private, United-States, Female, White, Not-in-family, Adm-clerical, <=50K, Divorced
53, 169846, 9, 0, 0, 40, Private, United-States, Female, White, Wife, Adm-clerical, >50K, Married-civ-spouse
49, 191681, 10, 0, 0, 50, Self-emp-inc, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
29, 162298, 13, 0, 0, 70, Self-emp-not-inc, United-States, Male, White, Husband, Sales, >50K, Married-civ-spouse
23, 211678, 10, 0, 0, 40, Private, United-States, Male, White, Not-in-family, Machine-op-inspct, <=50K, Never-married
79, 124744, 10, 0, 0, 20, Private, United-States, Male, White, Other-relative, Prof-specialty, <=50K, Married-civ-spouse
52, 276515, 13, 0, 0, 40, Private, Cuba, Male, White, Husband, Other-service, <=50K, Married-civ-spouse
46, 51618, 9, 0, 0, 40, Private, United-States, Female, White, Wife, Other-service, <=50K, Married-civ-spouse
49, 268234, 9, 0, 0, 40, Local-gov, United-States, Male, White, Husband, Protective-serv, >50K, Married-civ-spouse
