age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Divorced
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Divorced
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Never-married
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Never-married
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Never-married
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Divorced
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Divorced
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-spouse-absent
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Divorced
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Divorced
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[50 - 60], [83311 - 232618], 13, 0, 0, [13 - 38], *, *, *, White, *, *, *, Married-civ-spouse
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Divorced
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Married-civ-spouse
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Divorced
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Married-civ-spouse
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Married-civ-spouse
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Married-civ-spouse
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Married-civ-spouse
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Married-civ-spouse
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Never-married
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Married-civ-spouse
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Divorced
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Married-civ-spouse
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Divorced
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Married-civ-spouse
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Divorced
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Married-civ-spouse
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Never-married
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Never-married
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Divorced
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Married-civ-spouse
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Married-civ-spouse
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Never-married
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Never-married
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Married-spouse-absent
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Married-civ-spouse
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Married-civ-spouse
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Divorced
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Married-civ-spouse
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Married-civ-spouse
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Divorced
[38 - 39], [215646 - 316211], 9, 0, 0, 40, Private, America, *, White, *, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
[53 - 63], [234721 - 427781], [7 - 10], [0 - 3137], 0, [40 - 45], Self, United-States, Male, Black, Husband, *, *, Married-civ-spouse
