age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,native-country,sex,race,marital-status,relationship,occupation,income
42,159449,13,5178,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
49,193366,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
43,237993,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Tech-support,>50K
36,155537,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
59,159937,9,0,0,48,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,<=50K
37,202683,10,0,0,48,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,>50K
76,124191,14,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
40,118853,13,0,0,60,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,<=50K
48,187715,9,0,0,46,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
51,259323,13,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
37,208358,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
64,21174,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
61,69867,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
44,170924,10,7298,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
36,200352,13,0,0,45,Private,United-States,Male,White,Married-civ-spouse,Husband,Prof-specialty,<=50K
38,296478,11,7298,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
33,117963,13,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
33,111363,13,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
28,92262,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
38,172927,9,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,<=50K
25,344991,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
25,86872,13,0,0,55,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
32,364657,10,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,<=50K
44,116632,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Prof-specialty,>50K
60,245062,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
43,112131,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,<=50K
50,196232,9,7688,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
42,221172,13,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
44,210525,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Transport-moving,<=50K
35,54576,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Machine-op-inspct,<=50K
51,95469,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Prof-specialty,<=50K
57,69884,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,>50K
59,199713,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
34,153614,9,0,0,45,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,>50K
33,205469,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
43,154374,10,15024,0,60,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
60,199378,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
31,55849,10,0,0,45,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
34,106742,9,0,0,45,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
44,219288,4,0,0,35,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
43,174524,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Machine-op-inspct,>50K
33,182556,13,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
60,177665,9,0,0,35,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
33,194141,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Machine-op-inspct,<=50K
34,217460,13,0,0,45,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
42,162140,13,7298,0,45,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
35,234901,10,2407,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
40,130760,11,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
32,231043,9,5178,0,48,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
56,186556,10,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
35,135162,10,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
51,146813,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Prof-specialty,>50K
37,86551,13,0,0,45,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
39,138192,13,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
48,285335,7,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,<=50K
44,48087,13,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
41,194636,13,0,0,60,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
37,183800,13,7688,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Prof-specialty,>50K
40,170108,14,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Prof-specialty,<=50K
30,87418,13,0,0,45,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
39,202027,13,15024,0,45,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
37,214738,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Machine-op-inspct,<=50K
51,138022,14,0,0,60,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
33,143653,9,0,0,30,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
43,227065,14,0,0,43,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
51,133461,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,<=50K
42,176286,12,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
34,202046,9,0,0,35,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
37,200153,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
41,194636,11,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Machine-op-inspct,<=50K
56,112840,9,0,0,55,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
42,118494,10,0,0,44,Private,United-States,Male,White,Married-civ-spouse,Husband,Prof-specialty,>50K
38,173208,14,0,0,25,Private,United-States,Male,White,Married-civ-spouse,Husband,Prof-specialty,<=50K
45,368561,9,0,0,55,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
44,167005,13,7688,0,60,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
45,185385,9,0,0,47,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
30,181651,13,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,<=50K
37,215310,9,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
49,31339,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
32,118161,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Protective-serv,<=50K
42,150533,10,7298,0,52,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
41,118212,13,3103,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
36,51100,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
29,140863,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Tech-support,<=50K
