age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income
50, 83311, 13, 0, 0, 13, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, <=50K
25, 176756, 9, 0, 0, 35, Self-emp-not-inc, United-States, Male, White, Never-married, Own-child, Farming-fishing, <=50K
20, 266015, 10, 0, 0, 44, Private, United-States, Male, Black, Never-married, Own-child, Sales, <=50K
19, 544091, 9, 0, 0, 25, Private, United-States, Female, White, Married-AF-spouse, Wife, Adm-clerical, <=50K
44, 128354, 14, 0, 0, 40, Private, United-States, Female, White, Divorced, Unmarried, Exec-managerial, <=50K
19, 101509, 10, 0, 0, 32, Private, United-States, Male, White, Never-married, Own-child, Prof-specialty, <=50K
46, 51618, 9, 0, 0, 40, Private, United-States, Female, White, Married-civ-spouse, Wife, Other-service, <=50K
21, 199915, 10, 0, 0, 40, Private, United-States, Female, White, Never-married, Own-child, Other-service, <=50K
49, 81973, 10, 0, 0, 40, Private, United-States, Male, Asian-Pac-Islander, Married-civ-spouse, Husband, Craft-repair, >50K
34, 304030, 9, 0, 0, 40, Private, United-States, Male, Black, Married-civ-spouse, Husband, Adm-clerical, <=50K
40, 207578, 12, 0, 1977, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, Tech-support, >50K
45, 187666, 11, 0, 0, 45, Private, United-States, Female, White, Widowed, Not-in-family, Exec-managerial, <=50K
45, 98092, 9, 0, 0, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K
17, 245918, 7, 0, 0, 12, Private, United-States, Male, White, Never-married, Own-child, Other-service, <=50K
64, 21174, 9, 0, 0, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K
66, 127921, 9, 2050, 0, 55, Private, United-States, Male, White, Never-married, Not-in-family, Transport-moving, <=50K
47, 178686, 11, 0, 0, 40, Private, United-States, Male, White, Never-married, Not-in-family, Other-service, <=50K
43, 174575, 13, 0, 1564, 45, Private, United-States, Male, White, Divorced, Not-in-family, Exec-managerial, >50K
46, 80914, 14, 0, 0, 30, Self-emp-not-inc, United-States, Male, White, Divorced, Not-in-family, Exec-managerial, <=50K
33, 208405, 14, 0, 0, 50, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K
49, 192776, 14, 0, 1977, 45, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K
23, 324960, 9, 0, 0, 40, Local-gov, Poland, Male, White, Never-married, Not-in-family, Farming-fishing, <=50K
41, 101739, 12, 0, 0, 50, Private, United-States, Female, White, Married-civ-spouse, Wife, Exec-managerial, >50K
27, 201872, 10, 0, 0, 50, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K
46, 245724, 10, 0, 0, 50, Self-emp-not-inc, United-States, Male, White, Divorced, Not-in-family, Exec-managerial, <=50K
