age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,native-country,sex,race,marital-status,relationship,occupation,income
42,159449,13,5178,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
49,193366,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
36,155537,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
59,159937,9,0,0,48,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,<=50K
37,202683,10,0,0,48,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,>50K
48,187715,9,0,0,46,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
37,208358,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
59,146013,10,4064,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,<=50K
55,238638,9,4386,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,>50K
28,92262,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
38,172927,9,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,<=50K
60,245062,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
43,112131,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,<=50K
42,221172,13,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
27,201872,10,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,<=50K
57,69884,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,>50K
59,199713,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
34,153614,9,0,0,45,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,>50K
33,205469,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
60,199378,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
36,188563,10,5178,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,>50K
31,55849,10,0,0,45,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
34,106742,9,0,0,45,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
33,182556,13,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
35,234901,10,2407,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
43,226902,13,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,>50K
40,130760,11,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
32,231043,9,5178,0,48,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
56,186556,10,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
35,135162,10,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
48,285335,7,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,<=50K
42,176286,12,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
34,202046,9,0,0,35,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
37,200153,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
45,185385,9,0,0,47,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
30,181651,13,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,<=50K
37,215310,9,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
49,31339,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
36,51100,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
46,106092,9,0,0,45,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
44,167725,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
48,182862,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
53,22154,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
57,141326,9,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,>50K
30,236770,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
30,209103,11,0,0,48,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,<=50K
43,85995,9,0,0,45,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,<=50K
40,240124,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
39,191161,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
52,146378,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
31,66815,9,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
47,67716,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,>50K
51,185283,10,0,0,45,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
42,245317,9,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,<=50K
45,149640,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
26,266912,9,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,>50K
29,200511,13,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,<=50K
40,103395,10,0,0,45,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
44,147206,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,<=50K
51,126010,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
30,39054,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,<=50K
47,198901,9,0,0,48,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
44,151504,10,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,<=50K
56,187487,9,0,0,48,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
38,156728,13,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,>50K
55,199067,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
37,272950,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,<=50K
39,238415,13,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
33,155343,9,3103,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,>50K
32,205390,9,0,0,49,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,<=50K
49,188330,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,>50K
39,179271,10,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
38,187046,7,0,0,45,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
32,190511,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
36,24106,9,3103,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,>50K
34,229732,11,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
36,83893,10,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
46,29696,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
34,157747,13,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
42,33521,12,0,0,45,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,>50K
52,150930,11,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
47,298130,9,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,<=50K
45,242391,13,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Exec-managerial,>50K
38,277347,9,0,0,50,Private,United-States,Male,White,Married-civ-spouse,Husband,Craft-repair,<=50K
42,169995,9,0,0,48,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,<=50K
32,157287,13,0,0,40,Private,United-States,Male,White,Married-civ-spouse,Husband,Sales,<=50K
