age, fnlwgt, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
1, 77516, 2174, 0, 40, State-gov, United-States, Male, White, Never-married, Not-in-family, Adm-clerical, <=50K, 13
2, 83311, 0, 0, 13, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, <=50K, 13
1, 215646, 0, 0, 40, Private, United-States, Male, White, Divorced, Not-in-family, Handlers-cleaners, <=50K, 9
2, 234721, 0, 0, 40, Private, United-States, Male, Black, Married-civ-spouse, Husband, Handlers-cleaners, <=50K, 7
0, 338409, 0, 0, 40, Private, Cuba, Female, Black, Married-civ-spouse, Wife, Prof-specialty, <=50K, 13
1, 284582, 0, 0, 40, Private, United-States, Female, White, Married-civ-spouse, Wife, Exec-managerial, <=50K, 14
2, 160187, 0, 0, 16, Private, Jamaica, Female, Black, Married-spouse-absent, Not-in-family, Other-service, <=50K, 5
2, 209642, 0, 0, 45, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 9
0, 45781, 14084, 0, 50, Private, United-States, Female, White, Never-married, Not-in-family, Prof-specialty, >50K, 14
1, 159449, 5178, 0, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 13
1, 280464, 0, 0, 80, Private, United-States, Male, Black, Married-civ-spouse, Husband, Exec-managerial, >50K, 10
0, 141297, 0, 0, 40, State-gov, India, Male, Asian-Pac-Islander, Married-civ-spouse, Husband, Prof-specialty, >50K, 13
0, 122272, 0, 0, 30, Private, United-States, Female, White, Never-married, Own-child, Adm-clerical, <=50K, 13
1, 205019, 0, 0, 50, Private, United-States, Male, Black, Never-married, Not-in-family, Sales, <=50K, 12
1, 245487, 0, 0, 45, Private, Mexico, Male, Amer-Indian-Eskimo, Married-civ-spouse, Husband, Transport-moving, <=50K, 4
0, 176756, 0, 0, 35, Self-emp-not-inc, United-States, Male, White, Never-married, Own-child, Farming-fishing, <=50K, 9
1, 186824, 0, 0, 40, Private, United-States, Male, White, Never-married, Unmarried, Machine-op-inspct, <=50K, 9
1, 28887, 0, 0, 50, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K, 7
1, 292175, 0, 0, 45, Self-emp-not-inc, United-States, Female, White, Divorced, Unmarried, Exec-managerial, >50K, 14
1, 193524, 0, 0, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K, 16
2, 302146, 0, 0, 20, Private, United-States, Female, Black, Separated, Unmarried, Other-service, <=50K, 9
1, 76845, 0, 0, 40, Federal-gov, United-States, Male, Black, Married-civ-spouse, Husband, Farming-fishing, <=50K, 5
1, 117037, 0, 2042, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Transport-moving, <=50K, 7
2, 109015, 0, 0, 40, Private, United-States, Female, White, Divorced, Unmarried, Tech-support, <=50K, 9
2, 216851, 0, 0, 40, Local-gov, United-States, Male, White, Married-civ-spouse, Husband, Tech-support, >50K, 13
0, 168294, 0, 0, 40, Private, United-States, Male, White, Never-married, Own-child, Craft-repair, <=50K, 9
1, 367260, 0, 0, 80, Private, United-States, Male, White, Divorced, Not-in-family, Exec-managerial, <=50K, 9
2, 193366, 0, 0, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K, 9
0, 190709, 0, 0, 52, Local-gov, United-States, Male, White, Never-married, Not-in-family, Protective-serv, <=50K, 12
0, 266015, 0, 0, 44, Private, United-States, Male, Black, Never-married, Own-child, Sales, <=50K, 10
1, 386940, 0, 1408, 40, Private, United-States, Male, White, Divorced, Own-child, Exec-managerial, <=50K, 13
0, 59951, 0, 0, 40, Federal-gov, United-States, Male, White, Married-civ-spouse, Own-child, Adm-clerical, <=50K, 10
0, 311512, 0, 0, 15, State-gov, United-States, Male, Black, Married-civ-spouse, Husband, Other-service, <=50K, 10
