age, fnlwgt, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
28, 338409, 0, 0, 40, Private, Cuba, Female, Black, Married-civ-spouse, Wife, Prof-specialty, <=50K, 13
49, 160187, 0, 0, 16, Private, Jamaica, Female, Black, Married-spouse-absent, Not-in-family, Other-service, <=50K, 5
30, 141297, 0, 0, 40, State-gov, India, Male, Asian-Pac-Islander, Married-civ-spouse, Husband, Prof-specialty, >50K, 13
34, 245487, 0, 0, 45, Private, Mexico, Male, Amer-Indian-Eskimo, Married-civ-spouse, Husband, Transport-moving, <=50K, 4
48, 242406, 0, 0, 40, Private, Puerto-Rico, Male, White, Never-married, Unmarried, Machine-op-inspct, <=50K, 7
47, 51835, 0, 1902, 60, Private, Honduras, Female, White, Married-civ-spouse, Wife, Prof-specialty, >50K, 15
46, 216666, 0, 0, 40, Private, Mexico, Male, White, Married-civ-spouse, Husband, Machine-op-inspct, <=50K, 3
35, 56352, 0, 0, 40, Private, Puerto-Rico, Male, White, Married-civ-spouse, Husband, Other-service, <=50K, 11
27, 213921, 0, 0, 40, Private, Mexico, Male, White, Never-married, Own-child, Other-service, <=50K, 9
52, 276515, 0, 0, 40, Private, Cuba, Male, White, Married-civ-spouse, Husband, Other-service, <=50K, 13
48, 171095, 0, 0, 40, Private, England, Female, White, Divorced, Unmarried, Exec-managerial, <=50K, 12
56, 335605, 0, 1887, 50, Self-emp-not-inc, Canada, Male, White, Married-civ-spouse, Husband, Other-service, >50K, 9
30, 77143, 0, 0, 40, Private, Germany, Male, Black, Never-married, Own-child, Exec-managerial, <=50K, 13
38, 125933, 0, 0, 40, Federal-gov, Iran, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K, 14
19, 316868, 0, 0, 30, Private, Mexico, Male, White, Never-married, Own-child, Other-service, <=50K, 10
47, 186009, 0, 0, 38, Local-gov, Mexico, Female, White, Divorced, Unmarried, Adm-clerical, <=50K, 10
33, 163003, 0, 0, 40, Private, Philippines, Female, Asian-Pac-Islander, Never-married, Other-relative, Exec-managerial, <=50K, 13
28, 88419, 0, 0, 40, Private, England, Female, Asian-Pac-Islander, Never-married, Not-in-family, Exec-managerial, <=50K, 9
36, 207157, 0, 0, 40, Private, Mexico, Female, White, Divorced, Unmarried, Other-service, <=50K, 10
40, 286370, 0, 0, 40, Private, Mexico, Male, White, Married-civ-spouse, Husband, Machine-op-inspct, >50K, 4
23, 197387, 0, 0, 40, Private, Mexico, Male, White, Married-civ-spouse, Other-relative, Transport-moving, <=50K, 3
38, 182609, 0, 0, 50, Private, Poland, Male, White, Married-civ-spouse, Husband, Sales, <=50K, 13
