age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
7, 77516, 13, 2174, 0, 40, State-gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
11, 83311, 13, 0, 0, 13, Self-emp-not-inc, United-States, Male, White, Husband, Exec-managerial, <=50K, Married-civ-spouse
7, 215646, 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, Handlers-cleaners, <=50K, Divorced
12, 234721, 7, 0, 0, 40, Private, United-States, Male, Black, Husband, Handlers-cleaners, <=50K, Married-civ-spouse
3, 338409, 13, 0, 0, 40, Private, Cuba, Female, Black, Wife, Prof-specialty, <=50K, Married-civ-spouse
6, 284582, 14, 0, 0, 40, Private, United-States, Female, White, Wife, Exec-managerial, <=50K, Married-civ-spouse
10, 160187, 5, 0, 0, 16, Private, Jamaica, Female, Black, Not-in-family, Other-service, <=50K, Married-spouse-absent
11, 209642, 9, 0, 0, 45, Self-emp-not-inc, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
4, 45781, 14, 14084, 0, 50, Private, United-States, Female, White, Not-in-family, Prof-specialty, >50K, Never-married
8, 159449, 13, 5178, 0, 40, Private, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
6, 280464, 10, 0, 0, 80, Private, United-States, Male, Black, Husband, Exec-managerial, >50K, Married-civ-spouse
4, 141297, 13, 0, 0, 40, State-gov, India, Male, Asian-Pac-Islander, Husband, Prof-specialty, >50K, Married-civ-spouse
2, 122272, 13, 0, 0, 30, Private, United-States, Female, White, Own-child, Adm-clerical, <=50K, Never-married
5, 205019, 12, 0, 0, 50, Private, United-States, Male, Black, Not-in-family, Sales, <=50K, Never-married
5, 245487, 4, 0, 0, 45, Private, Mexico, Male, Amer-Indian-Eskimo, Husband, Transport-moving, <=50K, Married-civ-spouse
2, 176756, 9, 0, 0, 35, Self-emp-not-inc, United-States, Male, White, Own-child, Farming-fishing, <=50K, Never-married
5, 186824, 9, 0, 0, 40, Private, United-States, Male, White, Unmarried, Machine-op-inspct, <=50K, Never-married
7, 28887, 7, 0, 0, 50, Private, United-States, Male, White, Husband, Sales, <=50K, Married-civ-spouse
8, 292175, 14, 0, 0, 45, Self-emp-not-inc, United-States, Female, White, Unmarried, Exec-managerial, >50K, Divorced
7, 193524, 16, 0, 0, 60, Private, United-States, Male, White, Husband, Prof-specialty, >50K, Married-civ-spouse
12, 302146, 9, 0, 0, 20, Private, United-States, Female, Black, Unmarried, Other-service, <=50K, Separated
6, 76845, 5, 0, 0, 40, Federal-gov, United-States, Male, Black, Husband, Farming-fishing, <=50K, Married-civ-spouse
8, 117037, 7, 0, 2042, 40, Private, United-States, Male, White, Husband, Transport-moving, <=50K, Married-civ-spouse
14, 109015, 9, 0, 0, 40, Private, United-States, Female, White, Unmarried, Tech-support, <=50K, Divorced
13, 216851, 13, 0, 0, 40, Local-gov, United-States, Male, White, Husband, Tech-support, >50K, Married-civ-spouse
