age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
1, 77516, 13, 2174, 0, 40, State-gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
2, 83311, 13, 0, 0, 13, Self-emp-not-inc, United-States, Male, White, Husband, Exec-managerial, <=50K, Married-civ-spouse
1, 215646, 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, Handlers-cleaners, <=50K, Divorced
2, 234721, 7, 0, 0, 40, Private, United-States, Male, Black, Husband, Handlers-cleaners, <=50K, Married-civ-spouse
0, 338409, 13, 0, 0, 40, Private, Cuba, Female, Black, Wife, Prof-specialty, <=50K, Married-civ-spouse
1, 284582, 14, 0, 0, 40, Private, United-States, Female, White, Wife, Exec-managerial, <=50K, Married-civ-spouse
2, 160187, 5, 0, 0, 16, Private, Jamaica, Female, Black, Not-in-family, Other-service, <=50K, Married-spouse-absent
2, 209642, 9, 0, 0, 45, Self-emp-not-inc, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
0, 45781, 14, 14084, 0, 50, Private, United-States, Female, White, Not-in-family, Prof-specialty, >50K, Never-married
1, 159449, 13, 5178, 0, 40, Private, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
1, 280464, 10, 0, 0, 80, Private, United-States, Male, Black, Husband, Exec-managerial, >50K, Married-civ-spouse
0, 141297, 13, 0, 0, 40, State-gov, India, Male, Asian-Pac-Islander, Husband, Prof-specialty, >50K, Married-civ-spouse
0, 122272, 13, 0, 0, 30, Private, United-States, Female, White, Own-child, Adm-clerical, <=50K, Never-married
1, 205019, 12, 0, 0, 50, Private, United-States, Male, Black, Not-in-family, Sales, <=50K, Never-married
1, 245487, 4, 0, 0, 45, Private, Mexico, Male, Amer-Indian-Eskimo, Husband, Transport-moving, <=50K, Married-civ-spouse
0, 176756, 9, 0, 0, 35, Self-emp-not-inc, United-States, Male, White, Own-child, Farming-fishing, <=50K, Never-married
1, 186824, 9, 0, 0, 40, Private, United-States, Male, White, Unmarried, Machine-op-inspct, <=50K, Never-married
1, 28887, 7, 0, 0, 50, Private, United-States, Male, White, Husband, Sales, <=50K, Married-civ-spouse
1, 292175, 14, 0, 0, 45, Self-emp-not-inc, United-States, Female, White, Unmarried, Exec-managerial, >50K, Divorced
1, 193524, 16, 0, 0, 60, Private, United-States, Male, White, Husband, Prof-specialty, >50K, Married-civ-spouse
2, 302146, 9, 0, 0, 20, Private, United-States, Female, Black, Unmarried, Other-service, <=50K, Separated
1, 76845, 5, 0, 0, 40, Federal-gov, United-States, Male, Black, Husband, Farming-fishing, <=50K, Married-civ-spouse
1, 117037, 7, 0, 2042, 40, Private, United-States, Male, White, Husband, Transport-moving, <=50K, Married-civ-spouse
2, 109015, 9, 0, 0, 40, Private, United-States, Female, White, Unmarried, Tech-support, <=50K, Divorced
2, 216851, 13, 0, 0, 40, Local-gov, United-States, Male, White, Husband, Tech-support, >50K, Married-civ-spouse
0, 168294, 9, 0, 0, 40, Private, United-States, Male, White, Own-child, Craft-repair, <=50K, Never-married
1, 367260, 9, 0, 0, 80, Private, United-States, Male, White, Not-in-family, Exec-managerial, <=50K, Divorced
2, 193366, 9, 0, 0, 40, Private, United-States, Male, White, Husband, Craft-repair, <=50K, Married-civ-spouse
0, 190709, 12, 0, 0, 52, Local-gov, United-States, Male, White, Not-in-family, Protective-serv, <=50K, Never-married
0, 266015, 10, 0, 0, 44, Private, United-States, Male, Black, Own-child, Sales, <=50K, Never-married
1, 386940, 13, 0, 1408, 40, Private, United-States, Male, White, Own-child, Exec-managerial, <=50K, Divorced
0, 59951, 10, 0, 0, 40, Federal-gov, United-States, Male, White, Own-child, Adm-clerical, <=50K, Married-civ-spouse
0, 311512, 10, 0, 0, 15, State-gov, United-States, Male, Black, Husband, Other-service, <=50K, Married-civ-spouse
2, 242406, 7, 0, 0, 40, Private, Puerto-Rico, Male, White, Unmarried, Machine-op-inspct, <=50K, Never-married
0, 197200, 10, 0, 0, 40, Private, United-States, Male, White, Own-child, Machine-op-inspct, <=50K, Never-married
0, 544091, 9, 0, 0, 25, Private, United-States, Female, White, Wife, Adm-clerical, <=50K, Married-AF-spouse
2, 265477, 12, 0, 0, 40, Self-emp-not-inc, United-States, Male, White, Husband, Prof-specialty, <=50K, Married-civ-spouse
0, 507875, 5, 0, 0, 43, Private, United-States, Male, White, Husband, Machine-op-inspct, <=50K, Married-civ-spouse
2, 88506, 13, 0, 0, 40, Self-emp-not-inc, United-States, Male, White, Husband, Prof-specialty, <=50K, Married-civ-spouse
0, 172987, 13, 0, 0, 50, Private, United-States, Male, White, Husband, Tech-support, <=50K, Married-civ-spouse
2, 94638, 9, 0, 0, 40, Private, United-States, Female, White, Unmarried, Adm-clerical, <=50K, Separated
0, 289980, 9, 0, 0, 35, Private, United-States, Male, White, Not-in-family, Handlers-cleaners, <=50K, Never-married
2, 337895, 13, 0, 0, 40, Federal-gov, United-States, Male, Black, Husband, Prof-specialty, >50K, Married-civ-spouse
2, 144361, 9, 0, 0, 38, Private, United-States, Male, White, Husband, Machine-op-inspct, <=50K, Married-civ-spouse
1, 128354, 14, 0, 0, 40, Private, United-States, Female, White, Unmarried, Exec-managerial, <=50K, Divorced
1, 101603, 11, 0, 0, 40, State-gov, United-States, Male, White, Husband, Craft-repair, <=50K, Married-civ-spouse
0, 271466, 11, 0, 0, 43, Private, United-States, Male, White, Not-in-family, Prof-specialty, <=50K, Never-married
0, 32275, 10, 0, 0, 40, Private, United-States, Female, Other, Wife, Exec-managerial, <=50K, Married-civ-spouse
2, 51835, 15, 0, 1902, 60, Private, Honduras, Female, White, Wife, Prof-specialty, >50K, Married-civ-spouse
2, 251585, 13, 0, 0, 55, Federal-gov, United-States, Male, White, Not-in-family, Exec-managerial, >50K, Divorced
2, 109832, 9, 0, 0, 60, Self-emp-inc, United-States, Male, White, Not-in-family, Exec-managerial, <=50K, Divorced
1, 237993, 10, 0, 0, 40, Private, United-States, Male, White, Husband, Tech-support, >50K, Married-civ-spouse
1, 216666, 3, 0, 0, 40, Private, Mexico, Male, White, Husband, Machine-op-inspct, <=50K, Married-civ-spouse
1, 56352, 11, 0, 0, 40, Private, Puerto-Rico, Male, White, Husband, Other-service, <=50K, Married-civ-spouse
1, 147372, 9, 0, 0, 48, Private, United-States, Male, White, Husband, Adm-clerical, <=50K, Married-civ-spouse
0, 188146, 9, 5013, 0, 40, Private, United-States, Male, White, Husband, Machine-op-inspct, <=50K, Married-civ-spouse
0, 59496, 13, 2407, 0, 40, Private, United-States, Male, White, Husband, Sales, <=50K, Married-civ-spouse
2, 149640, 9, 0, 0, 40, Private, United-States, Male, White, Husband, Transport-moving, <=50K, Married-civ-spouse
1, 116632, 16, 0, 0, 45, Private, United-States, Male, White, Husband, Prof-specialty, >50K, Married-civ-spouse
0, 105598, 10, 0, 0, 58, Private, United-States, Male, White, Not-in-family, Tech-support, <=50K, Divorced
1, 155537, 9, 0, 0, 40, Private, United-States, Male, White, Husband, Craft-repair, <=50K, Married-civ-spouse
0, 183175, 10, 0, 0, 40, Private, United-States, Female, White, Not-in-family, Adm-clerical, <=50K, Divorced
2, 169846, 9, 0, 0, 40, Private, United-States, Female, White, Wife, Adm-clerical, >50K, Married-civ-spouse
2, 191681, 10, 0, 0, 50, Self-emp-inc, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
0, 101509, 10, 0, 0, 32, Private, United-States, Male, White, Own-child, Prof-specialty, <=50K, Never-married
0, 309974, 13, 0, 0, 40, Private, United-States, Female, Black, Own-child, Sales, <=50K, Separated
0, 162298, 13, 0, 0, 70, Self-emp-not-inc, United-States, Male, White, Husband, Sales, >50K, Married-civ-spouse
0, 211678, 10, 0, 0, 40, Private, United-States, Male, White, Not-in-family, Machine-op-inspct, <=50K, Never-married
4, 124744, 10, 0, 0, 20, Private, United-States, Male, White, Other-relative, Prof-specialty, <=50K, Married-civ-spouse
