age, fnlwgt, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
39.5, 79838.5, 2174, 0, 40, *, United-States, Male, White, Never-married, Not-in-family, bureaucracy, <=50K, 13
39.5, 79838.5, 2174, 0, 40, *, United-States, Male, White, Never-married, Not-in-family, bureaucracy, <=50K, 13
39.5, 79838.5, 2174, 0, 40, *, United-States, Male, White, Never-married, Not-in-family, bureaucracy, <=50K, 13
50, 98300.5, 0, 0, 14, Self, United-States, *, *, *, *, *, <=50K, 13
50, 98300.5, 0, 0, 14, Self, United-States, *, *, *, *, *, <=50K, 9
50, 98300.5, 0, 0, 14, Self, United-States, *, *, *, *, *, <=50K, 3
38, 219539.5, 0, 0, 40, Self, United-States, Male, White, *, Not-in-family, manual-labor, <=50K, 9
38, 219539.5, 0, 0, 40, Self, United-States, Male, White, *, Not-in-family, manual-labor, <=50K, 10
38, 219539.5, 0, 0, 40, Self, United-States, Male, White, *, Not-in-family, manual-labor, <=50K, 9
53, 238663.5, 0, 0, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K, 7
53, 238663.5, 0, 0, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K, 9
53, 238663.5, 0, 0, 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K, 10
28, 338890.5, 0, 0, 40, Private, America, *, *, *, *, services, <=50K, 13
28, 338890.5, 0, 0, 40, Private, America, *, *, *, *, services, <=50K, 13
28, 338890.5, 0, 0, 40, Private, America, *, *, *, *, services, <=50K, 10
37, 289437, 0, 0, 40, Private, United-States, *, White, Married-civ-spouse, *, Exec-managerial, <=50K, 14
37, 289437, 0, 0, 40, Private, United-States, *, White, Married-civ-spouse, *, Exec-managerial, <=50K, 9
37, 289437, 0, 0, 40, Private, United-States, *, White, Married-civ-spouse, *, Exec-managerial, <=50K, 15
49.5, 163472.5, 0, 0, 16, Private, America, Female, *, *, Not-in-family, *, <=50K, 5
49.5, 163472.5, 0, 0, 16, Private, America, Female, *, *, Not-in-family, *, <=50K, 10
49.5, 163472.5, 0, 0, 16, Private, America, Female, *, *, Not-in-family, *, <=50K, 9
52, 215587, 0, 0, 45, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 9
52, 215587, 0, 0, 45, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 13
52, 215587, 0, 0, 45, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 13
31.5, 62155.5, 14554, 0, 50, Self, United-States, *, White, *, *, *, >50K, 14
31.5, 62155.5, 14554, 0, 50, Self, United-States, *, White, *, *, *, >50K, 10
31.5, 62155.5, 14554, 0, 50, Self, United-States, *, White, *, *, *, >50K, 13
42, 167012, 5178, 0, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 13
42, 167012, 5178, 0, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 9
42, 167012, 5178, 0, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 13
