age, fnlwgt, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
40, 97341, 2404.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 13
40, 97341, 2404.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 10
40, 97341, 2404.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 9
40, 97341, 2404.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 14
40, 97341, 2404.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 6
40, 97341, 2404.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 12
40, 97341, 2404.5, 0, 40, *, United-States, *, White, *, *, *, <=50K, 10
50.5, 136536.5, 0, 0, 14, Self, United-States, *, White, *, *, *, *, 13
50.5, 136536.5, 0, 0, 14, Self, United-States, *, White, *, *, *, *, 9
50.5, 136536.5, 0, 0, 14, Self, United-States, *, White, *, *, *, *, 10
50.5, 136536.5, 0, 0, 14, Self, United-States, *, White, *, *, *, *, 9
50.5, 136536.5, 0, 0, 14, Self, United-States, *, White, *, *, *, *, 10
50.5, 136536.5, 0, 0, 14, Self, United-States, *, White, *, *, *, *, 9
50.5, 136536.5, 0, 0, 14, Self, United-States, *, White, *, *, *, *, 10
38, 219048, 0, 0, 40, *, America, Male, White, *, *, *, <=50K, 9
38, 219048, 0, 0, 40, *, America, Male, White, *, *, *, <=50K, 9
38, 219048, 0, 0, 40, *, America, Male, White, *, *, *, <=50K, 10
38, 219048, 0, 0, 40, *, America, Male, White, *, *, *, <=50K, 10
38, 219048, 0, 0, 40, *, America, Male, White, *, *, *, <=50K, 11
38, 219048, 0, 0, 40, *, America, Male, White, *, *, *, <=50K, 3
38, 219048, 0, 0, 40, *, America, Male, White, *, *, *, <=50K, 3
53, 235797, 0, 0, 40, *, America, *, Black, *, *, *, *, 7
53, 235797, 0, 0, 40, *, America, *, Black, *, *, *, *, 10
53, 235797, 0, 0, 40, *, America, *, Black, *, *, *, *, 11
53, 235797, 0, 0, 40, *, America, *, Black, *, *, *, *, 14
53, 235797, 0, 0, 40, *, America, *, Black, *, *, *, *, 12
53, 235797, 0, 0, 40, *, America, *, Black, *, *, *, *, 14
53, 235797, 0, 0, 40, *, America, *, Black, *, *, *, *, 5
28.5, 338409, 0, 0, 40, Private, America, *, Black, *, *, *, <=50K, 13
28.5, 338409, 0, 0, 40, Private, America, *, Black, *, *, *, <=50K, 9
28.5, 338409, 0, 0, 40, Private, America, *, Black, *, *, *, <=50K, 10
28.5, 338409, 0, 0, 40, Private, America, *, Black, *, *, *, <=50K, 6
28.5, 338409, 0, 0, 40, Private, America, *, Black, *, *, *, <=50K, 5
28.5, 338409, 0, 0, 40, Private, America, *, Black, *, *, *, <=50K, 9
28.5, 338409, 0, 0, 40, Private, America, *, Black, *, *, *, <=50K, 10
37, 288281.5, 0, 0, 40, *, United-States, *, White, *, *, *, *, 14
37, 288281.5, 0, 0, 40, *, United-States, *, White, *, *, *, *, 10
37, 288281.5, 0, 0, 40, *, United-States, *, White, *, *, *, *, 9
37, 288281.5, 0, 0, 40, *, United-States, *, White, *, *, *, *, 9
37, 288281.5, 0, 0, 40, *, United-States, *, White, *, *, *, *, 10
37, 288281.5, 0, 0, 40, *, United-States, *, White, *, *, *, *, 9
37, 288281.5, 0, 0, 40, *, United-States, *, White, *, *, *, *, 9
52.5, 176870, 297, 0, 18, *, America, *, Black, *, *, *, <=50K, 5
52.5, 176870, 297, 0, 18, *, America, *, Black, *, *, *, <=50K, 9
