age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
40, 103556.5, 13, 3119, 0, 40, *, *, *, White, *, *, *, Never-married
40, 103556.5, 13, 3119, 0, 40, *, *, *, White, *, *, *, Married-civ-spouse
40, 103556.5, 13, 3119, 0, 40, *, *, *, White, *, *, *, Married-civ-spouse
40, 103556.5, 13, 3119, 0, 40, *, *, *, White, *, *, *, Married-civ-spouse
40, 103556.5, 13, 3119, 0, 40, *, *, *, White, *, *, *, Married-civ-spouse
40, 103556.5, 13, 3119, 0, 40, *, *, *, White, *, *, *, Never-married
40, 103556.5, 13, 3119, 0, 40, *, *, *, White, *, *, *, Married-civ-spouse
40, 103556.5, 13, 3119, 0, 40, *, *, *, White, *, *, *, Never-married
40, 103556.5, 13, 3119, 0, 40, *, *, *, White, *, *, *, Never-married
40, 103556.5, 13, 3119, 0, 40, *, *, *, White, *, *, *, Never-married
40, 103556.5, 13, 3119, 0, 40, *, *, *, White, *, *, *, Never-married
40, 103556.5, 13, 3119, 0, 40, *, *, *, White, *, *, *, Never-married
40, 103556.5, 13, 3119, 0, 40, *, *, *, White, *, *, *, Married-civ-spouse
40, 103556.5, 13, 3119, 0, 40, *, *, *, White, *, *, *, Married-civ-spouse
40, 103556.5, 13, 3119, 0, 40, *, *, *, White, *, *, *, Divorced
54.5, 192063.5, 13, 0, 0, 19, *, United-States, *, White, *, *, *, Married-civ-spouse
54.5, 192063.5, 13, 0, 0, 19, *, United-States, *, White, *, *, *, Married-civ-spouse
54.5, 192063.5, 13, 0, 0, 19, *, United-States, *, White, *, *, *, Married-civ-spouse
54.5, 192063.5, 13, 0, 0, 19, *, United-States, *, White, *, *, *, Married-civ-spouse
54.5, 192063.5, 13, 0, 0, 19, *, United-States, *, White, *, *, *, Never-married
54.5, 192063.5, 13, 0, 0, 19, *, United-States, *, White, *, *, *, Married-civ-spouse
54.5, 192063.5, 13, 0, 0, 19, *, United-States, *, White, *, *, *, Divorced
54.5, 192063.5, 13, 0, 0, 19, *, United-States, *, White, *, *, *, Never-married
54.5, 192063.5, 13, 0, 0, 19, *, United-States, *, White, *, *, *, Divorced
54.5, 192063.5, 13, 0, 0, 19, *, United-States, *, White, *, *, *, Divorced
54.5, 192063.5, 13, 0, 0, 19, *, United-States, *, White, *, *, *, Married-civ-spouse
54.5, 192063.5, 13, 0, 0, 19, *, United-States, *, White, *, *, *, Married-civ-spouse
54.5, 192063.5, 13, 0, 0, 19, *, United-States, *, White, *, *, *, Married-civ-spouse
54.5, 192063.5, 13, 0, 0, 19, *, United-States, *, White, *, *, *, Widowed
54.5, 192063.5, 13, 0, 0, 19, *, United-States, *, White, *, *, *, Married-civ-spouse
38, 242484.5, 9, 0, 0, 40, *, America, *, White, *, *, *, Divorced
38, 242484.5, 9, 0, 0, 40, *, America, *, White, *, *, *, Married-civ-spouse
38, 242484.5, 9, 0, 0, 40, *, America, *, White, *, *, *, Married-civ-spouse
38, 242484.5, 9, 0, 0, 40, *, America, *, White, *, *, *, Married-civ-spouse
38, 242484.5, 9, 0, 0, 40, *, America, *, White, *, *, *, Married-civ-spouse
38, 242484.5, 9, 0, 0, 40, *, America, *, White, *, *, *, Separated
38, 242484.5, 9, 0, 0, 40, *, America, *, White, *, *, *, Married-civ-spouse
38, 242484.5, 9, 0, 0, 40, *, America, *, White, *, *, *, Never-married
38, 242484.5, 9, 0, 0, 40, *, America, *, White, *, *, *, Married-civ-spouse
38, 242484.5, 9, 0, 0, 40, *, America, *, White, *, *, *, Married-civ-spouse
38, 242484.5, 9, 0, 0, 40, *, America, *, White, *, *, *, Married-civ-spouse
38, 242484.5, 9, 0, 0, 40, *, America, *, White, *, *, *, Married-civ-spouse
38, 242484.5, 9, 0, 0, 40, *, America, *, White, *, *, *, Divorced
38, 242484.5, 9, 0, 0, 40, *, America, *, White, *, *, *, Never-married
38, 242484.5, 9, 0, 0, 40, *, America, *, White, *, *, *, Married-civ-spouse
58.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, Married-civ-spouse
58.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, Widowed
58.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, Married-civ-spouse
58.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, Married-civ-spouse
58.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, Never-married
58.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, Separated
58.5, 268433.5, 7, 0, 0, 40, *, United-States, *, Black, *, *, *, Separated
