age, hours-per-week, workclass, native-country, sex, race, relationship, occupation, marital-status, income, education-num
44, 40, *, America, *, White, *, *, *, <=50K, 13
44, 40, *, America, *, White, *, *, *, <=50K, 7
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 13
44, 40, *, America, *, White, *, *, *, <=50K, 7
44, 40, *, America, *, White, *, *, *, <=50K, 12
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 14
44, 40, *, America, *, White, *, *, *, <=50K, 11
44, 40, *, America, *, White, *, *, *, <=50K, 3
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 12
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 14
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 13
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 11
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 12
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 14
44, 40, *, America, *, White, *, *, *, <=50K, 13
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 12
44, 40, *, America, *, White, *, *, *, <=50K, 13
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 13
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 14
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 4
44, 40, *, America, *, White, *, *, *, <=50K, 5
44, 40, *, America, *, White, *, *, *, <=50K, 5
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 11
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 13
44, 40, *, America, *, White, *, *, *, <=50K, 12
44, 40, *, America, *, White, *, *, *, <=50K, 11
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 13
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 5
44, 40, *, America, *, White, *, *, *, <=50K, 14
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 13
44, 40, *, America, *, White, *, *, *, <=50K, 11
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 4
44, 40, *, America, *, White, *, *, *, <=50K, 6
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 11
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 13
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 13
44, 40, *, America, *, White, *, *, *, <=50K, 13
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 13
44, 40, *, America, *, White, *, *, *, <=50K, 5
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 13
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 11
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 7
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 13
44, 40, *, America, *, White, *, *, *, <=50K, 13
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 9
44, 40, *, America, *, White, *, *, *, <=50K, 14
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 10
44, 40, *, America, *, White, *, *, *, <=50K, 13
44, 40, *, America, *, White, *, *, *, <=50K, 7
65.5, 24, *, *, *, *, *, *, *, *, 13
65.5, 24, *, *, *, *, *, *, *, *, 5
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 10
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 11
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 1
65.5, 24, *, *, *, *, *, *, *, *, 11
65.5, 24, *, *, *, *, *, *, *, *, 6
65.5, 24, *, *, *, *, *, *, *, *, 10
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 14
65.5, 24, *, *, *, *, *, *, *, *, 12
65.5, 24, *, *, *, *, *, *, *, *, 11
65.5, 24, *, *, *, *, *, *, *, *, 2
65.5, 24, *, *, *, *, *, *, *, *, 13
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 5
65.5, 24, *, *, *, *, *, *, *, *, 13
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 7
65.5, 24, *, *, *, *, *, *, *, *, 3
65.5, 24, *, *, *, *, *, *, *, *, 5
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 10
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 11
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 13
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 15
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 10
65.5, 24, *, *, *, *, *, *, *, *, 10
65.5, 24, *, *, *, *, *, *, *, *, 2
65.5, 24, *, *, *, *, *, *, *, *, 10
65.5, 24, *, *, *, *, *, *, *, *, 13
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 12
65.5, 24, *, *, *, *, *, *, *, *, 14
65.5, 24, *, *, *, *, *, *, *, *, 13
65.5, 24, *, *, *, *, *, *, *, *, 10
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 15
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 6
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 4
65.5, 24, *, *, *, *, *, *, *, *, 13
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 4
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 10
65.5, 24, *, *, *, *, *, *, *, *, 10
65.5, 24, *, *, *, *, *, *, *, *, 6
65.5, 24, *, *, *, *, *, *, *, *, 10
65.5, 24, *, *, *, *, *, *, *, *, 14
65.5, 24, *, *, *, *, *, *, *, *, 4
65.5, 24, *, *, *, *, *, *, *, *, 4
65.5, 24, *, *, *, *, *, *, *, *, 5
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 5
65.5, 24, *, *, *, *, *, *, *, *, 13
65.5, 24, *, *, *, *, *, *, *, *, 13
65.5, 24, *, *, *, *, *, *, *, *, 15
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 15
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 13
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 15
65.5, 24, *, *, *, *, *, *, *, *, 10
65.5, 24, *, *, *, *, *, *, *, *, 10
65.5, 24, *, *, *, *, *, *, *, *, 4
65.5, 24, *, *, *, *, *, *, *, *, 13
65.5, 24, *, *, *, *, *, *, *, *, 10
65.5, 24, *, *, *, *, *, *, *, *, 12
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 10
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 1
65.5, 24, *, *, *, *, *, *, *, *, 15
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 10
65.5, 24, *, *, *, *, *, *, *, *, 10
65.5, 24, *, *, *, *, *, *, *, *, 6
65.5, 24, *, *, *, *, *, *, *, *, 16
65.5, 24, *, *, *, *, *, *, *, *, 4
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 9
65.5, 24, *, *, *, *, *, *, *, *, 6
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 9
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 10
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 10
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 4
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 4
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 9
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 9
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 2
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 2
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 9
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 10
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 9
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 9
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 9
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 9
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 10
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 11
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 9
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 9
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 9
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 9
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 10
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 10
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 9
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 10
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 9
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 11
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 11
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 9
47.5, 40, Private, *, *, White, *, manual-labor, *, <=50K, 9
