age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, income, marital-status
50.5, 50, 13, *, *, *, White, *, *, *, Never-married
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Divorced
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Divorced
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Divorced
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Divorced
50.5, 50, 13, *, *, *, White, *, *, *, Divorced
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Divorced
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Never-married
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Divorced
50.5, 50, 13, *, *, *, White, *, *, *, Divorced
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Married-spouse-absent
50.5, 50, 13, *, *, *, White, *, *, *, Never-married
50.5, 50, 13, *, *, *, White, *, *, *, Divorced
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, White, *, *, *, Never-married
50.5, 50, 13, *, *, *, White, *, *, *, Never-married
