age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, income, marital-status
50.5, 50, 13, *, *, *, *, *, *, *, Never-married
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Divorced
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Divorced
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Separated
50.5, 50, 13, *, *, *, *, *, *, *, Divorced
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Divorced
50.5, 50, 13, *, *, *, *, *, *, *, Divorced
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Divorced
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Never-married
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Divorced
50.5, 50, 13, *, *, *, *, *, *, *, Divorced
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-spouse-absent
50.5, 50, 13, *, *, *, *, *, *, *, Never-married
50.5, 50, 13, *, *, *, *, *, *, *, Divorced
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Never-married
50.5, 50, 13, *, *, *, *, *, *, *, Never-married
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Never-married
50.5, 50, 13, *, *, *, *, *, *, *, Divorced
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Never-married
50.5, 50, 13, *, *, *, *, *, *, *, Divorced
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
50.5, 50, 13, *, *, *, *, *, *, *, Never-married
50.5, 50, 13, *, *, *, *, *, *, *, Married-civ-spouse
