age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, income, marital-status
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Never-married
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Divorced
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Never-married
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Married-spouse-absent
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Never-married
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Never-married
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Never-married
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Never-married
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Divorced
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Never-married
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Never-married
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Divorced
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Never-married
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Never-married
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Divorced
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Never-married
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Divorced
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Divorced
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Never-married
42.5, 43, 13, *, *, *, *, Not-in-family, *, <=50K, Widowed
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
54, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
41.5, 40, 9, Private, *, *, *, Not-in-family, *, <=50K, Divorced
41.5, 40, 9, Private, *, *, *, Not-in-family, *, <=50K, Divorced
41.5, 40, 9, Private, *, *, *, Not-in-family, *, <=50K, Never-married
41.5, 40, 9, Private, *, *, *, Not-in-family, *, <=50K, Never-married
41.5, 40, 9, Private, *, *, *, Not-in-family, *, <=50K, Never-married
41.5, 40, 9, Private, *, *, *, Not-in-family, *, <=50K, Divorced
41.5, 40, 9, Private, *, *, *, Not-in-family, *, <=50K, Never-married
41.5, 40, 9, Private, *, *, *, Not-in-family, *, <=50K, Never-married
