age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, income, marital-status
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Divorced
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Divorced
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Separated
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Divorced
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Divorced
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Separated
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Divorced
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Divorced
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Never-married
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Widowed
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Divorced
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Divorced
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Widowed
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-spouse-absent
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
60.5, 29, 13, *, *, *, White, *, *, *, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Divorced
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Never-married
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Divorced
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Widowed
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Divorced
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Divorced
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Separated
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Never-married
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Never-married
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Widowed
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Divorced
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Divorced
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Never-married
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Divorced
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Never-married
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Divorced
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-civ-spouse
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Never-married
44.5, 40, 9, Private, *, Male, White, *, *, <=50K, Married-spouse-absent
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Divorced
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Divorced
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Widowed
62.5, 46, 8, *, United-States, *, *, *, *, *, Divorced
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Widowed
62.5, 46, 8, *, United-States, *, *, *, *, *, Never-married
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Divorced
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Widowed
62.5, 46, 8, *, United-States, *, *, *, *, *, Divorced
62.5, 46, 8, *, United-States, *, *, *, *, *, Divorced
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Divorced
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Divorced
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Divorced
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Divorced
62.5, 46, 8, *, United-States, *, *, *, *, *, Divorced
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
31, 40, 13, Private, *, *, *, *, *, *, Married-civ-spouse
31, 40, 13, Private, *, *, *, *, *, *, Married-civ-spouse
31, 40, 13, Private, *, *, *, *, *, *, Separated
31, 40, 13, Private, *, *, *, *, *, *, Never-married
31, 40, 13, Private, *, *, *, *, *, *, Never-married
31, 40, 13, Private, *, *, *, *, *, *, Never-married
31, 40, 13, Private, *, *, *, *, *, *, Married-civ-spouse
31, 40, 13, Private, *, *, *, *, *, *, Married-civ-spouse
31, 40, 13, Private, *, *, *, *, *, *, Never-married
31, 40, 13, Private, *, *, *, *, *, *, Married-civ-spouse
31, 40, 13, Private, *, *, *, *, *, *, Married-civ-spouse
31, 40, 13, Private, *, *, *, *, *, *, Never-married
31, 40, 13, Private, *, *, *, *, *, *, Married-civ-spouse
31, 40, 13, Private, *, *, *, *, *, *, Married-civ-spouse
31, 40, 13, Private, *, *, *, *, *, *, Never-married
31, 40, 13, Private, *, *, *, *, *, *, Widowed
31, 40, 13, Private, *, *, *, *, *, *, Married-civ-spouse
31, 40, 13, Private, *, *, *, *, *, *, Never-married
31, 40, 13, Private, *, *, *, *, *, *, Never-married
31, 40, 13, Private, *, *, *, *, *, *, Married-civ-spouse
31, 40, 13, Private, *, *, *, *, *, *, Never-married
31, 40, 13, Private, *, *, *, *, *, *, Married-civ-spouse
31, 40, 13, Private, *, *, *, *, *, *, Married-civ-spouse
31, 40, 13, Private, *, *, *, *, *, *, Never-married
31, 40, 13, Private, *, *, *, *, *, *, Married-civ-spouse
31, 40, 13, Private, *, *, *, *, *, *, Never-married
31, 40, 13, Private, *, *, *, *, *, *, Divorced
31, 40, 13, Private, *, *, *, *, *, *, Married-civ-spouse
31, 40, 13, Private, *, *, *, *, *, *, Married-civ-spouse
31, 40, 13, Private, *, *, *, *, *, *, Never-married
31, 40, 13, Private, *, *, *, *, *, *, Never-married
31, 40, 13, Private, *, *, *, *, *, *, Married-civ-spouse
31, 40, 13, Private, *, *, *, *, *, *, Never-married
31, 40, 13, Private, *, *, *, *, *, *, Never-married
31, 40, 13, Private, *, *, *, *, *, *, Never-married
31, 40, 13, Private, *, *, *, *, *, *, Never-married
31, 40, 13, Private, *, *, *, *, *, *, Married-civ-spouse
31, 40, 13, Private, *, *, *, *, *, *, Married-civ-spouse
31, 40, 13, Private, *, *, *, *, *, *, Married-civ-spouse
