age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, marital-status, income
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, >50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
43.5, 42, 13, *, United-States, Male, White, *, *, *, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, >50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, >50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, >50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, >50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, >50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, >50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, >50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, >50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, >50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, >50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, >50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, >50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, >50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, >50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, >50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, >50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
42.5, 40, 9, Private, United-States, Male, White, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, >50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, >50K
62.5, 46, 8, *, United-States, *, *, *, *, *, >50K
62.5, 46, 8, *, United-States, *, *, *, *, *, >50K
62.5, 46, 8, *, United-States, *, *, *, *, *, >50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, >50K
62.5, 46, 8, *, United-States, *, *, *, *, *, >50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, >50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, >50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
62.5, 46, 8, *, United-States, *, *, *, *, *, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, >50K
34.5, 40, 13, *, *, *, *, *, *, Married-civ-spouse, <=50K
46, 42.5, 14, *, *, *, White, *, *, *, <=50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, <=50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, <=50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, <=50K
46, 42.5, 14, *, *, *, White, *, *, *, <=50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, <=50K
46, 42.5, 14, *, *, *, White, *, *, *, <=50K
46, 42.5, 14, *, *, *, White, *, *, *, <=50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, <=50K
46, 42.5, 14, *, *, *, White, *, *, *, <=50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, <=50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, <=50K
46, 42.5, 14, *, *, *, White, *, *, *, <=50K
46, 42.5, 14, *, *, *, White, *, *, *, <=50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, <=50K
46, 42.5, 14, *, *, *, White, *, *, *, <=50K
46, 42.5, 14, *, *, *, White, *, *, *, <=50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
46, 42.5, 14, *, *, *, White, *, *, *, >50K
