age, hours-per-week, workclass, native-country, sex, race, relationship, occupation, marital-status, income, education-num
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 13
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 10
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 9
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 12
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 10
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 9
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 13
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 7
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 9
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 9
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 13
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 12
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 9
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 10
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 10
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 10
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 13
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 7
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 9
41, 40, *, North-America, Male, White, Not-in-family, *, *, <=50K, 10
54.5, 16.5, *, America, *, *, *, *, *, *, 13
54.5, 16.5, *, America, *, *, *, *, *, *, 5
54.5, 16.5, *, America, *, *, *, *, *, *, 9
54.5, 16.5, *, America, *, *, *, *, *, *, 9
54.5, 16.5, *, America, *, *, *, *, *, *, 10
54.5, 16.5, *, America, *, *, *, *, *, *, 9
54.5, 16.5, *, America, *, *, *, *, *, *, 5
54.5, 16.5, *, America, *, *, *, *, *, *, 9
54.5, 16.5, *, America, *, *, *, *, *, *, 15
54.5, 16.5, *, America, *, *, *, *, *, *, 6
