age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, income, marital-status
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Divorced
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Divorced
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Married-spouse-absent
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Divorced
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Divorced
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Separated
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Divorced
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, *, White, *, *, <=50K, Divorced
