age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, marital-status, income
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
46.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
60.5, 44, 14, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
60.5, 44, 14, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
60.5, 44, 14, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
60.5, 44, 14, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
60.5, 44, 14, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
60.5, 44, 14, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
60.5, 44, 14, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
60.5, 44, 14, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
