age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, income, marital-status
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Never-married
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Divorced
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Never-married
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Divorced
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Married-spouse-absent
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Never-married
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Never-married
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Never-married
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Divorced
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Never-married
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Divorced
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Never-married
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Never-married
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Divorced
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Divorced
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Divorced
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Divorced
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Divorced
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Widowed
43, 42.5, 13, *, United-States, *, White, Not-in-family, *, *, Never-married
53.5, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
53.5, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
53.5, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
53.5, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
53.5, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
53.5, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
53.5, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
53.5, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
53.5, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
53.5, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
53.5, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
53.5, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
53.5, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
53.5, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
53.5, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
53.5, 26.5, 13, Self, *, Male, *, Husband, *, *, Married-civ-spouse
