age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, income, marital-status
46, 45, 13, *, North-America, Male, White, *, *, *, Never-married
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Divorced
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Never-married
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Divorced
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Never-married
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Never-married
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Never-married
46, 45, 13, *, North-America, Male, White, *, *, *, Never-married
46, 45, 13, *, North-America, Male, White, *, *, *, Never-married
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Divorced
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Never-married
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Never-married
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Never-married
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Divorced
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Divorced
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
46, 45, 13, *, North-America, Male, White, *, *, *, Separated
46, 45, 13, *, North-America, Male, White, *, *, *, Married-civ-spouse
