age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, marital-status, income
40.5, 40, 13, *, United-States, Male, White, *, bureaucracy, *, <=50K
40.5, 40, 13, *, United-States, Male, White, *, bureaucracy, *, >50K
40.5, 40, 13, *, United-States, Male, White, *, bureaucracy, *, >50K
40.5, 40, 13, *, United-States, Male, White, *, bureaucracy, *, <=50K
40.5, 40, 13, *, United-States, Male, White, *, bureaucracy, *, <=50K
40.5, 40, 13, *, United-States, Male, White, *, bureaucracy, *, <=50K
40.5, 40, 13, *, United-States, Male, White, *, bureaucracy, *, <=50K
40.5, 40, 13, *, United-States, Male, White, *, bureaucracy, *, >50K
40.5, 40, 13, *, United-States, Male, White, *, bureaucracy, *, >50K
40.5, 40, 13, *, United-States, Male, White, *, bureaucracy, *, <=50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, <=50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, <=50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, >50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, >50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, >50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, <=50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, >50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, >50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, <=50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, >50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, >50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, >50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, >50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, Female, *, *, services, *, <=50K
29.5, 40, 13, Private, *, Female, *, *, services, *, <=50K
29.5, 40, 13, Private, *, Female, *, *, services, *, <=50K
29.5, 40, 13, Private, *, Female, *, *, services, *, <=50K
29.5, 40, 13, Private, *, Female, *, *, services, *, <=50K
29.5, 40, 13, Private, *, Female, *, *, services, *, <=50K
29.5, 40, 13, Private, *, Female, *, *, services, *, >50K
29.5, 40, 13, Private, *, Female, *, *, services, *, >50K
29.5, 40, 13, Private, *, Female, *, *, services, *, >50K
29.5, 40, 13, Private, *, Female, *, *, services, *, <=50K
40.5, 40, 14, Self, *, *, *, *, Exec-managerial, *, <=50K
40.5, 40, 14, Self, *, *, *, *, Exec-managerial, *, <=50K
40.5, 40, 14, Self, *, *, *, *, Exec-managerial, *, <=50K
40.5, 40, 14, Self, *, *, *, *, Exec-managerial, *, >50K
40.5, 40, 14, Self, *, *, *, *, Exec-managerial, *, >50K
40.5, 40, 14, Self, *, *, *, *, Exec-managerial, *, >50K
40.5, 40, 14, Self, *, *, *, *, Exec-managerial, *, >50K
40.5, 40, 14, Self, *, *, *, *, Exec-managerial, *, >50K
40.5, 40, 14, Self, *, *, *, *, Exec-managerial, *, >50K
40.5, 40, 14, Self, *, *, *, *, Exec-managerial, *, >50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
54.5, 47.5, 9, *, United-States, Male, *, Husband, *, Married-civ-spouse, >50K
54.5, 47.5, 9, *, United-States, Male, *, Husband, *, Married-civ-spouse, >50K
54.5, 47.5, 9, *, United-States, Male, *, Husband, *, Married-civ-spouse, >50K
54.5, 47.5, 9, *, United-States, Male, *, Husband, *, Married-civ-spouse, >50K
54.5, 47.5, 9, *, United-States, Male, *, Husband, *, Married-civ-spouse, >50K
54.5, 47.5, 9, *, United-States, Male, *, Husband, *, Married-civ-spouse, >50K
54.5, 47.5, 9, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K
54.5, 47.5, 9, *, United-States, Male, *, Husband, *, Married-civ-spouse, >50K
54.5, 47.5, 9, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K
54.5, 47.5, 9, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, >50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, <=50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, <=50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, >50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, <=50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, >50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, >50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, >50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, <=50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, <=50K
43, 82.5, 10, Self, *, Male, *, *, *, *, >50K
43, 82.5, 10, Self, *, Male, *, *, *, *, <=50K
43, 82.5, 10, Self, *, Male, *, *, *, *, >50K
43, 82.5, 10, Self, *, Male, *, *, *, *, <=50K
43, 82.5, 10, Self, *, Male, *, *, *, *, <=50K
43, 82.5, 10, Self, *, Male, *, *, *, *, >50K
43, 82.5, 10, Self, *, Male, *, *, *, *, >50K
43, 82.5, 10, Self, *, Male, *, *, *, *, <=50K
