age, hours-per-week, workclass, native-country, sex, race, relationship, occupation, marital-status, income, education-num
39.5, 40, *, United-States, Male, White, *, *, *, <=50K, 13
39.5, 40, *, United-States, Male, White, *, *, *, <=50K, 12
39.5, 40, *, United-States, Male, White, *, *, *, <=50K, 10
39.5, 40, *, United-States, Male, White, *, *, *, <=50K, 9
39.5, 40, *, United-States, Male, White, *, *, *, <=50K, 11
39.5, 40, *, United-States, Male, White, *, *, *, <=50K, 9
39.5, 40, *, United-States, Male, White, *, *, *, <=50K, 13
39.5, 40, *, United-States, Male, White, *, *, *, <=50K, 10
39.5, 40, *, United-States, Male, White, *, *, *, <=50K, 9
39.5, 40, *, United-States, Male, White, *, *, *, <=50K, 13
54.5, 16.5, *, United-States, *, White, *, *, *, <=50K, 13
54.5, 16.5, *, United-States, *, White, *, *, *, <=50K, 10
54.5, 16.5, *, United-States, *, White, *, *, *, <=50K, 5
54.5, 16.5, *, United-States, *, White, *, *, *, <=50K, 9
54.5, 16.5, *, United-States, *, White, *, *, *, <=50K, 6
54.5, 16.5, *, United-States, *, White, *, *, *, <=50K, 14
54.5, 16.5, *, United-States, *, White, *, *, *, <=50K, 4
54.5, 16.5, *, United-States, *, White, *, *, *, <=50K, 9
54.5, 16.5, *, United-States, *, White, *, *, *, <=50K, 15
54.5, 16.5, *, United-States, *, White, *, *, *, <=50K, 9
38, 40, Private, United-States, Male, White, *, *, *, <=50K, 9
38, 40, Private, United-States, Male, White, *, *, *, <=50K, 10
38, 40, Private, United-States, Male, White, *, *, *, <=50K, 10
38, 40, Private, United-States, Male, White, *, *, *, <=50K, 9
38, 40, Private, United-States, Male, White, *, *, *, <=50K, 10
38, 40, Private, United-States, Male, White, *, *, *, <=50K, 11
38, 40, Private, United-States, Male, White, *, *, *, <=50K, 13
38, 40, Private, United-States, Male, White, *, *, *, <=50K, 9
38, 40, Private, United-States, Male, White, *, *, *, <=50K, 5
38, 40, Private, United-States, Male, White, *, *, *, <=50K, 9
54.5, 40, *, United-States, *, Black, *, *, *, <=50K, 7
54.5, 40, *, United-States, *, Black, *, *, *, <=50K, 9
54.5, 40, *, United-States, *, Black, *, *, *, <=50K, 9
54.5, 40, *, United-States, *, Black, *, *, *, <=50K, 4
54.5, 40, *, United-States, *, Black, *, *, *, <=50K, 10
54.5, 40, *, United-States, *, Black, *, *, *, <=50K, 9
54.5, 40, *, United-States, *, Black, *, *, *, <=50K, 9
54.5, 40, *, United-States, *, Black, *, *, *, <=50K, 13
54.5, 40, *, United-States, *, Black, *, *, *, <=50K, 9
54.5, 40, *, United-States, *, Black, *, *, *, <=50K, 7
29.5, 40, Private, America, Female, Black, *, *, *, <=50K, 13
29.5, 40, Private, America, Female, Black, *, *, *, <=50K, 13
29.5, 40, Private, America, Female, Black, *, *, *, <=50K, 13
29.5, 40, Private, America, Female, Black, *, *, *, <=50K, 9
29.5, 40, Private, America, Female, Black, *, *, *, <=50K, 13
29.5, 40, Private, America, Female, Black, *, *, *, <=50K, 10
29.5, 40, Private, America, Female, Black, *, *, *, <=50K, 7
29.5, 40, Private, America, Female, Black, *, *, *, <=50K, 9
29.5, 40, Private, America, Female, Black, *, *, *, <=50K, 13
29.5, 40, Private, America, Female, Black, *, *, *, <=50K, 9
37, 40, Private, United-States, *, White, *, *, *, <=50K, 14
37, 40, Private, United-States, *, White, *, *, *, <=50K, 10
37, 40, Private, United-States, *, White, *, *, *, <=50K, 9
37, 40, Private, United-States, *, White, *, *, *, <=50K, 9
37, 40, Private, United-States, *, White, *, *, *, <=50K, 9
37, 40, Private, United-States, *, White, *, *, *, <=50K, 13
37, 40, Private, United-States, *, White, *, *, *, <=50K, 10
37, 40, Private, United-States, *, White, *, *, *, <=50K, 9
37, 40, Private, United-States, *, White, *, *, *, <=50K, 9
37, 40, Private, United-States, *, White, *, *, *, <=50K, 12
52.5, 20.5, Private, America, *, *, *, *, *, <=50K, 5
52.5, 20.5, Private, America, *, *, *, *, *, <=50K, 9
52.5, 20.5, Private, America, *, *, *, *, *, <=50K, 9
52.5, 20.5, Private, America, *, *, *, *, *, <=50K, 7
52.5, 20.5, Private, America, *, *, *, *, *, <=50K, 9
52.5, 20.5, Private, America, *, *, *, *, *, <=50K, 3
52.5, 20.5, Private, America, *, *, *, *, *, <=50K, 9
52.5, 20.5, Private, America, *, *, *, *, *, <=50K, 12
52.5, 20.5, Private, America, *, *, *, *, *, <=50K, 9
52.5, 20.5, Private, America, *, *, *, *, *, <=50K, 9
53, 46, Self, United-States, Male, White, Husband, *, Married-civ-spouse, >50K, 9
53, 46, Self, United-States, Male, White, Husband, *, Married-civ-spouse, >50K, 6
53, 46, Self, United-States, Male, White, Husband, *, Married-civ-spouse, >50K, 16
53, 46, Self, United-States, Male, White, Husband, *, Married-civ-spouse, >50K, 10
53, 46, Self, United-States, Male, White, Husband, *, Married-civ-spouse, >50K, 10
53, 46, Self, United-States, Male, White, Husband, *, Married-civ-spouse, >50K, 10
53, 46, Self, United-States, Male, White, Husband, *, Married-civ-spouse, >50K, 10
53, 46, Self, United-States, Male, White, Husband, *, Married-civ-spouse, >50K, 13
53, 46, Self, United-States, Male, White, Husband, *, Married-civ-spouse, >50K, 15
53, 46, Self, United-States, Male, White, Husband, *, Married-civ-spouse, >50K, 9
32.5, 50, *, United-States, *, White, *, *, *, >50K, 14
32.5, 50, *, United-States, *, White, *, *, *, >50K, 14
32.5, 50, *, United-States, *, White, *, *, *, >50K, 10
32.5, 50, *, United-States, *, White, *, *, *, >50K, 13
32.5, 50, *, United-States, *, White, *, *, *, >50K, 13
32.5, 50, *, United-States, *, White, *, *, *, >50K, 11
32.5, 50, *, United-States, *, White, *, *, *, >50K, 13
32.5, 50, *, United-States, *, White, *, *, *, >50K, 13
32.5, 50, *, United-States, *, White, *, *, *, >50K, 13
32.5, 50, *, United-States, *, White, *, *, *, >50K, 10
43.5, 40, Private, United-States, Male, White, Husband, bureaucracy, Married-civ-spouse, >50K, 13
43.5, 40, Private, United-States, Male, White, Husband, bureaucracy, Married-civ-spouse, >50K, 13
43.5, 40, Private, United-States, Male, White, Husband, bureaucracy, Married-civ-spouse, >50K, 13
43.5, 40, Private, United-States, Male, White, Husband, bureaucracy, Married-civ-spouse, >50K, 12
43.5, 40, Private, United-States, Male, White, Husband, bureaucracy, Married-civ-spouse, >50K, 9
43.5, 40, Private, United-States, Male, White, Husband, bureaucracy, Married-civ-spouse, >50K, 13
43.5, 40, Private, United-States, Male, White, Husband, bureaucracy, Married-civ-spouse, >50K, 14
43.5, 40, Private, United-States, Male, White, Husband, bureaucracy, Married-civ-spouse, >50K, 9
43.5, 40, Private, United-States, Male, White, Husband, bureaucracy, Married-civ-spouse, >50K, 13
43.5, 40, Private, United-States, Male, White, Husband, bureaucracy, Married-civ-spouse, >50K, 14
43, 80, *, United-States, Male, *, *, *, *, *, 10
43, 80, *, United-States, Male, *, *, *, *, *, 9
43, 80, *, United-States, Male, *, *, *, *, *, 9
43, 80, *, United-States, Male, *, *, *, *, *, 13
43, 80, *, United-States, Male, *, *, *, *, *, 10
43, 80, *, United-States, Male, *, *, *, *, *, 15
43, 80, *, United-States, Male, *, *, *, *, *, 9
43, 80, *, United-States, Male, *, *, *, *, *, 13
43, 80, *, United-States, Male, *, *, *, *, *, 6
43, 80, *, United-States, Male, *, *, *, *, *, 13
30.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, >50K, 13
30.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, >50K, 12
30.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, >50K, 13
30.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, >50K, 13
30.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, >50K, 14
