age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, income, marital-status
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Divorced
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Separated
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Divorced
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Separated
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Divorced
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Divorced
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Never-married
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Separated
43.5, 50, 13, *, United-States, Male, *, *, *, <=50K, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Never-married
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Widowed
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Divorced
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Widowed
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-spouse-absent
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
59.5, 26.5, 13, *, *, *, *, *, *, *, Never-married
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Divorced
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Divorced
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Never-married
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Divorced
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Widowed
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Divorced
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Divorced
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Separated
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Never-married
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Never-married
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Widowed
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Divorced
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Divorced
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Never-married
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Divorced
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Never-married
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Divorced
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Married-civ-spouse
45.5, 40, 9, Private, North-America, Male, White, *, *, <=50K, Never-married
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Divorced
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
62.5, 46, 8, *, United-States, *, *, *, *, *, Divorced
62.5, 46, 8, *, United-States, *, *, *, *, *, Married-civ-spouse
