age, hours-per-week, workclass, native-country, sex, race, relationship, occupation, marital-status, income, education-num
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 13
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 13
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 12
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 9
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 10
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 10
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 13
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 10
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 13
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 10
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 9
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 13
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 13
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 10
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 9
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 10
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 10
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 13
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 9
42, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 10
56, 16.5, *, America, *, *, *, *, *, <=50K, 13
56, 16.5, *, America, *, *, *, *, *, <=50K, 5
56, 16.5, *, America, *, *, *, *, *, <=50K, 9
56, 16.5, *, America, *, *, *, *, *, <=50K, 9
56, 16.5, *, America, *, *, *, *, *, <=50K, 10
56, 16.5, *, America, *, *, *, *, *, <=50K, 9
56, 16.5, *, America, *, *, *, *, *, <=50K, 5
56, 16.5, *, America, *, *, *, *, *, <=50K, 9
56, 16.5, *, America, *, *, *, *, *, <=50K, 10
56, 16.5, *, America, *, *, *, *, *, <=50K, 15
56, 16.5, *, America, *, *, *, *, *, <=50K, 6
56, 16.5, *, America, *, *, *, *, *, <=50K, 14
56, 16.5, *, America, *, *, *, *, *, <=50K, 4
56, 16.5, *, America, *, *, *, *, *, <=50K, 5
56, 16.5, *, America, *, *, *, *, *, <=50K, 9
56, 16.5, *, America, *, *, *, *, *, <=50K, 9
56, 16.5, *, America, *, *, *, *, *, <=50K, 10
56, 16.5, *, America, *, *, *, *, *, <=50K, 9
56, 16.5, *, America, *, *, *, *, *, <=50K, 15
56, 16.5, *, America, *, *, *, *, *, <=50K, 9
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 10
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 10
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 10
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 13
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 10
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 10
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 11
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 6
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 6
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 10
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 5
39, 40, Private, United-States, Male, White, *, manual-labor, *, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 7
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 13
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 6
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 10
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 10
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 10
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 10
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 6
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 4
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 10
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 13
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 10
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 7
29, 40, Private, *, Female, *, *, *, *, <=50K, 13
29, 40, Private, *, Female, *, *, *, *, <=50K, 10
29, 40, Private, *, Female, *, *, *, *, <=50K, 9
29, 40, Private, *, Female, *, *, *, *, <=50K, 9
29, 40, Private, *, Female, *, *, *, *, <=50K, 10
29, 40, Private, *, Female, *, *, *, *, <=50K, 7
29, 40, Private, *, Female, *, *, *, *, <=50K, 10
29, 40, Private, *, Female, *, *, *, *, <=50K, 9
29, 40, Private, *, Female, *, *, *, *, <=50K, 10
29, 40, Private, *, Female, *, *, *, *, <=50K, 10
29, 40, Private, *, Female, *, *, *, *, <=50K, 13
29, 40, Private, *, Female, *, *, *, *, <=50K, 9
29, 40, Private, *, Female, *, *, *, *, <=50K, 11
29, 40, Private, *, Female, *, *, *, *, <=50K, 10
29, 40, Private, *, Female, *, *, *, *, <=50K, 9
29, 40, Private, *, Female, *, *, *, *, <=50K, 9
29, 40, Private, *, Female, *, *, *, *, <=50K, 13
29, 40, Private, *, Female, *, *, *, *, <=50K, 9
29, 40, Private, *, Female, *, *, *, *, <=50K, 6
