age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, marital-status, income
40.5, 40, 13, Gov, United-States, Male, White, *, *, *, <=50K
40.5, 40, 13, Gov, United-States, Male, White, *, *, *, <=50K
40.5, 40, 13, Gov, United-States, Male, White, *, *, *, >50K
40.5, 40, 13, Gov, United-States, Male, White, *, *, *, <=50K
40.5, 40, 13, Gov, United-States, Male, White, *, *, *, <=50K
52.5, 21.5, 13, Self, United-States, Male, White, Husband, *, Married-civ-spouse, <=50K
52.5, 21.5, 13, Self, United-States, Male, White, Husband, *, Married-civ-spouse, >50K
52.5, 21.5, 13, Self, United-States, Male, White, Husband, *, Married-civ-spouse, <=50K
52.5, 21.5, 13, Self, United-States, Male, White, Husband, *, Married-civ-spouse, <=50K
52.5, 21.5, 13, Self, United-States, Male, White, Husband, *, Married-civ-spouse, >50K
39, 40, 9, Private, United-States, Male, White, Not-in-family, *, *, <=50K
39, 40, 9, Private, United-States, Male, White, Not-in-family, *, *, <=50K
39, 40, 9, Private, United-States, Male, White, Not-in-family, *, *, <=50K
39, 40, 9, Private, United-States, Male, White, Not-in-family, *, *, >50K
39, 40, 9, Private, United-States, Male, White, Not-in-family, *, *, <=50K
56.5, 40, 7, Private, United-States, *, *, *, manual-labor, *, <=50K
56.5, 40, 7, Private, United-States, *, *, *, manual-labor, *, <=50K
56.5, 40, 7, Private, United-States, *, *, *, manual-labor, *, <=50K
56.5, 40, 7, Private, United-States, *, *, *, manual-labor, *, <=50K
56.5, 40, 7, Private, United-States, *, *, *, manual-labor, *, <=50K
28, 40, 13, Private, America, Female, *, *, *, *, <=50K
28, 40, 13, Private, America, Female, *, *, *, *, <=50K
28, 40, 13, Private, America, Female, *, *, *, *, <=50K
28, 40, 13, Private, America, Female, *, *, *, *, >50K
28, 40, 13, Private, America, Female, *, *, *, *, <=50K
39, 40, 14, Private, United-States, *, White, *, *, *, <=50K
39, 40, 14, Private, United-States, *, White, *, *, *, <=50K
39, 40, 14, Private, United-States, *, White, *, *, *, >50K
39, 40, 14, Private, United-States, *, White, *, *, *, <=50K
39, 40, 14, Private, United-States, *, White, *, *, *, >50K
52, 20.5, 5.5, Self, America, *, *, *, *, *, <=50K
52, 20.5, 5.5, Self, America, *, *, *, *, *, <=50K
52, 20.5, 5.5, Self, America, *, *, *, *, *, <=50K
52, 20.5, 5.5, Self, America, *, *, *, *, *, <=50K
52, 20.5, 5.5, Self, America, *, *, *, *, *, <=50K
53.5, 45, 9, Self, United-States, Male, *, Husband, *, Married-civ-spouse, >50K
53.5, 45, 9, Self, United-States, Male, *, Husband, *, Married-civ-spouse, >50K
53.5, 45, 9, Self, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K
53.5, 45, 9, Self, United-States, Male, *, Husband, *, Married-civ-spouse, >50K
53.5, 45, 9, Self, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K
32, 50, 14, Private, United-States, *, White, *, Prof-specialty, *, >50K
32, 50, 14, Private, United-States, *, White, *, Prof-specialty, *, <=50K
32, 50, 14, Private, United-States, *, White, *, Prof-specialty, *, <=50K
32, 50, 14, Private, United-States, *, White, *, Prof-specialty, *, >50K
32, 50, 14, Private, United-States, *, White, *, Prof-specialty, *, <=50K
42, 40, 13, Private, United-States, Male, White, Husband, *, Married-civ-spouse, >50K
42, 40, 13, Private, United-States, Male, White, Husband, *, Married-civ-spouse, >50K
42, 40, 13, Private, United-States, Male, White, Husband, *, Married-civ-spouse, >50K
42, 40, 13, Private, United-States, Male, White, Husband, *, Married-civ-spouse, <=50K
42, 40, 13, Private, United-States, Male, White, Husband, *, Married-civ-spouse, >50K
38.5, 80, 10, Self, *, Male, *, *, *, *, >50K
38.5, 80, 10, Self, *, Male, *, *, *, *, <=50K
38.5, 80, 10, Self, *, Male, *, *, *, *, >50K
38.5, 80, 10, Self, *, Male, *, *, *, *, <=50K
38.5, 80, 10, Self, *, Male, *, *, *, *, >50K
31.5, 40, 13, State-gov, *, Male, *, Husband, *, Married-civ-spouse, >50K
31.5, 40, 13, State-gov, *, Male, *, Husband, *, Married-civ-spouse, >50K
31.5, 40, 13, State-gov, *, Male, *, Husband, *, Married-civ-spouse, >50K
31.5, 40, 13, State-gov, *, Male, *, Husband, *, Married-civ-spouse, >50K
31.5, 40, 13, State-gov, *, Male, *, Husband, *, Married-civ-spouse, <=50K
24.5, 30, 13, Private, United-States, *, White, *, *, Never-married, <=50K
24.5, 30, 13, Private, United-States, *, White, *, *, Never-married, <=50K
24.5, 30, 13, Private, United-States, *, White, *, *, Never-married, <=50K
24.5, 30, 13, Private, United-States, *, White, *, *, Never-married, <=50K
24.5, 30, 13, Private, United-States, *, White, *, *, Never-married, <=50K
34, 50, 12, Self, United-States, *, *, *, *, *, <=50K
34, 50, 12, Self, United-States, *, *, *, *, *, >50K
34, 50, 12, Self, United-States, *, *, *, *, *, >50K
34, 50, 12, Self, United-States, *, *, *, *, *, >50K
34, 50, 12, Self, United-States, *, *, *, *, *, <=50K
34, 45, 4, Private, America, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
34, 45, 4, Private, America, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
34, 45, 4, Private, America, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
34, 45, 4, Private, America, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
34, 45, 4, Private, America, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
25, 37.5, 9, Self, United-States, Male, White, *, *, Never-married, <=50K
25, 37.5, 9, Self, United-States, Male, White, *, *, Never-married, <=50K
25, 37.5, 9, Self, United-States, Male, White, *, *, Never-married, <=50K
25, 37.5, 9, Self, United-States, Male, White, *, *, Never-married, <=50K
25, 37.5, 9, Self, United-States, Male, White, *, *, Never-married, <=50K
32, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
32, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
32, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
32, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
32, 40, 9, Private, United-States, Male, White, *, manual-labor, *, >50K
38, 50, 7, Private, United-States, Male, White, *, *, *, <=50K
38, 50, 7, Private, United-States, Male, White, *, *, *, >50K
38, 50, 7, Private, United-States, Male, White, *, *, *, <=50K
38, 50, 7, Private, United-States, Male, White, *, *, *, <=50K
38, 50, 7, Private, United-States, Male, White, *, *, *, <=50K
44, 45, 14, *, United-States, *, White, *, *, *, >50K
44, 45, 14, *, United-States, *, White, *, *, *, <=50K
44, 45, 14, *, United-States, *, White, *, *, *, <=50K
44, 45, 14, *, United-States, *, White, *, *, *, <=50K
44, 45, 14, *, United-States, *, White, *, *, *, <=50K
43, 60, 16, Self, United-States, Male, White, Husband, *, Married-civ-spouse, >50K
43, 60, 16, Self, United-States, Male, White, Husband, *, Married-civ-spouse, >50K
