age, hours-per-week, workclass, native-country, sex, race, relationship, occupation, marital-status, income, education-num
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 13
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 10
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 9
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 10
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 10
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 13
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 9
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 13
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 9
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 9
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 9
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 10
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 9
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 9
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 5
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 7
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 9
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 14
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 9
40.5, 40, *, America, *, *, *, *, Never-married, <=50K, 10
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 13
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 9
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 9
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 13
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 5
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 9
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 9
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 9
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 10
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 12
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 15
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 6
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 13
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 5
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 9
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 13
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 9
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 15
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 9
53, 22.5, Self, America, *, *, *, *, Married-civ-spouse, *, 10
39, 40, *, *, *, *, *, *, Divorced, *, 9
39, 40, *, *, *, *, *, *, Divorced, *, 10
39, 40, *, *, *, *, *, *, Divorced, *, 10
39, 40, *, *, *, *, *, *, Divorced, *, 10
39, 40, *, *, *, *, *, *, Divorced, *, 9
39, 40, *, *, *, *, *, *, Divorced, *, 9
39, 40, *, *, *, *, *, *, Divorced, *, 11
39, 40, *, *, *, *, *, *, Divorced, *, 10
39, 40, *, *, *, *, *, *, Divorced, *, 10
39, 40, *, *, *, *, *, *, Divorced, *, 9
39, 40, *, *, *, *, *, *, Divorced, *, 11
39, 40, *, *, *, *, *, *, Divorced, *, 6
39, 40, *, *, *, *, *, *, Divorced, *, 9
39, 40, *, *, *, *, *, *, Divorced, *, 10
39, 40, *, *, *, *, *, *, Divorced, *, 12
39, 40, *, *, *, *, *, *, Divorced, *, 6
39, 40, *, *, *, *, *, *, Divorced, *, 9
39, 40, *, *, *, *, *, *, Divorced, *, 10
39, 40, *, *, *, *, *, *, Divorced, *, 13
39, 40, *, *, *, *, *, *, Divorced, *, 10
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 7
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 13
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 13
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 4
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 10
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 10
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 13
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 13
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 12
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 10
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 13
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 13
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 10
53.5, 40, *, *, Male, *, Husband, *, Married-civ-spouse, *, 7
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 13
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 9
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 13
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 9
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 4
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 9
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 9
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 10
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 7
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 13
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 13
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 13
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 11
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 9
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 9
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 13
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 11
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 13
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 9
29, 40, Private, *, *, *, *, *, Married-civ-spouse, *, 6
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 14
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 9
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 15
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 14
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 9
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 11
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 9
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 11
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 11
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 9
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 9
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 2
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 9
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 12
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 13
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 9
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 9
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 12
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 10
37.5, 40, *, *, *, White, *, *, Married-civ-spouse, *, 9
59, 18, *, America, *, *, *, *, *, *, 5
59, 18, *, America, *, *, *, *, *, *, 9
59, 18, *, America, *, *, *, *, *, *, 11
59, 18, *, America, *, *, *, *, *, *, 10
59, 18, *, America, *, *, *, *, *, *, 9
59, 18, *, America, *, *, *, *, *, *, 7
59, 18, *, America, *, *, *, *, *, *, 9
59, 18, *, America, *, *, *, *, *, *, 7
59, 18, *, America, *, *, *, *, *, *, 11
59, 18, *, America, *, *, *, *, *, *, 13
59, 18, *, America, *, *, *, *, *, *, 10
59, 18, *, America, *, *, *, *, *, *, 10
59, 18, *, America, *, *, *, *, *, *, 10
59, 18, *, America, *, *, *, *, *, *, 14
59, 18, *, America, *, *, *, *, *, *, 4
59, 18, *, America, *, *, *, *, *, *, 5
59, 18, *, America, *, *, *, *, *, *, 9
59, 18, *, America, *, *, *, *, *, *, 9
59, 18, *, America, *, *, *, *, *, *, 6
59, 18, *, America, *, *, *, *, *, *, 9
54, 46.5, *, United-States, Male, *, Husband, *, Married-civ-spouse, *, 9
54, 46.5, *, United-States, Male, *, Husband, *, Married-civ-spouse, *, 10
54, 46.5, *, United-States, Male, *, Husband, *, Married-civ-spouse, *, 6
54, 46.5, *, United-States, Male, *, Husband, *, Married-civ-spouse, *, 16
54, 46.5, *, United-States, Male, *, Husband, *, Married-civ-spouse, *, 9
54, 46.5, *, United-States, Male, *, Husband, *, Married-civ-spouse, *, 6
54, 46.5, *, United-States, Male, *, Husband, *, Married-civ-spouse, *, 10
54, 46.5, *, United-States, Male, *, Husband, *, Married-civ-spouse, *, 10
54, 46.5, *, United-States, Male, *, Husband, *, Married-civ-spouse, *, 9
54, 46.5, *, United-States, Male, *, Husband, *, Married-civ-spouse, *, 9
