age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, marital-status, income
43, 40, 13, *, United-States, Male, White, *, *, *, <=50K
43, 40, 13, *, United-States, Male, White, *, *, *, >50K
43, 40, 13, *, United-States, Male, White, *, *, *, <=50K
43, 40, 13, *, United-States, Male, White, *, *, *, >50K
43, 40, 13, *, United-States, Male, White, *, *, *, >50K
43, 40, 13, *, United-States, Male, White, *, *, *, >50K
43, 40, 13, *, United-States, Male, White, *, *, *, <=50K
43, 40, 13, *, United-States, Male, White, *, *, *, <=50K
43, 40, 13, *, United-States, Male, White, *, *, *, <=50K
43, 40, 13, *, United-States, Male, White, *, *, *, >50K
43, 40, 13, *, United-States, Male, White, *, *, *, <=50K
43, 40, 13, *, United-States, Male, White, *, *, *, >50K
43, 40, 13, *, United-States, Male, White, *, *, *, <=50K
43, 40, 13, *, United-States, Male, White, *, *, *, <=50K
43, 40, 13, *, United-States, Male, White, *, *, *, >50K
43, 40, 13, *, United-States, Male, White, *, *, *, <=50K
43, 40, 13, *, United-States, Male, White, *, *, *, <=50K
43, 40, 13, *, United-States, Male, White, *, *, *, >50K
43, 40, 13, *, United-States, Male, White, *, *, *, <=50K
43, 40, 13, *, United-States, Male, White, *, *, *, <=50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, <=50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, <=50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, <=50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, >50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, >50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, >50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, >50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, >50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, <=50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, >50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, >50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, >50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, <=50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, >50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, >50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, <=50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, >50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, >50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, >50K
52.5, 26.5, 13, Self, America, *, White, *, *, *, >50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, >50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, >50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, >50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, >50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
39.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
62.5, 45, 7, *, United-States, *, *, *, *, *, <=50K
62.5, 45, 7, *, United-States, *, *, *, *, *, <=50K
62.5, 45, 7, *, United-States, *, *, *, *, *, <=50K
62.5, 45, 7, *, United-States, *, *, *, *, *, <=50K
62.5, 45, 7, *, United-States, *, *, *, *, *, <=50K
62.5, 45, 7, *, United-States, *, *, *, *, *, <=50K
62.5, 45, 7, *, United-States, *, *, *, *, *, <=50K
62.5, 45, 7, *, United-States, *, *, *, *, *, <=50K
62.5, 45, 7, *, United-States, *, *, *, *, *, <=50K
62.5, 45, 7, *, United-States, *, *, *, *, *, <=50K
62.5, 45, 7, *, United-States, *, *, *, *, *, <=50K
62.5, 45, 7, *, United-States, *, *, *, *, *, <=50K
62.5, 45, 7, *, United-States, *, *, *, *, *, <=50K
62.5, 45, 7, *, United-States, *, *, *, *, *, <=50K
62.5, 45, 7, *, United-States, *, *, *, *, *, <=50K
62.5, 45, 7, *, United-States, *, *, *, *, *, <=50K
62.5, 45, 7, *, United-States, *, *, *, *, *, <=50K
62.5, 45, 7, *, United-States, *, *, *, *, *, >50K
62.5, 45, 7, *, United-States, *, *, *, *, *, <=50K
62.5, 45, 7, *, United-States, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, >50K
29.5, 40, 13, Private, *, *, *, *, *, *, >50K
29.5, 40, 13, Private, *, *, *, *, *, *, >50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, >50K
29.5, 40, 13, Private, *, *, *, *, *, *, >50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, <=50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, >50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, <=50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, <=50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, >50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, <=50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, <=50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, >50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, >50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, >50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, >50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, >50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, <=50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, >50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, >50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, >50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, >50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, >50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, >50K
43, 42.5, 14, *, *, *, *, *, bureaucracy, *, >50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
57, 20.5, 7, *, America, *, *, *, *, *, <=50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, >50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, <=50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, >50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, >50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, >50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, >50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, <=50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, <=50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, >50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, >50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, >50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, <=50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, >50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, >50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, >50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, <=50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, <=50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, >50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, <=50K
56.5, 48.5, 9, Self, North-America, Male, *, *, *, *, <=50K
36.5, 55, 14, *, United-States, *, White, *, *, *, >50K
36.5, 55, 14, *, United-States, *, White, *, *, *, <=50K
36.5, 55, 14, *, United-States, *, White, *, *, *, <=50K
36.5, 55, 14, *, United-States, *, White, *, *, *, >50K
36.5, 55, 14, *, United-States, *, White, *, *, *, >50K
36.5, 55, 14, *, United-States, *, White, *, *, *, <=50K
36.5, 55, 14, *, United-States, *, White, *, *, *, >50K
36.5, 55, 14, *, United-States, *, White, *, *, *, >50K
36.5, 55, 14, *, United-States, *, White, *, *, *, <=50K
36.5, 55, 14, *, United-States, *, White, *, *, *, >50K
36.5, 55, 14, *, United-States, *, White, *, *, *, >50K
36.5, 55, 14, *, United-States, *, White, *, *, *, >50K
36.5, 55, 14, *, United-States, *, White, *, *, *, >50K
36.5, 55, 14, *, United-States, *, White, *, *, *, >50K
36.5, 55, 14, *, United-States, *, White, *, *, *, <=50K
36.5, 55, 14, *, United-States, *, White, *, *, *, <=50K
36.5, 55, 14, *, United-States, *, White, *, *, *, >50K
36.5, 55, 14, *, United-States, *, White, *, *, *, <=50K
