age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, marital-status, income
40.5, 40, 13, *, United-States, *, White, *, Adm-clerical, *, <=50K
40.5, 40, 13, *, United-States, *, White, *, Adm-clerical, *, <=50K
40.5, 40, 13, *, United-States, *, White, *, Adm-clerical, *, <=50K
40.5, 40, 13, *, United-States, *, White, *, Adm-clerical, *, <=50K
40.5, 40, 13, *, United-States, *, White, *, Adm-clerical, *, <=50K
40.5, 40, 13, *, United-States, *, White, *, Adm-clerical, *, <=50K
40.5, 40, 13, *, United-States, *, White, *, Adm-clerical, *, <=50K
40.5, 40, 13, *, United-States, *, White, *, Adm-clerical, *, <=50K
40.5, 40, 13, *, United-States, *, White, *, Adm-clerical, *, <=50K
40.5, 40, 13, *, United-States, *, White, *, Adm-clerical, *, <=50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, <=50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, <=50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, >50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, >50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, >50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, <=50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, >50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, >50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, <=50K
52.5, 26.5, 13, Self, United-States, *, White, *, *, Married-civ-spouse, >50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, >50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, >50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, >50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
38.5, 40, 9, Private, United-States, Male, White, *, manual-labor, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
56.5, 45, 7, Private, United-States, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, >50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
29.5, 40, 13, Private, *, *, *, *, *, *, <=50K
40.5, 42.5, 14, Self, United-States, *, White, *, Exec-managerial, *, <=50K
40.5, 42.5, 14, Self, United-States, *, White, *, Exec-managerial, *, >50K
40.5, 42.5, 14, Self, United-States, *, White, *, Exec-managerial, *, <=50K
40.5, 42.5, 14, Self, United-States, *, White, *, Exec-managerial, *, <=50K
40.5, 42.5, 14, Self, United-States, *, White, *, Exec-managerial, *, >50K
40.5, 42.5, 14, Self, United-States, *, White, *, Exec-managerial, *, >50K
40.5, 42.5, 14, Self, United-States, *, White, *, Exec-managerial, *, >50K
40.5, 42.5, 14, Self, United-States, *, White, *, Exec-managerial, *, >50K
40.5, 42.5, 14, Self, United-States, *, White, *, Exec-managerial, *, >50K
40.5, 42.5, 14, Self, United-States, *, White, *, Exec-managerial, *, >50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
57, 23, 5.5, *, America, *, *, *, *, *, <=50K
54, 47.5, 9, *, United-States, Male, *, *, *, *, >50K
54, 47.5, 9, *, United-States, Male, *, *, *, *, >50K
54, 47.5, 9, *, United-States, Male, *, *, *, *, <=50K
54, 47.5, 9, *, United-States, Male, *, *, *, *, >50K
54, 47.5, 9, *, United-States, Male, *, *, *, *, >50K
54, 47.5, 9, *, United-States, Male, *, *, *, *, >50K
54, 47.5, 9, *, United-States, Male, *, *, *, *, <=50K
54, 47.5, 9, *, United-States, Male, *, *, *, *, >50K
54, 47.5, 9, *, United-States, Male, *, *, *, *, <=50K
54, 47.5, 9, *, United-States, Male, *, *, *, *, <=50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, >50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, <=50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, <=50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, >50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, <=50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, >50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, >50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, >50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, <=50K
32.5, 55, 14, *, United-States, *, White, *, Prof-specialty, *, <=50K
43.5, 40, 13, *, United-States, Male, White, *, Exec-managerial, *, >50K
43.5, 40, 13, *, United-States, Male, White, *, Exec-managerial, *, <=50K
43.5, 40, 13, *, United-States, Male, White, *, Exec-managerial, *, >50K
43.5, 40, 13, *, United-States, Male, White, *, Exec-managerial, *, >50K
43.5, 40, 13, *, United-States, Male, White, *, Exec-managerial, *, <=50K
43.5, 40, 13, *, United-States, Male, White, *, Exec-managerial, *, >50K
43.5, 40, 13, *, United-States, Male, White, *, Exec-managerial, *, <=50K
43.5, 40, 13, *, United-States, Male, White, *, Exec-managerial, *, >50K
43.5, 40, 13, *, United-States, Male, White, *, Exec-managerial, *, <=50K
43.5, 40, 13, *, United-States, Male, White, *, Exec-managerial, *, >50K
43, 80, 10, *, United-States, Male, *, *, *, *, >50K
43, 80, 10, *, United-States, Male, *, *, *, *, <=50K
43, 80, 10, *, United-States, Male, *, *, *, *, <=50K
43, 80, 10, *, United-States, Male, *, *, *, *, >50K
43, 80, 10, *, United-States, Male, *, *, *, *, <=50K
43, 80, 10, *, United-States, Male, *, *, *, *, >50K
43, 80, 10, *, United-States, Male, *, *, *, *, >50K
43, 80, 10, *, United-States, Male, *, *, *, *, >50K
43, 80, 10, *, United-States, Male, *, *, *, *, >50K
43, 80, 10, *, United-States, Male, *, *, *, *, >50K
32, 40, 13, *, *, Male, *, *, Prof-specialty, *, >50K
32, 40, 13, *, *, Male, *, *, Prof-specialty, *, >50K
32, 40, 13, *, *, Male, *, *, Prof-specialty, *, >50K
32, 40, 13, *, *, Male, *, *, Prof-specialty, *, <=50K
32, 40, 13, *, *, Male, *, *, Prof-specialty, *, <=50K
32, 40, 13, *, *, Male, *, *, Prof-specialty, *, <=50K
32, 40, 13, *, *, Male, *, *, Prof-specialty, *, <=50K
32, 40, 13, *, *, Male, *, *, Prof-specialty, *, <=50K
