age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, marital-status, income
42.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, <=50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
42.5, 45, 13, *, United-States, Male, White, *, *, *, >50K
