age, hours-per-week, workclass, native-country, sex, race, relationship, occupation, marital-status, income, education-num
44, 40, *, United-States, Male, White, *, *, *, <=50K, 13
44, 40, *, United-States, Male, White, *, *, *, <=50K, 7
44, 40, *, United-States, Male, White, *, *, *, <=50K, 9
44, 40, *, United-States, Male, White, *, *, *, <=50K, 13
44, 40, *, United-States, Male, White, *, *, *, <=50K, 12
44, 40, *, United-States, Male, White, *, *, *, <=50K, 11
44, 40, *, United-States, Male, White, *, *, *, <=50K, 9
44, 40, *, United-States, Male, White, *, *, *, <=50K, 12
44, 40, *, United-States, Male, White, *, *, *, <=50K, 9
44, 40, *, United-States, Male, White, *, *, *, <=50K, 10
44, 40, *, United-States, Male, White, *, *, *, <=50K, 14
44, 40, *, United-States, Male, White, *, *, *, <=50K, 9
44, 40, *, United-States, Male, White, *, *, *, <=50K, 11
44, 40, *, United-States, Male, White, *, *, *, <=50K, 12
44, 40, *, United-States, Male, White, *, *, *, <=50K, 10
44, 40, *, United-States, Male, White, *, *, *, <=50K, 14
44, 40, *, United-States, Male, White, *, *, *, <=50K, 12
44, 40, *, United-States, Male, White, *, *, *, <=50K, 9
44, 40, *, United-States, Male, White, *, *, *, <=50K, 10
44, 40, *, United-States, Male, White, *, *, *, <=50K, 14
44, 40, *, United-States, Male, White, *, *, *, <=50K, 10
44, 40, *, United-States, Male, White, *, *, *, <=50K, 5
44, 40, *, United-States, Male, White, *, *, *, <=50K, 10
44, 40, *, United-States, Male, White, *, *, *, <=50K, 11
44, 40, *, United-States, Male, White, *, *, *, <=50K, 9
44, 40, *, United-States, Male, White, *, *, *, <=50K, 9
44, 40, *, United-States, Male, White, *, *, *, <=50K, 13
44, 40, *, United-States, Male, White, *, *, *, <=50K, 13
44, 40, *, United-States, Male, White, *, *, *, <=50K, 10
44, 40, *, United-States, Male, White, *, *, *, <=50K, 13
44, 40, *, United-States, Male, White, *, *, *, <=50K, 9
44, 40, *, United-States, Male, White, *, *, *, <=50K, 13
44, 40, *, United-States, Male, White, *, *, *, <=50K, 9
44, 40, *, United-States, Male, White, *, *, *, <=50K, 9
44, 40, *, United-States, Male, White, *, *, *, <=50K, 9
44, 40, *, United-States, Male, White, *, *, *, <=50K, 9
44, 40, *, United-States, Male, White, *, *, *, <=50K, 10
44, 40, *, United-States, Male, White, *, *, *, <=50K, 10
44, 40, *, United-States, Male, White, *, *, *, <=50K, 10
44, 40, *, United-States, Male, White, *, *, *, <=50K, 7
44, 40, *, United-States, Male, White, *, *, *, <=50K, 9
44, 40, *, United-States, Male, White, *, *, *, <=50K, 9
44, 40, *, United-States, Male, White, *, *, *, <=50K, 13
44, 40, *, United-States, Male, White, *, *, *, <=50K, 9
44, 40, *, United-States, Male, White, *, *, *, <=50K, 9
44, 40, *, United-States, Male, White, *, *, *, <=50K, 14
44, 40, *, United-States, Male, White, *, *, *, <=50K, 10
44, 40, *, United-States, Male, White, *, *, *, <=50K, 10
44, 40, *, United-States, Male, White, *, *, *, <=50K, 13
44, 40, *, United-States, Male, White, *, *, *, <=50K, 7
60.5, 19.5, *, *, *, *, *, *, *, *, 13
60.5, 19.5, *, *, *, *, *, *, *, *, 5
60.5, 19.5, *, *, *, *, *, *, *, *, 9
60.5, 19.5, *, *, *, *, *, *, *, *, 11
60.5, 19.5, *, *, *, *, *, *, *, *, 9
60.5, 19.5, *, *, *, *, *, *, *, *, 10
60.5, 19.5, *, *, *, *, *, *, *, *, 9
60.5, 19.5, *, *, *, *, *, *, *, *, 9
60.5, 19.5, *, *, *, *, *, *, *, *, 12
60.5, 19.5, *, *, *, *, *, *, *, *, 11
60.5, 19.5, *, *, *, *, *, *, *, *, 5
60.5, 19.5, *, *, *, *, *, *, *, *, 13
60.5, 19.5, *, *, *, *, *, *, *, *, 9
60.5, 19.5, *, *, *, *, *, *, *, *, 9
60.5, 19.5, *, *, *, *, *, *, *, *, 7
60.5, 19.5, *, *, *, *, *, *, *, *, 3
60.5, 19.5, *, *, *, *, *, *, *, *, 5
60.5, 19.5, *, *, *, *, *, *, *, *, 9
60.5, 19.5, *, *, *, *, *, *, *, *, 11
60.5, 19.5, *, *, *, *, *, *, *, *, 13
60.5, 19.5, *, *, *, *, *, *, *, *, 9
60.5, 19.5, *, *, *, *, *, *, *, *, 10
60.5, 19.5, *, *, *, *, *, *, *, *, 10
60.5, 19.5, *, *, *, *, *, *, *, *, 13
60.5, 19.5, *, *, *, *, *, *, *, *, 12
60.5, 19.5, *, *, *, *, *, *, *, *, 10
60.5, 19.5, *, *, *, *, *, *, *, *, 9
60.5, 19.5, *, *, *, *, *, *, *, *, 15
60.5, 19.5, *, *, *, *, *, *, *, *, 9
60.5, 19.5, *, *, *, *, *, *, *, *, 6
60.5, 19.5, *, *, *, *, *, *, *, *, 13
60.5, 19.5, *, *, *, *, *, *, *, *, 9
60.5, 19.5, *, *, *, *, *, *, *, *, 10
60.5, 19.5, *, *, *, *, *, *, *, *, 14
60.5, 19.5, *, *, *, *, *, *, *, *, 4
60.5, 19.5, *, *, *, *, *, *, *, *, 4
60.5, 19.5, *, *, *, *, *, *, *, *, 5
