age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, income, marital-status
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Divorced
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Divorced
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Divorced
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Divorced
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Separated
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Separated
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Divorced
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Divorced
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Divorced
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Never-married
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
43.5, 50, 13, *, United-States, Male, White, *, *, *, Separated
43.5, 50, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Never-married
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Never-married
60.5, 46.5, 13, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13, *, *, *, *, *, *, *, Never-married
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Never-married
60.5, 46.5, 13, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Widowed
60.5, 46.5, 13, *, *, *, *, *, *, *, Never-married
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Widowed
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13, *, *, *, *, *, *, *, Never-married
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Widowed
60.5, 46.5, 13, *, *, *, *, *, *, *, Never-married
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-spouse-absent
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Never-married
60.5, 46.5, 13, *, *, *, *, *, *, *, Widowed
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13, *, *, *, *, *, *, *, Married-civ-spouse
53, 47.5, 9, *, *, *, White, *, *, <=50K, Divorced
53, 47.5, 9, *, *, *, White, *, *, <=50K, Divorced
53, 47.5, 9, *, *, *, White, *, *, <=50K, Married-civ-spouse
53, 47.5, 9, *, *, *, White, *, *, <=50K, Separated
53, 47.5, 9, *, *, *, White, *, *, <=50K, Married-civ-spouse
53, 47.5, 9, *, *, *, White, *, *, <=50K, Married-civ-spouse
53, 47.5, 9, *, *, *, White, *, *, <=50K, Married-civ-spouse
53, 47.5, 9, *, *, *, White, *, *, <=50K, Married-civ-spouse
53, 47.5, 9, *, *, *, White, *, *, <=50K, Married-civ-spouse
53, 47.5, 9, *, *, *, White, *, *, <=50K, Married-civ-spouse
53, 47.5, 9, *, *, *, White, *, *, <=50K, Married-civ-spouse
53, 47.5, 9, *, *, *, White, *, *, <=50K, Married-civ-spouse
53, 47.5, 9, *, *, *, White, *, *, <=50K, Divorced
53, 47.5, 9, *, *, *, White, *, *, <=50K, Married-civ-spouse
53, 47.5, 9, *, *, *, White, *, *, <=50K, Divorced
53, 47.5, 9, *, *, *, White, *, *, <=50K, Married-civ-spouse
53, 47.5, 9, *, *, *, White, *, *, <=50K, Divorced
53, 47.5, 9, *, *, *, White, *, *, <=50K, Married-civ-spouse
53, 47.5, 9, *, *, *, White, *, *, <=50K, Married-civ-spouse
53, 47.5, 9, *, *, *, White, *, *, <=50K, Never-married
53, 47.5, 9, *, *, *, White, *, *, <=50K, Married-civ-spouse
53, 47.5, 9, *, *, *, White, *, *, <=50K, Divorced
53, 47.5, 9, *, *, *, White, *, *, <=50K, Married-civ-spouse
53, 47.5, 9, *, *, *, White, *, *, <=50K, Divorced
53, 47.5, 9, *, *, *, White, *, *, <=50K, Divorced
53, 47.5, 9, *, *, *, White, *, *, <=50K, Never-married
53, 47.5, 9, *, *, *, White, *, *, <=50K, Married-spouse-absent
53, 47.5, 9, *, *, *, White, *, *, <=50K, Divorced
53, 47.5, 9, *, *, *, White, *, *, <=50K, Widowed
53, 47.5, 9, *, *, *, White, *, *, <=50K, Never-married
53, 47.5, 9, *, *, *, White, *, *, <=50K, Never-married
53, 47.5, 9, *, *, *, White, *, *, <=50K, Widowed
53, 47.5, 9, *, *, *, White, *, *, <=50K, Divorced
53, 47.5, 9, *, *, *, White, *, *, <=50K, Never-married
