age, hours-per-week, workclass, native-country, sex, race, relationship, occupation, marital-status, income, education-num
42, 40, State-gov, United-States, Male, *, *, *, *, <=50K, 13
42, 40, State-gov, United-States, Male, *, *, *, *, <=50K, 11
42, 40, State-gov, United-States, Male, *, *, *, *, <=50K, 9
42, 40, State-gov, United-States, Male, *, *, *, *, <=50K, 10
42, 40, State-gov, United-States, Male, *, *, *, *, <=50K, 10
42, 40, State-gov, United-States, Male, *, *, *, *, <=50K, 9
42, 40, State-gov, United-States, Male, *, *, *, *, <=50K, 10
42, 40, State-gov, United-States, Male, *, *, *, *, <=50K, 13
42, 40, State-gov, United-States, Male, *, *, *, *, <=50K, 9
42, 40, State-gov, United-States, Male, *, *, *, *, <=50K, 10
54, 16.5, Self, United-States, Male, *, *, *, *, *, 13
54, 16.5, Self, United-States, Male, *, *, *, *, *, 9
54, 16.5, Self, United-States, Male, *, *, *, *, *, 10
54, 16.5, Self, United-States, Male, *, *, *, *, *, 5
54, 16.5, Self, United-States, Male, *, *, *, *, *, 9
54, 16.5, Self, United-States, Male, *, *, *, *, *, 6
54, 16.5, Self, United-States, Male, *, *, *, *, *, 14
54, 16.5, Self, United-States, Male, *, *, *, *, *, 4
54, 16.5, Self, United-States, Male, *, *, *, *, *, 13
54, 16.5, Self, United-States, Male, *, *, *, *, *, 15
38.5, 40, Private, United-States, Male, White, *, *, *, <=50K, 9
38.5, 40, Private, United-States, Male, White, *, *, *, <=50K, 10
38.5, 40, Private, United-States, Male, White, *, *, *, <=50K, 10
38.5, 40, Private, United-States, Male, White, *, *, *, <=50K, 10
38.5, 40, Private, United-States, Male, White, *, *, *, <=50K, 10
38.5, 40, Private, United-States, Male, White, *, *, *, <=50K, 11
38.5, 40, Private, United-States, Male, White, *, *, *, <=50K, 13
38.5, 40, Private, United-States, Male, White, *, *, *, <=50K, 9
38.5, 40, Private, United-States, Male, White, *, *, *, <=50K, 5
38.5, 40, Private, United-States, Male, White, *, *, *, <=50K, 9
53.5, 40, Private, United-States, Male, *, *, *, *, <=50K, 7
53.5, 40, Private, United-States, Male, *, *, *, *, <=50K, 9
53.5, 40, Private, United-States, Male, *, *, *, *, <=50K, 9
53.5, 40, Private, United-States, Male, *, *, *, *, <=50K, 10
53.5, 40, Private, United-States, Male, *, *, *, *, <=50K, 10
53.5, 40, Private, United-States, Male, *, *, *, *, <=50K, 4
53.5, 40, Private, United-States, Male, *, *, *, *, <=50K, 10
53.5, 40, Private, United-States, Male, *, *, *, *, <=50K, 13
53.5, 40, Private, United-States, Male, *, *, *, *, <=50K, 10
53.5, 40, Private, United-States, Male, *, *, *, *, <=50K, 7
28, 40, Private, America, Female, *, *, *, *, <=50K, 13
28, 40, Private, America, Female, *, *, *, *, <=50K, 10
28, 40, Private, America, Female, *, *, *, *, <=50K, 10
28, 40, Private, America, Female, *, *, *, *, <=50K, 10
28, 40, Private, America, Female, *, *, *, *, <=50K, 13
28, 40, Private, America, Female, *, *, *, *, <=50K, 9
28, 40, Private, America, Female, *, *, *, *, <=50K, 10
28, 40, Private, America, Female, *, *, *, *, <=50K, 9
28, 40, Private, America, Female, *, *, *, *, <=50K, 6
28, 40, Private, America, Female, *, *, *, *, <=50K, 9
37.5, 40, Private, United-States, Female, *, *, *, *, <=50K, 14
37.5, 40, Private, United-States, Female, *, *, *, *, <=50K, 10
37.5, 40, Private, United-States, Female, *, *, *, *, <=50K, 9
37.5, 40, Private, United-States, Female, *, *, *, *, <=50K, 13
37.5, 40, Private, United-States, Female, *, *, *, *, <=50K, 10
37.5, 40, Private, United-States, Female, *, *, *, *, <=50K, 10
37.5, 40, Private, United-States, Female, *, *, *, *, <=50K, 11
37.5, 40, Private, United-States, Female, *, *, *, *, <=50K, 13
37.5, 40, Private, United-States, Female, *, *, *, *, <=50K, 9
37.5, 40, Private, United-States, Female, *, *, *, *, <=50K, 9
55.5, 18, Private, America, Female, *, *, *, *, *, 5
55.5, 18, Private, America, Female, *, *, *, *, *, 9
55.5, 18, Private, America, Female, *, *, *, *, *, 7
55.5, 18, Private, America, Female, *, *, *, *, *, 9
55.5, 18, Private, America, Female, *, *, *, *, *, 10
55.5, 18, Private, America, Female, *, *, *, *, *, 13
55.5, 18, Private, America, Female, *, *, *, *, *, 10
55.5, 18, Private, America, Female, *, *, *, *, *, 9
55.5, 18, Private, America, Female, *, *, *, *, *, 9
55.5, 18, Private, America, Female, *, *, *, *, *, 9
53, 45, Self, United-States, Male, *, Husband, *, Married-civ-spouse, >50K, 9
53, 45, Self, United-States, Male, *, Husband, *, Married-civ-spouse, >50K, 16
53, 45, Self, United-States, Male, *, Husband, *, Married-civ-spouse, >50K, 10
53, 45, Self, United-States, Male, *, Husband, *, Married-civ-spouse, >50K, 10
53, 45, Self, United-States, Male, *, Husband, *, Married-civ-spouse, >50K, 9
53, 45, Self, United-States, Male, *, Husband, *, Married-civ-spouse, >50K, 10
53, 45, Self, United-States, Male, *, Husband, *, Married-civ-spouse, >50K, 10
53, 45, Self, United-States, Male, *, Husband, *, Married-civ-spouse, >50K, 13
53, 45, Self, United-States, Male, *, Husband, *, Married-civ-spouse, >50K, 15
53, 45, Self, United-States, Male, *, Husband, *, Married-civ-spouse, >50K, 9
34.5, 50, Private, United-States, Female, White, *, *, *, *, 14
34.5, 50, Private, United-States, Female, White, *, *, *, *, 14
34.5, 50, Private, United-States, Female, White, *, *, *, *, 14
34.5, 50, Private, United-States, Female, White, *, *, *, *, 13
34.5, 50, Private, United-States, Female, White, *, *, *, *, 9
34.5, 50, Private, United-States, Female, White, *, *, *, *, 9
34.5, 50, Private, United-States, Female, White, *, *, *, *, 12
34.5, 50, Private, United-States, Female, White, *, *, *, *, 13
34.5, 50, Private, United-States, Female, White, *, *, *, *, 9
34.5, 50, Private, United-States, Female, White, *, *, *, *, 10
42, 40, Private, United-States, Male, *, *, *, *, >50K, 13
42, 40, Private, United-States, Male, *, *, *, *, >50K, 13
42, 40, Private, United-States, Male, *, *, *, *, >50K, 9
42, 40, Private, United-States, Male, *, *, *, *, >50K, 13
42, 40, Private, United-States, Male, *, *, *, *, >50K, 12
42, 40, Private, United-States, Male, *, *, *, *, >50K, 6
42, 40, Private, United-States, Male, *, *, *, *, >50K, 13
42, 40, Private, United-States, Male, *, *, *, *, >50K, 9
42, 40, Private, United-States, Male, *, *, *, *, >50K, 10
42, 40, Private, United-States, Male, *, *, *, *, >50K, 11
39.5, 82.5, Self, United-States, Male, *, *, *, *, *, 10
39.5, 82.5, Self, United-States, Male, *, *, *, *, *, 9
39.5, 82.5, Self, United-States, Male, *, *, *, *, *, 9
39.5, 82.5, Self, United-States, Male, *, *, *, *, *, 13
39.5, 82.5, Self, United-States, Male, *, *, *, *, *, 9
39.5, 82.5, Self, United-States, Male, *, *, *, *, *, 15
39.5, 82.5, Self, United-States, Male, *, *, *, *, *, 13
39.5, 82.5, Self, United-States, Male, *, *, *, *, *, 9
39.5, 82.5, Self, United-States, Male, *, *, *, *, *, 9
39.5, 82.5, Self, United-States, Male, *, *, *, *, *, 13
30.5, 40, Gov, *, Male, *, *, *, *, *, 13
30.5, 40, Gov, *, Male, *, *, *, *, *, 10
30.5, 40, Gov, *, Male, *, *, *, *, *, 4
30.5, 40, Gov, *, Male, *, *, *, *, *, 10
30.5, 40, Gov, *, Male, *, *, *, *, *, 13
30.5, 40, Gov, *, Male, *, *, *, *, *, 13
30.5, 40, Gov, *, Male, *, *, *, *, *, 10
30.5, 40, Gov, *, Male, *, *, *, *, *, 13
30.5, 40, Gov, *, Male, *, *, *, *, *, 9
30.5, 40, Gov, *, Male, *, *, *, *, *, 9
24.5, 32.5, Private, United-States, Female, *, *, *, Never-married, <=50K, 13
24.5, 32.5, Private, United-States, Female, *, *, *, Never-married, <=50K, 9
24.5, 32.5, Private, United-States, Female, *, *, *, Never-married, <=50K, 10
24.5, 32.5, Private, United-States, Female, *, *, *, Never-married, <=50K, 11
24.5, 32.5, Private, United-States, Female, *, *, *, Never-married, <=50K, 10
24.5, 32.5, Private, United-States, Female, *, *, *, Never-married, <=50K, 9
24.5, 32.5, Private, United-States, Female, *, *, *, Never-married, <=50K, 10
24.5, 32.5, Private, United-States, Female, *, *, *, Never-married, <=50K, 9
24.5, 32.5, Private, United-States, Female, *, *, *, Never-married, <=50K, 13
24.5, 32.5, Private, United-States, Female, *, *, *, Never-married, <=50K, 9
33, 50, Private, United-States, Male, *, *, *, *, <=50K, 12
33, 50, Private, United-States, Male, *, *, *, *, <=50K, 14
33, 50, Private, United-States, Male, *, *, *, *, <=50K, 10
33, 50, Private, United-States, Male, *, *, *, *, <=50K, 13
33, 50, Private, United-States, Male, *, *, *, *, <=50K, 9
33, 50, Private, United-States, Male, *, *, *, *, <=50K, 9
33, 50, Private, United-States, Male, *, *, *, *, <=50K, 9
33, 50, Private, United-States, Male, *, *, *, *, <=50K, 9
33, 50, Private, United-States, Male, *, *, *, *, <=50K, 10
33, 50, Private, United-States, Male, *, *, *, *, <=50K, 13
35, 45, Private, America, Male, *, *, *, *, <=50K, 4
35, 45, Private, America, Male, *, *, *, *, <=50K, 13
35, 45, Private, America, Male, *, *, *, *, <=50K, 9
35, 45, Private, America, Male, *, *, *, *, <=50K, 9
35, 45, Private, America, Male, *, *, *, *, <=50K, 9
35, 45, Private, America, Male, *, *, *, *, <=50K, 9
35, 45, Private, America, Male, *, *, *, *, <=50K, 9
35, 45, Private, America, Male, *, *, *, *, <=50K, 10
35, 45, Private, America, Male, *, *, *, *, <=50K, 7
35, 45, Private, America, Male, *, *, *, *, <=50K, 10
26.5, 35.5, Self, United-States, Male, *, *, *, *, <=50K, 9
26.5, 35.5, Self, United-States, Male, *, *, *, *, <=50K, 9
26.5, 35.5, Self, United-States, Male, *, *, *, *, <=50K, 6
26.5, 35.5, Self, United-States, Male, *, *, *, *, <=50K, 7
26.5, 35.5, Self, United-States, Male, *, *, *, *, <=50K, 9
26.5, 35.5, Self, United-States, Male, *, *, *, *, <=50K, 11
26.5, 35.5, Self, United-States, Male, *, *, *, *, <=50K, 7
