age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, income, marital-status
41, 40, 13, *, United-States, Male, White, Not-in-family, *, <=50K, Never-married
41, 40, 13, *, United-States, Male, White, Not-in-family, *, <=50K, Never-married
41, 40, 13, *, United-States, Male, White, Not-in-family, *, <=50K, Never-married
41, 40, 13, *, United-States, Male, White, Not-in-family, *, <=50K, Never-married
41, 40, 13, *, United-States, Male, White, Not-in-family, *, <=50K, Divorced
52.5, 21.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 21.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 21.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 21.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 21.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
39, 40, 9, Private, North-America, Male, White, Not-in-family, manual-labor, <=50K, Divorced
39, 40, 9, Private, North-America, Male, White, Not-in-family, manual-labor, <=50K, Never-married
39, 40, 9, Private, North-America, Male, White, Not-in-family, manual-labor, <=50K, Divorced
39, 40, 9, Private, North-America, Male, White, Not-in-family, manual-labor, <=50K, Divorced
39, 40, 9, Private, North-America, Male, White, Not-in-family, manual-labor, <=50K, Never-married
56, 45, 7, Private, United-States, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
56, 45, 7, Private, United-States, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
56, 45, 7, Private, United-States, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
56, 45, 7, Private, United-States, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
56, 45, 7, Private, United-States, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
29.5, 40, 13, Private, America, Female, *, Wife, *, *, Married-civ-spouse
29.5, 40, 13, Private, America, Female, *, Wife, *, *, Married-civ-spouse
29.5, 40, 13, Private, America, Female, *, Wife, *, *, Married-civ-spouse
29.5, 40, 13, Private, America, Female, *, Wife, *, *, Married-civ-spouse
29.5, 40, 13, Private, America, Female, *, Wife, *, *, Married-civ-spouse
39.5, 40, 14.5, Private, United-States, Female, *, Wife, *, *, Married-civ-spouse
39.5, 40, 14.5, Private, United-States, Female, *, Wife, *, *, Married-civ-spouse
39.5, 40, 14.5, Private, United-States, Female, *, Wife, *, *, Married-civ-spouse
39.5, 40, 14.5, Private, United-States, Female, *, Wife, *, *, Married-civ-spouse
39.5, 40, 14.5, Private, United-States, Female, *, Wife, *, *, Married-civ-spouse
51, 26, 5, Private, America, *, *, Not-in-family, *, <=50K, Married-spouse-absent
51, 26, 5, Private, America, *, *, Not-in-family, *, <=50K, Divorced
51, 26, 5, Private, America, *, *, Not-in-family, *, <=50K, Divorced
51, 26, 5, Private, America, *, *, Not-in-family, *, <=50K, Divorced
51, 26, 5, Private, America, *, *, Not-in-family, *, <=50K, Separated
53, 47.5, 9, Self, United-States, Male, *, Husband, *, >50K, Married-civ-spouse
53, 47.5, 9, Self, United-States, Male, *, Husband, *, >50K, Married-civ-spouse
53, 47.5, 9, Self, United-States, Male, *, Husband, *, >50K, Married-civ-spouse
53, 47.5, 9, Self, United-States, Male, *, Husband, *, >50K, Married-civ-spouse
53, 47.5, 9, Self, United-States, Male, *, Husband, *, >50K, Married-civ-spouse
31, 50, 14, *, *, Female, White, Not-in-family, *, *, Never-married
31, 50, 14, *, *, Female, White, Not-in-family, *, *, Never-married
31, 50, 14, *, *, Female, White, Not-in-family, *, *, Never-married
31, 50, 14, *, *, Female, White, Not-in-family, *, *, Never-married
31, 50, 14, *, *, Female, White, Not-in-family, *, *, Never-married
43, 40, 13, Private, *, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
43, 40, 13, Private, *, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
43, 40, 13, Private, *, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
43, 40, 13, Private, *, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
43, 40, 13, Private, *, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
43, 82, 10, Self, *, Male, *, Husband, *, *, Married-civ-spouse
43, 82, 10, Self, *, Male, *, Husband, *, *, Married-civ-spouse
43, 82, 10, Self, *, Male, *, Husband, *, *, Married-civ-spouse
43, 82, 10, Self, *, Male, *, Husband, *, *, Married-civ-spouse
43, 82, 10, Self, *, Male, *, Husband, *, *, Married-civ-spouse
30, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
30, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
30, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
30, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
30, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
24.5, 30, 13, Self, United-States, *, White, Own-child, *, <=50K, Never-married
24.5, 30, 13, Self, United-States, *, White, Own-child, *, <=50K, Never-married
24.5, 30, 13, Self, United-States, *, White, Own-child, *, <=50K, Never-married
24.5, 30, 13, Self, United-States, *, White, Own-child, *, <=50K, Never-married
24.5, 30, 13, Self, United-States, *, White, Own-child, *, <=50K, Never-married
34, 50, 12.5, Self, America, Male, *, Not-in-family, *, *, Never-married
34, 50, 12.5, Self, America, Male, *, Not-in-family, *, *, Divorced
34, 50, 12.5, Self, America, Male, *, Not-in-family, *, *, Married-civ-spouse
34, 50, 12.5, Self, America, Male, *, Not-in-family, *, *, Never-married
34, 50, 12.5, Self, America, Male, *, Not-in-family, *, *, Separated
34, 45, 4, Private, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
34, 45, 4, Private, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
34, 45, 4, Private, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
34, 45, 4, Private, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
34, 45, 4, Private, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
25, 37.5, 9, Self, United-States, Male, White, Own-child, *, <=50K, Never-married
25, 37.5, 9, Self, United-States, Male, White, Own-child, *, <=50K, Never-married
25, 37.5, 9, Self, United-States, Male, White, Own-child, *, <=50K, Never-married
25, 37.5, 9, Self, United-States, Male, White, Own-child, *, <=50K, Never-married
