age, hours-per-week, workclass, native-country, sex, race, relationship, occupation, marital-status, income, education-num
44, 41, *, *, Male, *, *, *, *, <=50K, 13
44, 41, *, *, Male, *, *, *, *, <=50K, 7
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 13
44, 41, *, *, Male, *, *, *, *, <=50K, 7
44, 41, *, *, Male, *, *, *, *, <=50K, 12
44, 41, *, *, Male, *, *, *, *, <=50K, 11
44, 41, *, *, Male, *, *, *, *, <=50K, 3
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 12
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 10
44, 41, *, *, Male, *, *, *, *, <=50K, 12
44, 41, *, *, Male, *, *, *, *, <=50K, 14
44, 41, *, *, Male, *, *, *, *, <=50K, 13
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 11
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 13
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 12
44, 41, *, *, Male, *, *, *, *, <=50K, 10
44, 41, *, *, Male, *, *, *, *, <=50K, 14
44, 41, *, *, Male, *, *, *, *, <=50K, 12
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 10
44, 41, *, *, Male, *, *, *, *, <=50K, 11
44, 41, *, *, Male, *, *, *, *, <=50K, 14
44, 41, *, *, Male, *, *, *, *, <=50K, 10
44, 41, *, *, Male, *, *, *, *, <=50K, 14
44, 41, *, *, Male, *, *, *, *, <=50K, 5
44, 41, *, *, Male, *, *, *, *, <=50K, 5
44, 41, *, *, Male, *, *, *, *, <=50K, 10
44, 41, *, *, Male, *, *, *, *, <=50K, 8
44, 41, *, *, Male, *, *, *, *, <=50K, 10
44, 41, *, *, Male, *, *, *, *, <=50K, 11
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 13
44, 41, *, *, Male, *, *, *, *, <=50K, 12
44, 41, *, *, Male, *, *, *, *, <=50K, 11
44, 41, *, *, Male, *, *, *, *, <=50K, 10
44, 41, *, *, Male, *, *, *, *, <=50K, 13
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 14
44, 41, *, *, Male, *, *, *, *, <=50K, 10
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 13
44, 41, *, *, Male, *, *, *, *, <=50K, 11
44, 41, *, *, Male, *, *, *, *, <=50K, 10
44, 41, *, *, Male, *, *, *, *, <=50K, 4
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 5
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 11
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 9
44, 41, *, *, Male, *, *, *, *, <=50K, 10
44, 41, *, *, Male, *, *, *, *, <=50K, 13
44, 41, *, *, Male, *, *, *, *, <=50K, 9
