age, hours-per-week, workclass, native-country, sex, race, relationship, occupation, marital-status, income, education-num
45, 41, *, *, Male, White, *, *, *, <=50K, 13
45, 41, *, *, Male, White, *, *, *, <=50K, 9
45, 41, *, *, Male, White, *, *, *, <=50K, 7
45, 41, *, *, Male, White, *, *, *, <=50K, 9
45, 41, *, *, Male, White, *, *, *, <=50K, 13
45, 41, *, *, Male, White, *, *, *, <=50K, 7
45, 41, *, *, Male, White, *, *, *, <=50K, 12
45, 41, *, *, Male, White, *, *, *, <=50K, 11
45, 41, *, *, Male, White, *, *, *, <=50K, 3
45, 41, *, *, Male, White, *, *, *, <=50K, 9
45, 41, *, *, Male, White, *, *, *, <=50K, 12
45, 41, *, *, Male, White, *, *, *, <=50K, 9
45, 41, *, *, Male, White, *, *, *, <=50K, 10
45, 41, *, *, Male, White, *, *, *, <=50K, 12
45, 41, *, *, Male, White, *, *, *, <=50K, 14
45, 41, *, *, Male, White, *, *, *, <=50K, 10
45, 41, *, *, Male, White, *, *, *, <=50K, 4
45, 41, *, *, Male, White, *, *, *, <=50K, 4
45, 41, *, *, Male, White, *, *, *, <=50K, 9
45, 41, *, *, Male, White, *, *, *, <=50K, 11
45, 41, *, *, Male, White, *, *, *, <=50K, 13
45, 41, *, *, Male, White, *, *, *, <=50K, 12
45, 41, *, *, Male, White, *, *, *, <=50K, 10
45, 41, *, *, Male, White, *, *, *, <=50K, 14
45, 41, *, *, Male, White, *, *, *, <=50K, 12
45, 41, *, *, Male, White, *, *, *, <=50K, 2
45, 41, *, *, Male, White, *, *, *, <=50K, 9
45, 41, *, *, Male, White, *, *, *, <=50K, 10
45, 41, *, *, Male, White, *, *, *, <=50K, 11
45, 41, *, *, Male, White, *, *, *, <=50K, 14
45, 41, *, *, Male, White, *, *, *, <=50K, 10
45, 41, *, *, Male, White, *, *, *, <=50K, 14
45, 41, *, *, Male, White, *, *, *, <=50K, 9
45, 41, *, *, Male, White, *, *, *, <=50K, 5
45, 41, *, *, Male, White, *, *, *, <=50K, 5
45, 41, *, *, Male, White, *, *, *, <=50K, 14
45, 41, *, *, Male, White, *, *, *, <=50K, 10
45, 41, *, *, Male, White, *, *, *, <=50K, 11
45, 41, *, *, Male, White, *, *, *, <=50K, 9
45, 41, *, *, Male, White, *, *, *, <=50K, 13
45, 41, *, *, Male, White, *, *, *, <=50K, 12
45, 41, *, *, Male, White, *, *, *, <=50K, 11
45, 41, *, *, Male, White, *, *, *, <=50K, 10
45, 41, *, *, Male, White, *, *, *, <=50K, 13
45, 41, *, *, Male, White, *, *, *, <=50K, 9
45, 41, *, *, Male, White, *, *, *, <=50K, 14
45, 41, *, *, Male, White, *, *, *, <=50K, 1
