age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, income, marital-status
40, 40, 13, *, United-States, Male, White, *, *, <=50K, Never-married
40, 40, 13, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
40, 40, 13, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
40, 40, 13, *, United-States, Male, White, *, *, <=50K, Never-married
40, 40, 13, *, United-States, Male, White, *, *, <=50K, Never-married
40, 40, 13, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
40, 40, 13, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
40, 40, 13, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
40, 40, 13, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
40, 40, 13, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
39.5, 40, 9, Private, *, Male, *, Not-in-family, *, *, Divorced
39.5, 40, 9, Private, *, Male, *, Not-in-family, *, *, Never-married
39.5, 40, 9, Private, *, Male, *, Not-in-family, *, *, Never-married
39.5, 40, 9, Private, *, Male, *, Not-in-family, *, *, Divorced
39.5, 40, 9, Private, *, Male, *, Not-in-family, *, *, Divorced
39.5, 40, 9, Private, *, Male, *, Not-in-family, *, *, Never-married
39.5, 40, 9, Private, *, Male, *, Not-in-family, *, *, Divorced
39.5, 40, 9, Private, *, Male, *, Not-in-family, *, *, Never-married
39.5, 40, 9, Private, *, Male, *, Not-in-family, *, *, Divorced
39.5, 40, 9, Private, *, Male, *, Not-in-family, *, *, Married-spouse-absent
59, 45, 7, Private, United-States, Male, *, *, *, <=50K, Married-civ-spouse
59, 45, 7, Private, United-States, Male, *, *, *, <=50K, Married-civ-spouse
59, 45, 7, Private, United-States, Male, *, *, *, <=50K, Widowed
59, 45, 7, Private, United-States, Male, *, *, *, <=50K, Married-civ-spouse
59, 45, 7, Private, United-States, Male, *, *, *, <=50K, Widowed
59, 45, 7, Private, United-States, Male, *, *, *, <=50K, Married-civ-spouse
59, 45, 7, Private, United-States, Male, *, *, *, <=50K, Married-civ-spouse
59, 45, 7, Private, United-States, Male, *, *, *, <=50K, Married-civ-spouse
59, 45, 7, Private, United-States, Male, *, *, *, <=50K, Married-civ-spouse
59, 45, 7, Private, United-States, Male, *, *, *, <=50K, Married-civ-spouse
32, 42.5, 13, *, America, Female, *, Wife, *, *, Married-civ-spouse
32, 42.5, 13, *, America, Female, *, Wife, *, *, Married-civ-spouse
32, 42.5, 13, *, America, Female, *, Wife, *, *, Married-civ-spouse
32, 42.5, 13, *, America, Female, *, Wife, *, *, Married-civ-spouse
32, 42.5, 13, *, America, Female, *, Wife, *, *, Married-civ-spouse
32, 42.5, 13, *, America, Female, *, Wife, *, *, Married-civ-spouse
32, 42.5, 13, *, America, Female, *, Wife, *, *, Married-civ-spouse
32, 42.5, 13, *, America, Female, *, Wife, *, *, Married-civ-spouse
32, 42.5, 13, *, America, Female, *, Wife, *, *, Married-civ-spouse
32, 42.5, 13, *, America, Female, *, Wife, *, *, Married-civ-spouse
41, 42.5, 14, *, *, Female, *, *, *, <=50K, Married-civ-spouse
41, 42.5, 14, *, *, Female, *, *, *, <=50K, Divorced
41, 42.5, 14, *, *, Female, *, *, *, <=50K, Divorced
41, 42.5, 14, *, *, Female, *, *, *, <=50K, Divorced
41, 42.5, 14, *, *, Female, *, *, *, <=50K, Never-married
41, 42.5, 14, *, *, Female, *, *, *, <=50K, Divorced
41, 42.5, 14, *, *, Female, *, *, *, <=50K, Married-civ-spouse
41, 42.5, 14, *, *, Female, *, *, *, <=50K, Divorced
41, 42.5, 14, *, *, Female, *, *, *, <=50K, Married-civ-spouse
41, 42.5, 14, *, *, Female, *, *, *, <=50K, Never-married
51, 28, 5, Self, America, *, *, *, *, <=50K, Married-spouse-absent
51, 28, 5, Self, America, *, *, *, *, <=50K, Divorced
51, 28, 5, Self, America, *, *, *, *, <=50K, Divorced
51, 28, 5, Self, America, *, *, *, *, <=50K, Married-civ-spouse
51, 28, 5, Self, America, *, *, *, *, <=50K, Divorced
51, 28, 5, Self, America, *, *, *, *, <=50K, Divorced
51, 28, 5, Self, America, *, *, *, *, <=50K, Never-married
51, 28, 5, Self, America, *, *, *, *, <=50K, Divorced
51, 28, 5, Self, America, *, *, *, *, <=50K, Married-civ-spouse
51, 28, 5, Self, America, *, *, *, *, <=50K, Separated
54, 47.5, 9, *, North-America, Male, *, Husband, *, *, Married-civ-spouse
54, 47.5, 9, *, North-America, Male, *, Husband, *, *, Married-civ-spouse
54, 47.5, 9, *, North-America, Male, *, Husband, *, *, Married-civ-spouse
54, 47.5, 9, *, North-America, Male, *, Husband, *, *, Married-civ-spouse
54, 47.5, 9, *, North-America, Male, *, Husband, *, *, Married-civ-spouse
54, 47.5, 9, *, North-America, Male, *, Husband, *, *, Married-civ-spouse
54, 47.5, 9, *, North-America, Male, *, Husband, *, *, Married-civ-spouse
54, 47.5, 9, *, North-America, Male, *, Husband, *, *, Married-civ-spouse
54, 47.5, 9, *, North-America, Male, *, Husband, *, *, Married-civ-spouse
54, 47.5, 9, *, North-America, Male, *, Husband, *, *, Married-civ-spouse
32, 50, 14, *, *, *, White, *, Prof-specialty, *, Never-married
32, 50, 14, *, *, *, White, *, Prof-specialty, *, Married-civ-spouse
32, 50, 14, *, *, *, White, *, Prof-specialty, *, Married-civ-spouse
32, 50, 14, *, *, *, White, *, Prof-specialty, *, Married-civ-spouse
32, 50, 14, *, *, *, White, *, Prof-specialty, *, Never-married
32, 50, 14, *, *, *, White, *, Prof-specialty, *, Married-civ-spouse
32, 50, 14, *, *, *, White, *, Prof-specialty, *, Never-married
32, 50, 14, *, *, *, White, *, Prof-specialty, *, Married-civ-spouse
32, 50, 14, *, *, *, White, *, Prof-specialty, *, Separated
32, 50, 14, *, *, *, White, *, Prof-specialty, *, Never-married
43.5, 40, 13, Private, *, Male, *, Husband, *, *, Married-civ-spouse
43.5, 40, 13, Private, *, Male, *, Husband, *, *, Married-civ-spouse
43.5, 40, 13, Private, *, Male, *, Husband, *, *, Married-civ-spouse
43.5, 40, 13, Private, *, Male, *, Husband, *, *, Married-civ-spouse
43.5, 40, 13, Private, *, Male, *, Husband, *, *, Married-civ-spouse
43.5, 40, 13, Private, *, Male, *, Husband, *, *, Married-civ-spouse
43.5, 40, 13, Private, *, Male, *, Husband, *, *, Married-civ-spouse
43.5, 40, 13, Private, *, Male, *, Husband, *, *, Married-civ-spouse
43.5, 40, 13, Private, *, Male, *, Husband, *, *, Married-civ-spouse
43.5, 40, 13, Private, *, Male, *, Husband, *, *, Married-civ-spouse
43, 80, 11.5, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
43, 80, 11.5, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
43, 80, 11.5, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
43, 80, 11.5, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
43, 80, 11.5, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
43, 80, 11.5, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
43, 80, 11.5, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
43, 80, 11.5, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
43, 80, 11.5, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
43, 80, 11.5, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
31.5, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
31.5, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
31.5, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
31.5, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
31.5, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
31.5, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
31.5, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
31.5, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
31.5, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
31.5, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
25, 32.5, 13, *, America, *, White, *, *, <=50K, Never-married
25, 32.5, 13, *, America, *, White, *, *, <=50K, Never-married
25, 32.5, 13, *, America, *, White, *, *, <=50K, Never-married
25, 32.5, 13, *, America, *, White, *, *, <=50K, Never-married
25, 32.5, 13, *, America, *, White, *, *, <=50K, Never-married
25, 32.5, 13, *, America, *, White, *, *, <=50K, Never-married
25, 32.5, 13, *, America, *, White, *, *, <=50K, Married-civ-spouse
25, 32.5, 13, *, America, *, White, *, *, <=50K, Never-married
25, 32.5, 13, *, America, *, White, *, *, <=50K, Never-married
25, 32.5, 13, *, America, *, White, *, *, <=50K, Never-married
35.5, 50, 12.5, *, America, Male, *, Not-in-family, *, *, Never-married
35.5, 50, 12.5, *, America, Male, *, Not-in-family, *, *, Never-married
35.5, 50, 12.5, *, America, Male, *, Not-in-family, *, *, Divorced
35.5, 50, 12.5, *, America, Male, *, Not-in-family, *, *, Never-married
35.5, 50, 12.5, *, America, Male, *, Not-in-family, *, *, Divorced
35.5, 50, 12.5, *, America, Male, *, Not-in-family, *, *, Separated
35.5, 50, 12.5, *, America, Male, *, Not-in-family, *, *, Married-civ-spouse
35.5, 50, 12.5, *, America, Male, *, Not-in-family, *, *, Never-married
35.5, 50, 12.5, *, America, Male, *, Not-in-family, *, *, Separated
35.5, 50, 12.5, *, America, Male, *, Not-in-family, *, *, Never-married
36, 47.5, 4.5, *, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
36, 47.5, 4.5, *, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
36, 47.5, 4.5, *, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
36, 47.5, 4.5, *, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
36, 47.5, 4.5, *, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
36, 47.5, 4.5, *, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
36, 47.5, 4.5, *, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
36, 47.5, 4.5, *, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
36, 47.5, 4.5, *, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
36, 47.5, 4.5, *, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
26.5, 37.5, 9, Self, America, Male, White, Own-child, *, <=50K, Never-married
26.5, 37.5, 9, Self, America, Male, White, Own-child, *, <=50K, Never-married
26.5, 37.5, 9, Self, America, Male, White, Own-child, *, <=50K, Never-married
26.5, 37.5, 9, Self, America, Male, White, Own-child, *, <=50K, Never-married
26.5, 37.5, 9, Self, America, Male, White, Own-child, *, <=50K, Never-married
26.5, 37.5, 9, Self, America, Male, White, Own-child, *, <=50K, Divorced
26.5, 37.5, 9, Self, America, Male, White, Own-child, *, <=50K, Never-married
26.5, 37.5, 9, Self, America, Male, White, Own-child, *, <=50K, Never-married
26.5, 37.5, 9, Self, America, Male, White, Own-child, *, <=50K, Never-married
26.5, 37.5, 9, Self, America, Male, White, Own-child, *, <=50K, Never-married
35, 41, 9.5, Private, United-States, Male, White, Unmarried, *, <=50K, Never-married
35, 41, 9.5, Private, United-States, Male, White, Unmarried, *, <=50K, Never-married
35, 41, 9.5, Private, United-States, Male, White, Unmarried, *, <=50K, Never-married
35, 41, 9.5, Private, United-States, Male, White, Unmarried, *, <=50K, Divorced
35, 41, 9.5, Private, United-States, Male, White, Unmarried, *, <=50K, Divorced
35, 41, 9.5, Private, United-States, Male, White, Unmarried, *, <=50K, Divorced
