age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, income, marital-status
50, 50, 13, *, *, Male, *, *, *, *, Never-married
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Divorced
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Divorced
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Separated
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Never-married
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Divorced
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Never-married
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Never-married
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Never-married
50, 50, 13, *, *, Male, *, *, *, *, Divorced
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Never-married
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Never-married
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Married-civ-spouse
50, 50, 13, *, *, Male, *, *, *, *, Never-married
