age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, marital-status, income
39.5, 40, 13, *, United-States, Male, White, *, Adm-clerical, *, <=50K
39.5, 40, 13, *, United-States, Male, White, *, Adm-clerical, *, <=50K
39.5, 40, 13, *, United-States, Male, White, *, Adm-clerical, *, <=50K
39.5, 40, 13, *, United-States, Male, White, *, Adm-clerical, *, <=50K
39.5, 40, 13, *, United-States, Male, White, *, Adm-clerical, *, <=50K
52.5, 24, 13, Self, United-States, Male, White, Husband, *, Married-civ-spouse, <=50K
52.5, 24, 13, Self, United-States, Male, White, Husband, *, Married-civ-spouse, >50K
52.5, 24, 13, Self, United-States, Male, White, Husband, *, Married-civ-spouse, >50K
52.5, 24, 13, Self, United-States, Male, White, Husband, *, Married-civ-spouse, <=50K
52.5, 24, 13, Self, United-States, Male, White, Husband, *, Married-civ-spouse, >50K
38.5, 40, 9, Private, United-States, Male, White, *, Handlers-cleaners, *, <=50K
38.5, 40, 9, Private, United-States, Male, White, *, Handlers-cleaners, *, <=50K
38.5, 40, 9, Private, United-States, Male, White, *, Handlers-cleaners, *, <=50K
38.5, 40, 9, Private, United-States, Male, White, *, Handlers-cleaners, *, <=50K
38.5, 40, 9, Private, United-States, Male, White, *, Handlers-cleaners, *, <=50K
56.5, 42.5, 7, Private, United-States, Male, *, *, manual-labor, *, <=50K
56.5, 42.5, 7, Private, United-States, Male, *, *, manual-labor, *, <=50K
56.5, 42.5, 7, Private, United-States, Male, *, *, manual-labor, *, <=50K
56.5, 42.5, 7, Private, United-States, Male, *, *, manual-labor, *, <=50K
56.5, 42.5, 7, Private, United-States, Male, *, *, manual-labor, *, <=50K
28, 40, 13, Private, America, Female, *, *, Prof-specialty, *, <=50K
28, 40, 13, Private, America, Female, *, *, Prof-specialty, *, <=50K
28, 40, 13, Private, America, Female, *, *, Prof-specialty, *, <=50K
28, 40, 13, Private, America, Female, *, *, Prof-specialty, *, >50K
28, 40, 13, Private, America, Female, *, *, Prof-specialty, *, <=50K
38.5, 40, 14, Private, America, *, *, *, Exec-managerial, *, <=50K
38.5, 40, 14, Private, America, *, *, *, Exec-managerial, *, >50K
38.5, 40, 14, Private, America, *, *, *, Exec-managerial, *, >50K
38.5, 40, 14, Private, America, *, *, *, Exec-managerial, *, >50K
38.5, 40, 14, Private, America, *, *, *, Exec-managerial, *, >50K
52, 20.5, 5.5, Self, America, *, *, *, *, *, <=50K
52, 20.5, 5.5, Self, America, *, *, *, *, *, <=50K
52, 20.5, 5.5, Self, America, *, *, *, *, *, <=50K
52, 20.5, 5.5, Self, America, *, *, *, *, *, <=50K
52, 20.5, 5.5, Self, America, *, *, *, *, *, <=50K
53.5, 45, 9.5, Self, United-States, Male, *, Husband, Exec-managerial, Married-civ-spouse, >50K
53.5, 45, 9.5, Self, United-States, Male, *, Husband, Exec-managerial, Married-civ-spouse, >50K
53.5, 45, 9.5, Self, United-States, Male, *, Husband, Exec-managerial, Married-civ-spouse, >50K
53.5, 45, 9.5, Self, United-States, Male, *, Husband, Exec-managerial, Married-civ-spouse, >50K
53.5, 45, 9.5, Self, United-States, Male, *, Husband, Exec-managerial, Married-civ-spouse, <=50K
31, 50, 14, *, United-States, Female, White, *, Prof-specialty, *, >50K
31, 50, 14, *, United-States, Female, White, *, Prof-specialty, *, <=50K
31, 50, 14, *, United-States, Female, White, *, Prof-specialty, *, <=50K
31, 50, 14, *, United-States, Female, White, *, Prof-specialty, *, >50K
31, 50, 14, *, United-States, Female, White, *, Prof-specialty, *, <=50K
43, 40, 13, Private, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, >50K
43, 40, 13, Private, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, >50K
43, 40, 13, Private, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, >50K
43, 40, 13, Private, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, <=50K
43, 40, 13, Private, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, >50K
38.5, 80, 10, Self, *, Male, *, *, *, *, >50K
38.5, 80, 10, Self, *, Male, *, *, *, *, <=50K
38.5, 80, 10, Self, *, Male, *, *, *, *, >50K
38.5, 80, 10, Self, *, Male, *, *, *, *, <=50K
